baseline,language,plan,machineip,time
DefaultJava,Java,Total,d2d,10.128.0.31 ,672931
DefaultJava,Java,IO,d2d,10.128.0.31 ,90347
Json+GzipJava,Java,Total,d2d,10.128.0.31 ,1742966
Json+GzipJava,Java,IO,d2d,10.128.0.31 ,23178
BsonJava,Java,Total,d2d,10.128.0.31 ,594800
BsonJava,Java,IO,d2d,10.128.0.31 ,91614
ProtoBufJava,Java,Total,d2d,10.128.0.31 ,242578
ProtoBufJava,Java,IO,d2d,10.128.0.31 ,33106
KryoJava,Java,Total,d2d,10.128.0.31 ,213174
KryoJava,Java,IO,d2d,10.128.0.31 ,32189
ByteBufferJava,Java,Total,d2d,10.128.0.31 ,231864
ByteBufferJava,Java,IO,d2d,10.128.0.31 ,40535
JsonJava,Java,Total,d2d,10.128.0.31 ,1037398
JsonJava,Java,IO,d2d,10.128.0.31 ,81620
FlatBuffersJava,Java,Total,d2d,10.128.0.31 ,188484
FlatBuffersJava,Java,IO,d2d,10.128.0.31 ,52197
DefaultJava,Java,Total,d2d,10.128.0.31 ,669135
DefaultJava,Java,IO,d2d,10.128.0.31 ,89918
Json+GzipJava,Java,Total,d2d,10.128.0.31 ,1738859
Json+GzipJava,Java,IO,d2d,10.128.0.31 ,23574
BsonJava,Java,Total,d2d,10.128.0.31 ,594223
BsonJava,Java,IO,d2d,10.128.0.31 ,92829
ProtoBufJava,Java,Total,d2d,10.128.0.31 ,244214
ProtoBufJava,Java,IO,d2d,10.128.0.31 ,32917
KryoJava,Java,Total,d2d,10.128.0.31 ,209749
KryoJava,Java,IO,d2d,10.128.0.31 ,32469
ByteBufferJava,Java,Total,d2d,10.128.0.31 ,229205
ByteBufferJava,Java,IO,d2d,10.128.0.31 ,42179
JsonJava,Java,Total,d2d,10.128.0.31 ,1028188
JsonJava,Java,IO,d2d,10.128.0.31 ,80319
FlatBuffersJava,Java,Total,d2d,10.128.0.31 ,178590
FlatBuffersJava,Java,IO,d2d,10.128.0.31 ,53955
DefaultJava,Java,Total,d2d,10.128.0.31 ,683384
DefaultJava,Java,IO,d2d,10.128.0.31 ,90331
Json+GzipJava,Java,Total,d2d,10.128.0.31 ,1736427
Json+GzipJava,Java,IO,d2d,10.128.0.31 ,21607
BsonJava,Java,Total,d2d,10.128.0.31 ,593920
BsonJava,Java,IO,d2d,10.128.0.31 ,92194
ProtoBufJava,Java,Total,d2d,10.128.0.31 ,244002
ProtoBufJava,Java,IO,d2d,10.128.0.31 ,34075
KryoJava,Java,Total,d2d,10.128.0.31 ,211879
KryoJava,Java,IO,d2d,10.128.0.31 ,33233
ByteBufferJava,Java,Total,d2d,10.128.0.31 ,227682
ByteBufferJava,Java,IO,d2d,10.128.0.31 ,41605
JsonJava,Java,Total,d2d,10.128.0.31 ,1013157
JsonJava,Java,IO,d2d,10.128.0.31 ,82410
FlatBuffersJava,Java,Total,d2d,10.128.0.31 ,183440
FlatBuffersJava,Java,IO,d2d,10.128.0.31 ,53711
