baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,CPU,Single,Sequential,10000000,663512
DefaultJava,Java,true,CPU,Single,Sequential,10000000,666680
DefaultJava,Java,false,CPU,Parallel,Sequential,10000000,139578
DefaultJava,Java,false,Total,Single,Sequential,10000000,840897
DefaultJava,Java,true,Total,Single,Sequential,10000000,794607
DefaultJava,Java,false,Total,Parallel,Sequential,10000000,189800
Json+GzipJava,Java,false,CPU,Single,Sequential,10000000,2545348
Json+GzipJava,Java,true,CPU,Single,Sequential,10000000,2494793
Json+GzipJava,Java,false,CPU,Parallel,Sequential,10000000,826548
Json+GzipJava,Java,false,Total,Single,Sequential,10000000,2567701
Json+GzipJava,Java,true,Total,Single,Sequential,10000000,2510916
Json+GzipJava,Java,false,Total,Parallel,Sequential,10000000,836056
BsonJava,Java,false,CPU,Single,Sequential,10000000,760391
BsonJava,Java,true,CPU,Single,Sequential,10000000,950090
BsonJava,Java,false,CPU,Parallel,Sequential,10000000,127180
BsonJava,Java,false,Total,Single,Sequential,10000000,889043
BsonJava,Java,true,Total,Single,Sequential,10000000,1026183
BsonJava,Java,false,Total,Parallel,Sequential,10000000,197371
ProtoBufJava,Java,false,CPU,Single,Sequential,10000000,321085
ProtoBufJava,Java,true,CPU,Single,Sequential,10000000,367946
ProtoBufJava,Java,false,CPU,Parallel,Sequential,10000000,83015
ProtoBufJava,Java,false,Total,Single,Sequential,10000000,406125
ProtoBufJava,Java,true,Total,Single,Sequential,10000000,389285
ProtoBufJava,Java,false,Total,Parallel,Sequential,10000000,89492
KryoJava,Java,false,CPU,Single,Sequential,10000000,317475
KryoJava,Java,true,CPU,Single,Sequential,10000000,317596
KryoJava,Java,false,CPU,Parallel,Sequential,10000000,84090
KryoJava,Java,false,Total,Single,Sequential,10000000,445756
KryoJava,Java,true,Total,Single,Sequential,10000000,387915
KryoJava,Java,false,Total,Parallel,Sequential,10000000,87812
ByteBufferJava,Java,false,CPU,Single,Sequential,10000000,293341
ByteBufferJava,Java,true,CPU,Single,Sequential,10000000,266474
ByteBufferJava,Java,false,CPU,Parallel,Sequential,10000000,79067
ByteBufferJava,Java,false,Total,Single,Sequential,10000000,394128
ByteBufferJava,Java,true,Total,Single,Sequential,10000000,337098
ByteBufferJava,Java,false,Total,Parallel,Sequential,10000000,103845
JsonJava,Java,false,CPU,Single,Sequential,10000000,1580671
JsonJava,Java,true,CPU,Single,Sequential,10000000,1533477
JsonJava,Java,false,CPU,Parallel,Sequential,10000000,822518
JsonJava,Java,false,Total,Single,Sequential,10000000,1649254
JsonJava,Java,true,Total,Single,Sequential,10000000,1681721
JsonJava,Java,false,Total,Parallel,Sequential,10000000,817454
FlatBuffersJava,Java,false,CPU,Single,Sequential,10000000,340342
FlatBuffersJava,Java,true,CPU,Single,Sequential,10000000,408025
FlatBuffersJava,Java,false,CPU,Parallel,Sequential,10000000,82216
FlatBuffersJava,Java,false,Total,Single,Sequential,10000000,479802
FlatBuffersJava,Java,true,Total,Single,Sequential,10000000,501518
FlatBuffersJava,Java,false,Total,Parallel,Sequential,10000000,124572
DefaultJava,Java,false,CPU,Single,Sequential,10000000,674999
DefaultJava,Java,true,CPU,Single,Sequential,10000000,688493
DefaultJava,Java,false,CPU,Parallel,Sequential,10000000,138821
DefaultJava,Java,false,Total,Single,Sequential,10000000,850409
DefaultJava,Java,true,Total,Single,Sequential,10000000,806921
DefaultJava,Java,false,Total,Parallel,Sequential,10000000,190056
Json+GzipJava,Java,false,CPU,Single,Sequential,10000000,2520010
Json+GzipJava,Java,true,CPU,Single,Sequential,10000000,2467987
Json+GzipJava,Java,false,CPU,Parallel,Sequential,10000000,835544
Json+GzipJava,Java,false,Total,Single,Sequential,10000000,2605245
Json+GzipJava,Java,true,Total,Single,Sequential,10000000,2497680
Json+GzipJava,Java,false,Total,Parallel,Sequential,10000000,866559
BsonJava,Java,false,CPU,Single,Sequential,10000000,808689
BsonJava,Java,true,CPU,Single,Sequential,10000000,886499
BsonJava,Java,false,CPU,Parallel,Sequential,10000000,122228
BsonJava,Java,false,Total,Single,Sequential,10000000,888610
BsonJava,Java,true,Total,Single,Sequential,10000000,1016405
BsonJava,Java,false,Total,Parallel,Sequential,10000000,197605
ProtoBufJava,Java,false,CPU,Single,Sequential,10000000,347912
ProtoBufJava,Java,true,CPU,Single,Sequential,10000000,320404
ProtoBufJava,Java,false,CPU,Parallel,Sequential,10000000,83445
ProtoBufJava,Java,false,Total,Single,Sequential,10000000,420128
ProtoBufJava,Java,true,Total,Single,Sequential,10000000,425881
ProtoBufJava,Java,false,Total,Parallel,Sequential,10000000,90017
KryoJava,Java,false,CPU,Single,Sequential,10000000,314794
KryoJava,Java,true,CPU,Single,Sequential,10000000,323366
KryoJava,Java,false,CPU,Parallel,Sequential,10000000,84155
KryoJava,Java,false,Total,Single,Sequential,10000000,395403
KryoJava,Java,true,Total,Single,Sequential,10000000,380880
KryoJava,Java,false,Total,Parallel,Sequential,10000000,88666
ByteBufferJava,Java,false,CPU,Single,Sequential,10000000,279499
ByteBufferJava,Java,true,CPU,Single,Sequential,10000000,268387
ByteBufferJava,Java,false,CPU,Parallel,Sequential,10000000,78920
ByteBufferJava,Java,false,Total,Single,Sequential,10000000,365460
ByteBufferJava,Java,true,Total,Single,Sequential,10000000,347755
ByteBufferJava,Java,false,Total,Parallel,Sequential,10000000,103959
JsonJava,Java,false,CPU,Single,Sequential,10000000,1614244
JsonJava,Java,true,CPU,Single,Sequential,10000000,1419562
JsonJava,Java,false,CPU,Parallel,Sequential,10000000,831822
JsonJava,Java,false,Total,Single,Sequential,10000000,1654933
JsonJava,Java,true,Total,Single,Sequential,10000000,1688853
JsonJava,Java,false,Total,Parallel,Sequential,10000000,813554
FlatBuffersJava,Java,false,CPU,Single,Sequential,10000000,367032
FlatBuffersJava,Java,true,CPU,Single,Sequential,10000000,373214
FlatBuffersJava,Java,false,CPU,Parallel,Sequential,10000000,83081
FlatBuffersJava,Java,false,Total,Single,Sequential,10000000,433509
FlatBuffersJava,Java,true,Total,Single,Sequential,10000000,484343
FlatBuffersJava,Java,false,Total,Parallel,Sequential,10000000,126037
DefaultJava,Java,false,CPU,Single,Sequential,10000000,668016
DefaultJava,Java,true,CPU,Single,Sequential,10000000,684266
DefaultJava,Java,false,CPU,Parallel,Sequential,10000000,138123
DefaultJava,Java,false,Total,Single,Sequential,10000000,832447
DefaultJava,Java,true,Total,Single,Sequential,10000000,800077
DefaultJava,Java,false,Total,Parallel,Sequential,10000000,191691
Json+GzipJava,Java,false,CPU,Single,Sequential,10000000,2544824
Json+GzipJava,Java,true,CPU,Single,Sequential,10000000,2505548
Json+GzipJava,Java,false,CPU,Parallel,Sequential,10000000,857292
Json+GzipJava,Java,false,Total,Single,Sequential,10000000,2560302
Json+GzipJava,Java,true,Total,Single,Sequential,10000000,2507178
Json+GzipJava,Java,false,Total,Parallel,Sequential,10000000,860729
BsonJava,Java,false,CPU,Single,Sequential,10000000,753615
BsonJava,Java,true,CPU,Single,Sequential,10000000,917726
BsonJava,Java,false,CPU,Parallel,Sequential,10000000,127342
