baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,IO,Single,Sequential,10000000,138512
DefaultJava,Java,true,IO,Single,Sequential,10000000,168584
DefaultJava,Java,false,IO,Parallel,Sequential,10000000,150066
DefaultJava,Java,false,IO,Single,Random,10000000,584068
DefaultJava,Java,true,IO,Single,Random,10000000,580295
DefaultJava,Java,false,IO,Parallel,Random,10000000,176182
DefaultJava,Java,false,Total,Single,Sequential,8000000,1108266
DefaultJava,Java,true,Total,Single,Sequential,8000000,1113188
DefaultJava,Java,false,Total,Parallel,Sequential,8000000,165948
DefaultJava,Java,false,Total,Single,Random,8000000,2181111
DefaultJava,Java,true,Total,Single,Random,8000000,2094851
DefaultJava,Java,false,Total,Parallel,Random,8000000,590845
DefaultJava,Java,false,Total,Single,Sequential,6000000,869717
DefaultJava,Java,true,Total,Single,Sequential,6000000,856329
DefaultJava,Java,false,Total,Parallel,Sequential,6000000,125462
DefaultJava,Java,false,Total,Single,Random,6000000,1365489
DefaultJava,Java,true,Total,Single,Random,6000000,1392734
DefaultJava,Java,false,Total,Parallel,Random,6000000,269944
DefaultJava,Java,false,Total,Single,Sequential,4000000,618459
DefaultJava,Java,true,Total,Single,Sequential,4000000,564021
DefaultJava,Java,false,Total,Parallel,Sequential,4000000,89325
DefaultJava,Java,false,Total,Single,Random,4000000,1017507
DefaultJava,Java,true,Total,Single,Random,4000000,1065248
DefaultJava,Java,false,Total,Parallel,Random,4000000,211076
DefaultJava,Java,false,Total,Single,Sequential,2000000,289653
DefaultJava,Java,true,Total,Single,Sequential,2000000,267749
DefaultJava,Java,false,Total,Parallel,Sequential,2000000,54282
DefaultJava,Java,false,Total,Single,Random,2000000,669482
DefaultJava,Java,true,Total,Single,Random,2000000,682811
DefaultJava,Java,false,Total,Parallel,Random,2000000,182763
Json+GzipJava,Java,false,IO,Single,Sequential,10000000,37127
Json+GzipJava,Java,true,IO,Single,Sequential,10000000,47807
Json+GzipJava,Java,false,IO,Parallel,Sequential,10000000,48458
Json+GzipJava,Java,false,IO,Single,Random,10000000,378263
Json+GzipJava,Java,true,IO,Single,Random,10000000,373103
Json+GzipJava,Java,false,IO,Parallel,Random,10000000,78346
Json+GzipJava,Java,false,Total,Single,Sequential,8000000,940080
Json+GzipJava,Java,true,Total,Single,Sequential,8000000,1017912
Json+GzipJava,Java,false,Total,Parallel,Sequential,8000000,123461
Json+GzipJava,Java,false,Total,Single,Random,8000000,1266634
Json+GzipJava,Java,true,Total,Single,Random,8000000,1334161
Json+GzipJava,Java,false,Total,Parallel,Random,8000000,206778
Json+GzipJava,Java,false,Total,Single,Sequential,6000000,729686
Json+GzipJava,Java,true,Total,Single,Sequential,6000000,757416
Json+GzipJava,Java,false,Total,Parallel,Sequential,6000000,109995
Json+GzipJava,Java,false,Total,Single,Random,6000000,1005863
Json+GzipJava,Java,true,Total,Single,Random,6000000,1034089
Json+GzipJava,Java,false,Total,Parallel,Random,6000000,158825
Json+GzipJava,Java,false,Total,Single,Sequential,4000000,480327
Json+GzipJava,Java,true,Total,Single,Sequential,4000000,514609
Json+GzipJava,Java,false,Total,Parallel,Sequential,4000000,68583
Json+GzipJava,Java,false,Total,Single,Random,4000000,698261
Json+GzipJava,Java,true,Total,Single,Random,4000000,718485
Json+GzipJava,Java,false,Total,Parallel,Random,4000000,117021
Json+GzipJava,Java,false,Total,Single,Sequential,2000000,243438
Json+GzipJava,Java,true,Total,Single,Sequential,2000000,251641
Json+GzipJava,Java,false,Total,Parallel,Sequential,2000000,42576
Json+GzipJava,Java,false,Total,Single,Random,2000000,384439
Json+GzipJava,Java,true,Total,Single,Random,2000000,405031
Json+GzipJava,Java,false,Total,Parallel,Random,2000000,87623
BsonJava,Java,false,IO,Single,Sequential,10000000,147243
BsonJava,Java,true,IO,Single,Sequential,10000000,176091
BsonJava,Java,false,IO,Parallel,Sequential,10000000,159486
BsonJava,Java,false,IO,Single,Random,10000000,598945
BsonJava,Java,true,IO,Single,Random,10000000,597977
BsonJava,Java,false,IO,Parallel,Random,10000000,182437
BsonJava,Java,false,Total,Single,Sequential,8000000,525280
BsonJava,Java,true,Total,Single,Sequential,8000000,603332
BsonJava,Java,false,Total,Parallel,Sequential,8000000,172206
BsonJava,Java,false,Total,Single,Random,8000000,1746613
BsonJava,Java,true,Total,Single,Random,8000000,1643126
BsonJava,Java,false,Total,Parallel,Random,8000000,724207
BsonJava,Java,false,Total,Single,Sequential,6000000,411882
BsonJava,Java,true,Total,Single,Sequential,6000000,460621
BsonJava,Java,false,Total,Parallel,Sequential,6000000,128336
BsonJava,Java,false,Total,Single,Random,6000000,918009
BsonJava,Java,true,Total,Single,Random,6000000,913776
BsonJava,Java,false,Total,Parallel,Random,6000000,294035
BsonJava,Java,false,Total,Single,Sequential,4000000,273811
BsonJava,Java,true,Total,Single,Sequential,4000000,296514
BsonJava,Java,false,Total,Parallel,Sequential,4000000,81495
BsonJava,Java,false,Total,Single,Random,4000000,677226
BsonJava,Java,true,Total,Single,Random,4000000,706851
BsonJava,Java,false,Total,Parallel,Random,4000000,204129
BsonJava,Java,false,Total,Single,Sequential,2000000,139044
BsonJava,Java,true,Total,Single,Sequential,2000000,148575
BsonJava,Java,false,Total,Parallel,Sequential,2000000,51687
BsonJava,Java,false,Total,Single,Random,2000000,495715
BsonJava,Java,true,Total,Single,Random,2000000,512943
BsonJava,Java,false,Total,Parallel,Random,2000000,180066
ProtoBufJava,Java,false,IO,Single,Sequential,10000000,58827
ProtoBufJava,Java,true,IO,Single,Sequential,10000000,71323
ProtoBufJava,Java,false,IO,Parallel,Sequential,10000000,70077
ProtoBufJava,Java,false,IO,Single,Random,10000000,418994
ProtoBufJava,Java,true,IO,Single,Random,10000000,416071
ProtoBufJava,Java,false,IO,Parallel,Random,10000000,99792
ProtoBufJava,Java,false,Total,Single,Sequential,8000000,175379
ProtoBufJava,Java,true,Total,Single,Sequential,8000000,256578
ProtoBufJava,Java,false,Total,Parallel,Sequential,8000000,79906
ProtoBufJava,Java,false,Total,Single,Random,8000000,492907
ProtoBufJava,Java,true,Total,Single,Random,8000000,562077
ProtoBufJava,Java,false,Total,Parallel,Random,8000000,140365
ProtoBufJava,Java,false,Total,Single,Sequential,6000000,126024
ProtoBufJava,Java,true,Total,Single,Sequential,6000000,196141
ProtoBufJava,Java,false,Total,Parallel,Sequential,6000000,72967
ProtoBufJava,Java,false,Total,Single,Random,6000000,411655
ProtoBufJava,Java,true,Total,Single,Random,6000000,455347
ProtoBufJava,Java,false,Total,Parallel,Random,6000000,129236
ProtoBufJava,Java,false,Total,Single,Sequential,4000000,73662
ProtoBufJava,Java,true,Total,Single,Sequential,4000000,133552
ProtoBufJava,Java,false,Total,Parallel,Sequential,4000000,41932
ProtoBufJava,Java,false,Total,Single,Random,4000000,299125
ProtoBufJava,Java,true,Total,Single,Random,4000000,342435
ProtoBufJava,Java,false,Total,Parallel,Random,4000000,102960
ProtoBufJava,Java,false,Total,Single,Sequential,2000000,38367
ProtoBufJava,Java,true,Total,Single,Sequential,2000000,71083
ProtoBufJava,Java,false,Total,Parallel,Sequential,2000000,29590
ProtoBufJava,Java,false,Total,Single,Random,2000000,205883
ProtoBufJava,Java,true,Total,Single,Random,2000000,231037
ProtoBufJava,Java,false,Total,Parallel,Random,2000000,91919
KryoJava,Java,false,IO,Single,Sequential,10000000,59529
KryoJava,Java,true,IO,Single,Sequential,10000000,73621
KryoJava,Java,false,IO,Parallel,Sequential,10000000,70187
KryoJava,Java,false,IO,Single,Random,10000000,418789
KryoJava,Java,true,IO,Single,Random,10000000,416023
KryoJava,Java,false,IO,Parallel,Random,10000000,98541
KryoJava,Java,false,Total,Single,Sequential,8000000,210787
KryoJava,Java,true,Total,Single,Sequential,8000000,338802
KryoJava,Java,false,Total,Parallel,Sequential,8000000,77655
KryoJava,Java,false,Total,Single,Random,8000000,548477
KryoJava,Java,true,Total,Single,Random,8000000,684641
KryoJava,Java,false,Total,Parallel,Random,8000000,137945
KryoJava,Java,false,Total,Single,Sequential,6000000,149271
KryoJava,Java,true,Total,Single,Sequential,6000000,253673
KryoJava,Java,false,Total,Parallel,Sequential,6000000,69606
KryoJava,Java,false,Total,Single,Random,6000000,441629
KryoJava,Java,true,Total,Single,Random,6000000,537589
KryoJava,Java,false,Total,Parallel,Random,6000000,128088
KryoJava,Java,false,Total,Single,Sequential,4000000,93571
KryoJava,Java,true,Total,Single,Sequential,4000000,152608
KryoJava,Java,false,Total,Parallel,Sequential,4000000,42488
KryoJava,Java,false,Total,Single,Random,4000000,336837
KryoJava,Java,true,Total,Single,Random,4000000,398530
KryoJava,Java,false,Total,Parallel,Random,4000000,104521
KryoJava,Java,false,Total,Single,Sequential,2000000,52317
KryoJava,Java,true,Total,Single,Sequential,2000000,76244
KryoJava,Java,false,Total,Parallel,Sequential,2000000,31175
KryoJava,Java,false,Total,Single,Random,2000000,224791
KryoJava,Java,true,Total,Single,Random,2000000,258353
KryoJava,Java,false,Total,Parallel,Random,2000000,93287
ByteBufferJava,Java,false,IO,Single,Sequential,10000000,70343
ByteBufferJava,Java,true,IO,Single,Sequential,10000000,87990
ByteBufferJava,Java,false,IO,Parallel,Sequential,10000000,80885
ByteBufferJava,Java,false,IO,Single,Random,10000000,443622
ByteBufferJava,Java,true,IO,Single,Random,10000000,441247
ByteBufferJava,Java,false,IO,Parallel,Random,10000000,111048
ByteBufferJava,Java,false,Total,Single,Sequential,8000000,187176
ByteBufferJava,Java,true,Total,Single,Sequential,8000000,333510
ByteBufferJava,Java,false,Total,Parallel,Sequential,8000000,78483
ByteBufferJava,Java,false,Total,Single,Random,8000000,543231
ByteBufferJava,Java,true,Total,Single,Random,8000000,665488
ByteBufferJava,Java,false,Total,Parallel,Random,8000000,153499
ByteBufferJava,Java,false,Total,Single,Sequential,6000000,148525
ByteBufferJava,Java,true,Total,Single,Sequential,6000000,251266
ByteBufferJava,Java,false,Total,Parallel,Sequential,6000000,72108
ByteBufferJava,Java,false,Total,Single,Random,6000000,461214
ByteBufferJava,Java,true,Total,Single,Random,6000000,539056
ByteBufferJava,Java,false,Total,Parallel,Random,6000000,140544
ByteBufferJava,Java,false,Total,Single,Sequential,4000000,83854
ByteBufferJava,Java,true,Total,Single,Sequential,4000000,166840
ByteBufferJava,Java,false,Total,Parallel,Sequential,4000000,65480
ByteBufferJava,Java,false,Total,Single,Random,4000000,374905
ByteBufferJava,Java,true,Total,Single,Random,4000000,407180
ByteBufferJava,Java,false,Total,Parallel,Random,4000000,131389
ByteBufferJava,Java,false,Total,Single,Sequential,2000000,43461
ByteBufferJava,Java,true,Total,Single,Sequential,2000000,90764
ByteBufferJava,Java,false,Total,Parallel,Sequential,2000000,32280
ByteBufferJava,Java,false,Total,Single,Random,2000000,242531
ByteBufferJava,Java,true,Total,Single,Random,2000000,276423
ByteBufferJava,Java,false,Total,Parallel,Random,2000000,103647
JsonJava,Java,false,IO,Single,Sequential,10000000,126295
JsonJava,Java,true,IO,Single,Sequential,10000000,150347
JsonJava,Java,false,IO,Parallel,Sequential,10000000,134741
JsonJava,Java,false,IO,Single,Random,10000000,552259
JsonJava,Java,true,IO,Single,Random,10000000,549546
JsonJava,Java,false,IO,Parallel,Random,10000000,160406
JsonJava,Java,false,Total,Single,Sequential,8000000,797227
JsonJava,Java,true,Total,Single,Sequential,8000000,816682
JsonJava,Java,false,Total,Parallel,Sequential,8000000,132303
JsonJava,Java,false,Total,Single,Random,8000000,1597069
JsonJava,Java,true,Total,Single,Random,8000000,1542521
JsonJava,Java,false,Total,Parallel,Random,8000000,521669
JsonJava,Java,false,Total,Single,Sequential,6000000,615993
JsonJava,Java,true,Total,Single,Sequential,6000000,620766
JsonJava,Java,false,Total,Parallel,Sequential,6000000,122129
JsonJava,Java,false,Total,Single,Random,6000000,1013811
JsonJava,Java,true,Total,Single,Random,6000000,1049688
JsonJava,Java,false,Total,Parallel,Random,6000000,230066
JsonJava,Java,false,Total,Single,Sequential,4000000,383563
JsonJava,Java,true,Total,Single,Sequential,4000000,421498
JsonJava,Java,false,Total,Parallel,Sequential,4000000,81051
JsonJava,Java,false,Total,Single,Random,4000000,770078
JsonJava,Java,true,Total,Single,Random,4000000,790238
JsonJava,Java,false,Total,Parallel,Random,4000000,190092
JsonJava,Java,false,Total,Single,Sequential,2000000,195469
JsonJava,Java,true,Total,Single,Sequential,2000000,207845
JsonJava,Java,false,Total,Parallel,Sequential,2000000,49053
JsonJava,Java,false,Total,Single,Random,2000000,515828
JsonJava,Java,true,Total,Single,Random,2000000,536416
JsonJava,Java,false,Total,Parallel,Random,2000000,162788
FlatBuffersJava,Java,false,IO,Single,Sequential,10000000,88201
FlatBuffersJava,Java,true,IO,Single,Sequential,10000000,108163
FlatBuffersJava,Java,false,IO,Parallel,Sequential,10000000,100013
FlatBuffersJava,Java,false,IO,Single,Random,10000000,481395
FlatBuffersJava,Java,true,IO,Single,Random,10000000,485572
FlatBuffersJava,Java,false,IO,Parallel,Random,10000000,127041
FlatBuffersJava,Java,false,Total,Single,Sequential,8000000,72787
FlatBuffersJava,Java,true,Total,Single,Sequential,8000000,99801
FlatBuffersJava,Java,false,Total,Parallel,Sequential,8000000,83252
FlatBuffersJava,Java,false,Total,Single,Random,8000000,427340
FlatBuffersJava,Java,true,Total,Single,Random,8000000,438575
FlatBuffersJava,Java,false,Total,Parallel,Random,8000000,137827
FlatBuffersJava,Java,false,Total,Single,Sequential,6000000,54469
FlatBuffersJava,Java,true,Total,Single,Sequential,6000000,73822
FlatBuffersJava,Java,false,Total,Parallel,Sequential,6000000,66115
FlatBuffersJava,Java,false,Total,Single,Random,6000000,362356
