language,platform,taskset,nrow,time
CPP,Single,true,10000000,109926
CPP,Single,false,10000000,114890
CPP,Parallel,false,10000000,76694
CPP,Single,true,8000000,88839
CPP,Single,false,8000000,93409
CPP,Parallel,false,8000000,52516
CPP,Single,true,6000000,67805
CPP,Single,false,6000000,71820
CPP,Parallel,false,6000000,40955
CPP,Single,true,4000000,46638
CPP,Single,false,4000000,49232
CPP,Parallel,false,4000000,29244
CPP,Single,true,2000000,25691
CPP,Single,false,2000000,26963
CPP,Parallel,false,2000000,17620
CPP,Single,true,10000000,110139
CPP,Single,false,10000000,114698
CPP,Parallel,false,10000000,77408
CPP,Single,true,8000000,88804
CPP,Single,false,8000000,91216
CPP,Parallel,false,8000000,52736
CPP,Single,true,6000000,67793
CPP,Single,false,6000000,69489
CPP,Parallel,false,6000000,41174
CPP,Single,true,4000000,46674
CPP,Single,false,4000000,49591
CPP,Parallel,false,4000000,29171
CPP,Single,true,2000000,25717
CPP,Single,false,2000000,26305
CPP,Parallel,false,2000000,18239
CPP,Single,true,10000000,110064
CPP,Single,false,10000000,117918
CPP,Parallel,false,10000000,76497
CPP,Single,true,8000000,88710
CPP,Single,false,8000000,93931
CPP,Parallel,false,8000000,52476
CPP,Single,true,6000000,67559
CPP,Single,false,6000000,71412
CPP,Parallel,false,6000000,40967
CPP,Single,true,4000000,46731
CPP,Single,false,4000000,49165
CPP,Parallel,false,4000000,29059
CPP,Single,true,2000000,25738
CPP,Single,false,2000000,26977
CPP,Parallel,false,2000000,17635
CPP,Single,true,10000000,110015
CPP,Single,false,10000000,116971
CPP,Parallel,false,10000000,76462
CPP,Single,true,8000000,88485
CPP,Single,false,8000000,95427
CPP,Parallel,false,8000000,52467
CPP,Single,true,6000000,67719
CPP,Single,false,6000000,72297
CPP,Parallel,false,6000000,40932
CPP,Single,true,4000000,46725
CPP,Single,false,4000000,50345
CPP,Parallel,false,4000000,29052
CPP,Single,true,2000000,25713
CPP,Single,false,2000000,26323
CPP,Parallel,false,2000000,17692
CPP,Single,true,10000000,110287
CPP,Single,false,10000000,117731
CPP,Parallel,false,10000000,76264
CPP,Single,true,8000000,88843
CPP,Single,false,8000000,92185
CPP,Parallel,false,8000000,52578
CPP,Single,true,6000000,67791
CPP,Single,false,6000000,71956
CPP,Parallel,false,6000000,41012
CPP,Single,true,4000000,46764
CPP,Single,false,4000000,49758
CPP,Parallel,false,4000000,29058
CPP,Single,true,2000000,25652
CPP,Single,false,2000000,26952
CPP,Parallel,false,2000000,18306
CPP,Single,true,10000000,109707
CPP,Single,false,10000000,116974
CPP,Parallel,false,10000000,77233
CPP,Single,true,8000000,88726
CPP,Single,false,8000000,93439
CPP,Parallel,false,8000000,52532
CPP,Single,true,6000000,67704
CPP,Single,false,6000000,70722
CPP,Parallel,false,6000000,41053
CPP,Single,true,4000000,46755
CPP,Single,false,4000000,49043
CPP,Parallel,false,4000000,29038
CPP,Single,true,2000000,25753
CPP,Single,false,2000000,27956
CPP,Parallel,false,2000000,17702
