baseline,language,plan,machineip,time
JsonRust,Rust,Total,d2d,10.128.0.31 ,332626
JsonRust,Rust,IO,d2d,10.128.0.31 ,85893
BincodeRust,Rust,Total,d2d,10.128.0.31 ,158335
BincodeRust,Rust,IO,d2d,10.128.0.31 ,34405
MessagePackRust,Rust,Total,d2d,10.128.0.31 ,182971
MessagePackRust,Rust,IO,d2d,10.128.0.31 ,26444
BsonRust,Rust,Total,d2d,10.128.0.31 ,738019
BsonRust,Rust,IO,d2d,10.128.0.31 ,80682
FlexBufRust,Rust,Total,d2d,10.128.0.31 ,488523
FlexBufRust,Rust,IO,d2d,10.128.0.31 ,76997
JsonRust,Rust,Total,d2d,10.128.0.31 ,329067
JsonRust,Rust,IO,d2d,10.128.0.31 ,86278
BincodeRust,Rust,Total,d2d,10.128.0.31 ,158535
BincodeRust,Rust,IO,d2d,10.128.0.31 ,34621
MessagePackRust,Rust,Total,d2d,10.128.0.31 ,185965
MessagePackRust,Rust,IO,d2d,10.128.0.31 ,24716
BsonRust,Rust,Total,d2d,10.128.0.31 ,739954
BsonRust,Rust,IO,d2d,10.128.0.31 ,80448
FlexBufRust,Rust,Total,d2d,10.128.0.31 ,490483
FlexBufRust,Rust,IO,d2d,10.128.0.31 ,76837
JsonRust,Rust,Total,d2d,10.128.0.31 ,320581
JsonRust,Rust,IO,d2d,10.128.0.31 ,87307
BincodeRust,Rust,Total,d2d,10.128.0.31 ,161305
BincodeRust,Rust,IO,d2d,10.128.0.31 ,34178
MessagePackRust,Rust,Total,d2d,10.128.0.31 ,183936
MessagePackRust,Rust,IO,d2d,10.128.0.31 ,24414
BsonRust,Rust,Total,d2d,10.128.0.31 ,750509
BsonRust,Rust,IO,d2d,10.128.0.31 ,79664
FlexBufRust,Rust,Total,d2d,10.128.0.31 ,489471
FlexBufRust,Rust,IO,d2d,10.128.0.31 ,76847
