baseline,language,plan,machineip,time
HandcodedCPP,CPP,Total,d2d,10.128.0.3 ,440576
HandcodedCPP,CPP,IO,d2d,10.128.0.3 ,60436
inPlaceCPP,CPP,Total,d2d,10.128.0.3 ,205612
inPlaceCPP,CPP,IO,d2d,10.128.0.3 ,88648
BoostCPP,CPP,Total,d2d,10.128.0.3 ,1150990
BoostCPP,CPP,IO,d2d,10.128.0.3 ,64137
ProtoBufCPP,CPP,Total,d2d,10.128.0.3 ,638209
ProtoBufCPP,CPP,IO,d2d,10.128.0.3 ,58733
BsonCPP,CPP,Total,d2d,10.128.0.3 ,9069050
BsonCPP,CPP,IO,d2d,10.128.0.3 ,131265
FlatBufCPP,CPP,Total,d2d,10.128.0.3 ,440050
FlatBufCPP,CPP,IO,d2d,10.128.0.3 ,81997
HandcodedCPP,CPP,Total,d2d,10.128.0.3 ,448888
HandcodedCPP,CPP,IO,d2d,10.128.0.3 ,60306
inPlaceCPP,CPP,Total,d2d,10.128.0.3 ,201282
inPlaceCPP,CPP,IO,d2d,10.128.0.3 ,87794
BoostCPP,CPP,Total,d2d,10.128.0.3 ,1111205
BoostCPP,CPP,IO,d2d,10.128.0.3 ,64417
ProtoBufCPP,CPP,Total,d2d,10.128.0.3 ,641530
ProtoBufCPP,CPP,IO,d2d,10.128.0.3 ,65881
BsonCPP,CPP,Total,d2d,10.128.0.3 ,9045074
BsonCPP,CPP,IO,d2d,10.128.0.3 ,131131
FlatBufCPP,CPP,Total,d2d,10.128.0.3 ,452657
FlatBufCPP,CPP,Total,d2d,10.128.0.3 ,444690
FlatBufCPP,CPP,IO,d2d,10.128.0.3 ,81691
HandcodedCPP,CPP,Total,d2d,10.128.0.3 ,442974
HandcodedCPP,CPP,IO,d2d,10.128.0.3 ,63585
inPlaceCPP,CPP,Total,d2d,10.128.0.3 ,207614
inPlaceCPP,CPP,IO,d2d,10.128.0.3 ,88209
BoostCPP,CPP,Total,d2d,10.128.0.3 ,1115478
BoostCPP,CPP,IO,d2d,10.128.0.3 ,66991
ProtoBufCPP,CPP,Total,d2d,10.128.0.3 ,632606
ProtoBufCPP,CPP,IO,d2d,10.128.0.3 ,61468
BsonCPP,CPP,Total,d2d,10.128.0.3 ,9032429
BsonCPP,CPP,IO,d2d,10.128.0.3 ,130252
FlatBufCPP,CPP,Total,d2d,10.128.0.3 ,442728
FlatBufCPP,CPP,IO,d2d,10.128.0.3 ,81508
HandcodedCPP,CPP,Total,d2d,10.128.0.3 ,444868
HandcodedCPP,CPP,IO,d2d,10.128.0.3 ,60248
inPlaceCPP,CPP,Total,d2d,10.128.0.3 ,197262
inPlaceCPP,CPP,IO,d2d,10.128.0.3 ,87945
BoostCPP,CPP,Total,d2d,10.128.0.3 ,1118395
BoostCPP,CPP,IO,d2d,10.128.0.3 ,5626
BoostCPP,CPP,Total,d2d,10.128.0.3 ,1100836
BoostCPP,CPP,IO,d2d,10.128.0.3 ,67461
ProtoBufCPP,CPP,Total,d2d,10.128.0.3 ,639380
ProtoBufCPP,CPP,IO,d2d,10.128.0.3 ,63611
BsonCPP,CPP,Total,d2d,10.128.0.3 ,9075951
BsonCPP,CPP,IO,d2d,10.128.0.3 ,134572
FlatBufCPP,CPP,Total,d2d,10.128.0.3 ,441619
FlatBufCPP,CPP,IO,d2d,10.128.0.3 ,83614

