baseline,language,taskset,execution,platform,seq_rand,nrow,time
Json+GzipJava,Java,false,IO,Single,Sequential,10000000,37491
Json+GzipJava,Java,true,IO,Single,Sequential,10000000,48569
Json+GzipJava,Java,false,IO,Parallel,Sequential,10000000,48340
Json+GzipJava,Java,false,IO,Single,Random,10000000,376135
Json+GzipJava,Java,true,IO,Single,Random,10000000,376744
Json+GzipJava,Java,false,IO,Parallel,Random,10000000,80423
Json+GzipJava,Java,false,Total,Single,Sequential,10000000,1199445
Json+GzipJava,Java,true,Total,Single,Sequential,10000000,1266810
Json+GzipJava,Java,false,Total,Parallel,Sequential,10000000,188972
Json+GzipJava,Java,false,Total,Single,Random,10000000,1635120
Json+GzipJava,Java,true,Total,Single,Random,10000000,1658953
Json+GzipJava,Java,false,Total,Parallel,Random,10000000,428073
Json+GzipJava,Java,false,IO,Single,Sequential,8000000,30146
Json+GzipJava,Java,true,IO,Single,Sequential,8000000,39159
Json+GzipJava,Java,false,IO,Parallel,Sequential,8000000,41853
Json+GzipJava,Java,false,IO,Single,Random,8000000,314238
Json+GzipJava,Java,true,IO,Single,Random,8000000,316680
Json+GzipJava,Java,false,IO,Parallel,Random,8000000,72481
Json+GzipJava,Java,false,Total,Single,Sequential,8000000,942762
Json+GzipJava,Java,true,Total,Single,Sequential,8000000,1010142
Json+GzipJava,Java,false,Total,Parallel,Sequential,8000000,123604
Json+GzipJava,Java,false,Total,Single,Random,8000000,1271345
Json+GzipJava,Java,true,Total,Single,Random,8000000,1348074
Json+GzipJava,Java,false,Total,Parallel,Random,8000000,207300
Json+GzipJava,Java,false,IO,Single,Sequential,6000000,23551
Json+GzipJava,Java,true,IO,Single,Sequential,6000000,29620
Json+GzipJava,Java,false,IO,Parallel,Sequential,6000000,35777
Json+GzipJava,Java,false,IO,Single,Random,6000000,253607
Json+GzipJava,Java,true,IO,Single,Random,6000000,255800
Json+GzipJava,Java,false,IO,Parallel,Random,6000000,65683
Json+GzipJava,Java,false,Total,Single,Sequential,6000000,731522
Json+GzipJava,Java,true,Total,Single,Sequential,6000000,763033
Json+GzipJava,Java,false,Total,Parallel,Sequential,6000000,112088
Json+GzipJava,Java,false,Total,Single,Random,6000000,1014367
Json+GzipJava,Java,true,Total,Single,Random,6000000,1014605
Json+GzipJava,Java,false,Total,Parallel,Random,6000000,158012
Json+GzipJava,Java,false,IO,Single,Sequential,4000000,16387
Json+GzipJava,Java,true,IO,Single,Sequential,4000000,20460
Json+GzipJava,Java,false,IO,Parallel,Sequential,4000000,28545
Json+GzipJava,Java,false,IO,Single,Random,4000000,193473
Json+GzipJava,Java,true,IO,Single,Random,4000000,194262
Json+GzipJava,Java,false,IO,Parallel,Random,4000000,59056
Json+GzipJava,Java,false,Total,Single,Sequential,4000000,504309
Json+GzipJava,Java,true,Total,Single,Sequential,4000000,516483
Json+GzipJava,Java,false,Total,Parallel,Sequential,4000000,68138
Json+GzipJava,Java,false,Total,Single,Random,4000000,695220
Json+GzipJava,Java,true,Total,Single,Random,4000000,715971
Json+GzipJava,Java,false,Total,Parallel,Random,4000000,116939
Json+GzipJava,Java,false,IO,Single,Sequential,2000000,9432
Json+GzipJava,Java,true,IO,Single,Sequential,2000000,11284
Json+GzipJava,Java,false,IO,Parallel,Sequential,2000000,22149
Json+GzipJava,Java,false,IO,Single,Random,2000000,132301
Json+GzipJava,Java,true,IO,Single,Random,2000000,131788
Json+GzipJava,Java,false,IO,Parallel,Random,2000000,52612
Json+GzipJava,Java,false,Total,Single,Sequential,2000000,245666
Json+GzipJava,Java,true,Total,Single,Sequential,2000000,256964
Json+GzipJava,Java,false,Total,Parallel,Sequential,2000000,42613
Json+GzipJava,Java,false,Total,Single,Random,2000000,393600
Json+GzipJava,Java,true,Total,Single,Random,2000000,396462
Json+GzipJava,Java,false,Total,Parallel,Random,2000000,87893
BsonJava,Java,false,IO,Single,Sequential,10000000,148810
BsonJava,Java,true,IO,Single,Sequential,10000000,178516
BsonJava,Java,false,IO,Parallel,Sequential,10000000,159480
BsonJava,Java,false,IO,Single,Random,10000000,598796
BsonJava,Java,true,IO,Single,Random,10000000,600163
BsonJava,Java,false,IO,Parallel,Random,10000000,182780
BsonJava,Java,false,Total,Single,Sequential,10000000,686229
BsonJava,Java,true,Total,Single,Sequential,10000000,751850
BsonJava,Java,false,Total,Parallel,Sequential,10000000,220595
BsonJava,Java,false,Total,Single,Random,10000000,3327270
BsonJava,Java,true,Total,Single,Random,10000000,3039520
BsonJava,Java,false,Total,Parallel,Random,10000000,1589603
BsonJava,Java,false,IO,Single,Sequential,8000000,118580
BsonJava,Java,true,IO,Single,Sequential,8000000,140991
BsonJava,Java,false,IO,Parallel,Sequential,8000000,130408
BsonJava,Java,false,IO,Single,Random,8000000,539467
BsonJava,Java,true,IO,Single,Random,8000000,531846
BsonJava,Java,false,IO,Parallel,Random,8000000,175925
BsonJava,Java,false,Total,Single,Sequential,8000000,543522
BsonJava,Java,true,Total,Single,Sequential,8000000,609142
BsonJava,Java,false,Total,Parallel,Sequential,8000000,173498
BsonJava,Java,false,Total,Single,Random,8000000,1752460
BsonJava,Java,true,Total,Single,Random,8000000,1649185
BsonJava,Java,false,Total,Parallel,Random,8000000,723001
BsonJava,Java,false,IO,Single,Sequential,6000000,88667
BsonJava,Java,true,IO,Single,Sequential,6000000,107086
BsonJava,Java,false,IO,Parallel,Sequential,6000000,101782
BsonJava,Java,false,IO,Single,Random,6000000,473893
BsonJava,Java,true,IO,Single,Random,6000000,473059
BsonJava,Java,false,IO,Parallel,Random,6000000,169373
BsonJava,Java,false,Total,Single,Sequential,6000000,407897
BsonJava,Java,true,Total,Single,Sequential,6000000,459529
BsonJava,Java,false,Total,Parallel,Sequential,6000000,130047
BsonJava,Java,false,Total,Single,Random,6000000,921137
BsonJava,Java,true,Total,Single,Random,6000000,912404
BsonJava,Java,false,Total,Parallel,Random,6000000,294818
BsonJava,Java,false,IO,Single,Sequential,4000000,60004
BsonJava,Java,true,IO,Single,Sequential,4000000,71799
BsonJava,Java,false,IO,Parallel,Sequential,4000000,74229
BsonJava,Java,false,IO,Single,Random,4000000,415028
BsonJava,Java,true,IO,Single,Random,4000000,411983
BsonJava,Java,false,IO,Parallel,Random,4000000,162918
BsonJava,Java,false,Total,Single,Sequential,4000000,282944
BsonJava,Java,true,Total,Single,Sequential,4000000,304863
BsonJava,Java,false,Total,Parallel,Sequential,4000000,83200
BsonJava,Java,false,Total,Single,Random,4000000,679391
BsonJava,Java,true,Total,Single,Random,4000000,707409
BsonJava,Java,false,Total,Parallel,Random,4000000,207858
BsonJava,Java,false,IO,Single,Sequential,2000000,30955
BsonJava,Java,true,IO,Single,Sequential,2000000,36843
BsonJava,Java,false,IO,Parallel,Sequential,2000000,45502
BsonJava,Java,false,IO,Single,Random,2000000,351457
BsonJava,Java,true,IO,Single,Random,2000000,349406
BsonJava,Java,false,IO,Parallel,Random,2000000,156187
BsonJava,Java,false,Total,Single,Sequential,2000000,142449
BsonJava,Java,true,Total,Single,Sequential,2000000,149635
BsonJava,Java,false,Total,Parallel,Sequential,2000000,50554
BsonJava,Java,false,Total,Single,Random,2000000,496028
BsonJava,Java,true,Total,Single,Random,2000000,513509
BsonJava,Java,false,Total,Parallel,Random,2000000,181052
ProtoBufJava,Java,false,IO,Single,Sequential,10000000,58615
ProtoBufJava,Java,true,IO,Single,Sequential,10000000,70109
ProtoBufJava,Java,false,IO,Parallel,Sequential,10000000,70518
ProtoBufJava,Java,false,IO,Single,Random,10000000,421122
ProtoBufJava,Java,true,IO,Single,Random,10000000,419553
ProtoBufJava,Java,false,IO,Parallel,Random,10000000,100141
ProtoBufJava,Java,false,Total,Single,Sequential,10000000,232320
ProtoBufJava,Java,true,Total,Single,Sequential,10000000,317322
ProtoBufJava,Java,false,Total,Parallel,Sequential,10000000,84079
ProtoBufJava,Java,false,Total,Single,Random,10000000,639397
ProtoBufJava,Java,true,Total,Single,Random,10000000,683518
ProtoBufJava,Java,false,Total,Parallel,Random,10000000,150207
ProtoBufJava,Java,false,IO,Single,Sequential,8000000,47150
ProtoBufJava,Java,true,IO,Single,Sequential,8000000,56383
ProtoBufJava,Java,false,IO,Parallel,Sequential,8000000,59137
ProtoBufJava,Java,false,IO,Single,Random,8000000,361420
ProtoBufJava,Java,true,IO,Single,Random,8000000,355679
ProtoBufJava,Java,false,IO,Parallel,Random,8000000,92729
ProtoBufJava,Java,false,Total,Single,Sequential,8000000,172200
ProtoBufJava,Java,true,Total,Single,Sequential,8000000,257434
ProtoBufJava,Java,false,Total,Parallel,Sequential,8000000,79587
ProtoBufJava,Java,false,Total,Single,Random,8000000,529677
ProtoBufJava,Java,true,Total,Single,Random,8000000,567667
ProtoBufJava,Java,false,Total,Parallel,Random,8000000,141853
ProtoBufJava,Java,false,IO,Single,Sequential,6000000,37071
ProtoBufJava,Java,true,IO,Single,Sequential,6000000,44866
ProtoBufJava,Java,false,IO,Parallel,Sequential,6000000,48472
ProtoBufJava,Java,false,IO,Single,Random,6000000,298668
ProtoBufJava,Java,true,IO,Single,Random,6000000,297754
ProtoBufJava,Java,false,IO,Parallel,Random,6000000,88286
ProtoBufJava,Java,false,Total,Single,Sequential,6000000,129748
ProtoBufJava,Java,true,Total,Single,Sequential,6000000,194808
ProtoBufJava,Java,false,Total,Parallel,Sequential,6000000,73975
ProtoBufJava,Java,false,Total,Single,Random,6000000,399082
ProtoBufJava,Java,true,Total,Single,Random,6000000,456771
ProtoBufJava,Java,false,Total,Parallel,Random,6000000,131508
ProtoBufJava,Java,false,IO,Single,Sequential,4000000,25545
ProtoBufJava,Java,true,IO,Single,Sequential,4000000,30609
ProtoBufJava,Java,false,IO,Parallel,Sequential,4000000,37626
ProtoBufJava,Java,false,IO,Single,Random,4000000,235206
ProtoBufJava,Java,true,IO,Single,Random,4000000,236625
ProtoBufJava,Java,false,IO,Parallel,Random,4000000,79888
ProtoBufJava,Java,false,Total,Single,Sequential,4000000,75730
