baseline,language,taskset,execution,platform,seq_rand,nrow,time
JsonRust,Rust,false,IO,Single,Sequential,10000000,143875
JsonRust,Rust,true,IO,Single,Sequential,10000000,144997
JsonRust,Rust,false,IO,Parallel,Sequential,10000000,128368
JsonRust,Rust,false,IO,Single,Random,10000000,712268
JsonRust,Rust,true,IO,Single,Random,10000000,720306
JsonRust,Rust,false,IO,Parallel,Random,10000000,151777
JsonRust,Rust,false,Total,Single,Sequential,10000000,487536
JsonRust,Rust,true,Total,Single,Sequential,10000000,449896
JsonRust,Rust,false,Total,Parallel,Sequential,10000000,163381
JsonRust,Rust,false,Total,Single,Random,10000000,2072710
JsonRust,Rust,true,Total,Single,Random,10000000,2070204
JsonRust,Rust,false,Total,Parallel,Random,10000000,830149
JsonRust,Rust,false,IO,Single,Sequential,8000000,115625
JsonRust,Rust,true,IO,Single,Sequential,8000000,115448
JsonRust,Rust,false,IO,Parallel,Sequential,8000000,103814
JsonRust,Rust,false,IO,Single,Random,8000000,623498
JsonRust,Rust,true,IO,Single,Random,8000000,630636
JsonRust,Rust,false,IO,Parallel,Random,8000000,146277
JsonRust,Rust,false,Total,Single,Sequential,8000000,382080
JsonRust,Rust,true,Total,Single,Sequential,8000000,357237
JsonRust,Rust,false,Total,Parallel,Sequential,8000000,140957
JsonRust,Rust,false,Total,Single,Random,8000000,1067130
JsonRust,Rust,true,Total,Single,Random,8000000,1062110
JsonRust,Rust,false,Total,Parallel,Random,8000000,304893
JsonRust,Rust,false,IO,Single,Sequential,6000000,87168
JsonRust,Rust,true,IO,Single,Sequential,6000000,86866
JsonRust,Rust,false,IO,Parallel,Sequential,6000000,78623
JsonRust,Rust,false,IO,Single,Random,6000000,525190
JsonRust,Rust,true,IO,Single,Random,6000000,525852
JsonRust,Rust,false,IO,Parallel,Random,6000000,140699
JsonRust,Rust,false,Total,Single,Sequential,6000000,284065
JsonRust,Rust,true,Total,Single,Sequential,6000000,269353
JsonRust,Rust,false,Total,Parallel,Sequential,6000000,98703
JsonRust,Rust,false,Total,Single,Random,6000000,735567
