baseline,language,plan,machineip,time
JsonRust,Rust,Total,d2d,10.128.0.3 ,801893
JsonRust,Rust,IO,d2d,10.128.0.3 ,125169
BincodeRust,Rust,Total,d2d,10.128.0.3 ,440604
BincodeRust,Rust,IO,d2d,10.128.0.3 ,66121
MessagePackRust,Rust,Total,d2d,10.128.0.3 ,492781
MessagePackRust,Rust,IO,d2d,10.128.0.3 ,49274
BsonRust,Rust,Total,d2d,10.128.0.3 ,2011386
BsonRust,Rust,IO,d2d,10.128.0.3 ,119500
FlexBufRust,Rust,Total,d2d,10.128.0.3 ,1151326
FlexBufRust,Rust,IO,d2d,10.128.0.3 ,112697
JsonRust,Rust,Total,d2d,10.128.0.3 ,803024
JsonRust,Rust,IO,d2d,10.128.0.3 ,125503
BincodeRust,Rust,Total,d2d,10.128.0.3 ,437706
BincodeRust,Rust,IO,d2d,10.128.0.3 ,65689
MessagePackRust,Rust,Total,d2d,10.128.0.3 ,527299
MessagePackRust,Rust,IO,d2d,10.128.0.3 ,49265
BsonRust,Rust,Total,d2d,10.128.0.3 ,2009782
BsonRust,Rust,IO,d2d,10.128.0.3 ,119529
FlexBufRust,Rust,Total,d2d,10.128.0.3 ,1167372
FlexBufRust,Rust,IO,d2d,10.128.0.3 ,112975
JsonRust,Rust,Total,d2d,10.128.0.3 ,808789
JsonRust,Rust,IO,d2d,10.128.0.3 ,125027
BincodeRust,Rust,Total,d2d,10.128.0.3 ,431457
BincodeRust,Rust,IO,d2d,10.128.0.3 ,65815
MessagePackRust,Rust,Total,d2d,10.128.0.3 ,519458
MessagePackRust,Rust,IO,d2d,10.128.0.3 ,49323
BsonRust,Rust,Total,d2d,10.128.0.3 ,2032311
BsonRust,Rust,IO,d2d,10.128.0.3 ,119334
FlexBufRust,Rust,Total,d2d,10.128.0.3 ,1158885
FlexBufRust,Rust,IO,d2d,10.128.0.3 ,112873
JsonRust,Rust,Total,d2d,10.128.0.3 ,808362
JsonRust,Rust,IO,d2d,10.128.0.3 ,125421
BincodeRust,Rust,Total,d2d,10.128.0.3 ,439993
BincodeRust,Rust,IO,d2d,10.128.0.3 ,65750
MessagePackRust,Rust,Total,d2d,10.128.0.3 ,498312
MessagePackRust,Rust,IO,d2d,10.128.0.3 ,49308
BsonRust,Rust,Total,d2d,10.128.0.3 ,2011841
BsonRust,Rust,IO,d2d,10.128.0.3 ,119297
FlexBufRust,Rust,Total,d2d,10.128.0.3 ,1153388
FlexBufRust,Rust,IO,d2d,10.128.0.3 ,112854
JsonRust,Rust,Total,d2d,10.128.0.3 ,788567
JsonRust,Rust,IO,d2d,10.128.0.3 ,125022
BincodeRust,Rust,Total,d2d,10.128.0.3 ,430344
BincodeRust,Rust,IO,d2d,10.128.0.3 ,65936
MessagePackRust,Rust,Total,d2d,10.128.0.3 ,507074
MessagePackRust,Rust,IO,d2d,10.128.0.3 ,49330
BsonRust,Rust,Total,d2d,10.128.0.3 ,2016035
BsonRust,Rust,IO,d2d,10.128.0.3 ,119424
FlexBufRust,Rust,Total,d2d,10.128.0.3 ,1150588
FlexBufRust,Rust,IO,d2d,10.128.0.3 ,112764
