baseline,language,taskset,execution,chunk_size,nrow,time
DefaultJava,Java,false,Total,1000000,7000000,1644665
DefaultJava,Java,false,IO,1000000,7000000,279640
DefaultJava,Java,true,Total,1000000,7000000,1616412
DefaultJava,Java,true,IO,1000000,7000000,290325
Json+GzipJava,Java,false,Total,1000000,7000000,3590569
Json+GzipJava,Java,false,IO,1000000,7000000,63247
Json+GzipJava,Java,true,Total,1000000,7000000,3468657
Json+GzipJava,Java,true,IO,1000000,7000000,65309
BsonJava,Java,false,Total,1000000,7000000,1172371
BsonJava,Java,false,IO,1000000,7000000,287289
BsonJava,Java,true,Total,1000000,7000000,1132776
BsonJava,Java,true,IO,1000000,7000000,301773
ProtoBufJava,Java,false,Total,1000000,7000000,308432
ProtoBufJava,Java,false,IO,1000000,7000000,109292
ProtoBufJava,Java,true,Total,1000000,7000000,371973
ProtoBufJava,Java,true,IO,1000000,7000000,116543
KryoJava,Java,false,Total,1000000,7000000,326087
KryoJava,Java,false,IO,1000000,7000000,104891
KryoJava,Java,true,Total,1000000,7000000,355430
KryoJava,Java,true,IO,1000000,7000000,114286
ByteBufferJava,Java,false,Total,1000000,7000000,347319
ByteBufferJava,Java,false,IO,1000000,7000000,130262
ByteBufferJava,Java,true,Total,1000000,7000000,337951
ByteBufferJava,Java,true,IO,1000000,7000000,137142
JsonJava,Java,false,Total,1000000,7000000,2003540
JsonJava,Java,false,IO,1000000,7000000,242246
JsonJava,Java,true,Total,1000000,7000000,1863482
JsonJava,Java,true,IO,1000000,7000000,259459
FlatBuffersJava,Java,false,Total,1000000,7000000,216926
FlatBuffersJava,Java,false,IO,1000000,7000000,164949
FlatBuffersJava,Java,true,Total,1000000,7000000,229182
FlatBuffersJava,Java,true,IO,1000000,7000000,175090
HandcodedCPP,CPP,false,IO,1000000,7000000,76065
HandcodedCPP,CPP,false,Total,1000000,7000000,123138
HandcodedCPP,CPP,true,Total,1000000,7000000,115102
HandcodedCPP,CPP,true,IO,1000000,7000000,85550
inPlaceCPP,CPP,false,IO,1000000,7000000,177824
inPlaceCPP,CPP,false,Total,1000000,7000000,172508
inPlaceCPP,CPP,true,Total,1000000,7000000,171398
inPlaceCPP,CPP,true,IO,1000000,7000000,170238
BoostCPP,CPP,false,IO,1000000,7000000,72089
BoostCPP,CPP,false,Total,1000000,7000000,631238
BoostCPP,CPP,true,Total,1000000,7000000,631332
BoostCPP,CPP,true,IO,1000000,7000000,83634
ProtoBufCPP,CPP,false,IO,1000000,7000000,60938
ProtoBufCPP,CPP,false,Total,1000000,7000000,192925
ProtoBufCPP,CPP,true,Total,1000000,7000000,188137
ProtoBufCPP,CPP,true,IO,1000000,7000000,76318
BsonCPP,CPP,false,IO,1000000,7000000,250745
BsonCPP,CPP,false,Total,1000000,7000000,3268631
BsonCPP,CPP,true,Total,1000000,7000000,3267161
BsonCPP,CPP,true,IO,1000000,7000000,251398
FlatBufCPP,CPP,false,IO,1000000,7000000,156243
