language,platform,taskset,nrow,time
Java,Single,true,5000000,69667
Java,Single,false,5000000,68420
Java,Parallel,false,5000000,31196
Java,Single,true,4000000,55887
Java,Single,false,4000000,54577
Java,Parallel,false,4000000,26388
Java,Single,true,3000000,43210
Java,Single,false,3000000,45411
Java,Parallel,false,3000000,23322
Java,Single,true,2000000,31316
Java,Single,false,2000000,31805
Java,Parallel,false,2000000,18497
Java,Single,true,1000000,18071
Java,Single,false,1000000,18541
Java,Parallel,false,1000000,14818
Java,Single,true,5000000,68360
Java,Single,false,5000000,68173
Java,Parallel,false,5000000,30275
Java,Single,true,4000000,56157
Java,Single,false,4000000,56897
Java,Parallel,false,4000000,26011
Java,Single,true,3000000,43460
Java,Single,false,3000000,45960
Java,Parallel,false,3000000,23063
Java,Single,true,2000000,30257
Java,Single,false,2000000,32259
Java,Parallel,false,2000000,18490
Java,Single,true,1000000,17902
Java,Single,false,1000000,18014
Java,Parallel,false,1000000,14667
Java,Single,true,5000000,67898
Java,Single,false,5000000,71556
Java,Parallel,false,5000000,30318
Java,Single,true,4000000,54650
Java,Single,false,4000000,59088
Java,Parallel,false,4000000,26272
Java,Single,true,3000000,42734
Java,Single,false,3000000,44894
Java,Parallel,false,3000000,22548
Java,Single,true,2000000,30541
Java,Single,false,2000000,31376
Java,Parallel,false,2000000,18652
Java,Single,true,1000000,17929
Java,Single,false,1000000,18411
Java,Parallel,false,1000000,14945
Java,Single,true,5000000,69098
Java,Single,false,5000000,74159
Java,Parallel,false,5000000,30107
Java,Single,true,4000000,55390
Java,Single,false,4000000,57869
Java,Parallel,false,4000000,25972
Java,Single,true,3000000,43462
Java,Single,false,3000000,44536
Java,Parallel,false,3000000,22959
Java,Single,true,2000000,30371
Java,Single,false,2000000,32642
Java,Parallel,false,2000000,18813
Java,Single,true,1000000,17928
Java,Single,false,1000000,19919
Java,Parallel,false,1000000,14704
Java,Single,true,5000000,67661
Java,Single,false,5000000,73564
Java,Parallel,false,5000000,29938
Java,Single,true,4000000,55765
Java,Single,false,4000000,57216
Java,Parallel,false,4000000,26373
Java,Single,true,3000000,42764
Java,Single,false,3000000,42866
Java,Parallel,false,3000000,22201
Java,Single,true,2000000,30573
Java,Single,false,2000000,32409
Java,Parallel,false,2000000,18522
Java,Single,true,1000000,17892
Java,Single,false,1000000,17988
Java,Parallel,false,1000000,14827
Java,Single,true,5000000,68872
Java,Single,false,5000000,73025
Java,Parallel,false,5000000,30435
Java,Single,true,4000000,56665
Java,Single,false,4000000,58258
Java,Parallel,false,4000000,27119
Java,Single,true,3000000,42922
Java,Single,false,3000000,46501
Java,Parallel,false,3000000,22181
Java,Single,true,2000000,30301
Java,Single,false,2000000,31561
Java,Parallel,false,2000000,19468
Java,Single,true,1000000,17776
Java,Single,false,1000000,18043
Java,Parallel,false,1000000,14914
Java,Single,true,5000000,68713
Java,Single,false,5000000,69067
Java,Parallel,false,5000000,30237
Java,Single,true,4000000,56518
Java,Single,false,4000000,55519
Java,Parallel,false,4000000,26257
Java,Single,true,3000000,43524
Java,Single,false,3000000,44543
Java,Parallel,false,3000000,21964
Java,Single,true,2000000,30506
Java,Single,false,2000000,32153
Java,Parallel,false,2000000,18532
Java,Single,true,1000000,18388
Java,Single,false,1000000,19960
Java,Parallel,false,1000000,14612
Java,Single,true,5000000,68537
Java,Single,false,5000000,68708
Java,Parallel,false,5000000,29575
Java,Single,true,4000000,56744
Java,Single,false,4000000,58426
Java,Parallel,false,4000000,25937
Java,Single,true,3000000,43838
Java,Single,false,3000000,43231
Java,Parallel,false,3000000,23315
Java,Single,true,2000000,30251
Java,Single,false,2000000,33293
Java,Parallel,false,2000000,18355
Java,Single,true,1000000,17418
Java,Single,false,1000000,19194
Java,Parallel,false,1000000,14643
CPP,Single,true,5000000,47219
CPP,Single,false,5000000,47337
CPP,Parallel,false,5000000,23078
CPP,Single,true,4000000,38356
CPP,Single,false,4000000,38576
CPP,Parallel,false,4000000,19063
CPP,Single,true,3000000,29349
CPP,Single,false,3000000,29628
CPP,Parallel,false,3000000,15006
CPP,Single,true,2000000,20244
CPP,Single,false,2000000,20264
CPP,Parallel,false,2000000,10929
CPP,Single,true,1000000,11125
CPP,Single,false,1000000,11125
CPP,Parallel,false,1000000,6825
CPP,Single,true,5000000,47517
CPP,Single,false,5000000,47444
CPP,Parallel,false,5000000,23085
CPP,Single,true,4000000,38467
CPP,Single,false,4000000,38559
CPP,Parallel,false,4000000,19147
CPP,Single,true,3000000,29420
CPP,Single,false,3000000,29354
CPP,Parallel,false,3000000,15006
CPP,Single,true,2000000,20197
CPP,Single,false,2000000,20388
CPP,Parallel,false,2000000,10944
CPP,Single,true,1000000,11136
CPP,Single,false,1000000,11050
CPP,Parallel,false,1000000,6818
CPP,Single,true,5000000,47430
CPP,Single,false,5000000,47644
CPP,Parallel,false,5000000,23112
CPP,Single,true,4000000,38403
CPP,Single,false,4000000,38684
CPP,Parallel,false,4000000,19066
CPP,Single,true,3000000,29430
CPP,Single,false,3000000,29354
CPP,Parallel,false,3000000,15038
CPP,Single,true,2000000,20214
CPP,Single,false,2000000,20295
CPP,Parallel,false,2000000,10890
CPP,Single,true,1000000,11120
CPP,Single,false,1000000,11134
CPP,Parallel,false,1000000,6874
CPP,Single,true,5000000,47308
CPP,Single,false,5000000,47270
CPP,Parallel,false,5000000,23132
CPP,Single,true,4000000,38545
CPP,Single,false,4000000,38729
CPP,Parallel,false,4000000,19094
CPP,Single,true,3000000,29384
CPP,Single,false,3000000,29541
CPP,Parallel,false,3000000,15014
CPP,Single,true,2000000,20104
CPP,Single,false,2000000,20235
CPP,Parallel,false,2000000,10877
CPP,Single,true,1000000,11055
CPP,Single,false,1000000,11058
CPP,Parallel,false,1000000,6858
CPP,Single,true,5000000,47265
CPP,Single,false,5000000,47894
CPP,Parallel,false,5000000,23099
CPP,Single,true,4000000,38425
CPP,Single,false,4000000,38594
CPP,Parallel,false,4000000,19045
CPP,Single,true,3000000,29374
CPP,Single,false,3000000,29663
CPP,Parallel,false,3000000,14958
CPP,Single,true,2000000,20385
CPP,Single,false,2000000,20340
CPP,Parallel,false,2000000,10892
CPP,Single,true,1000000,11099
CPP,Single,false,1000000,11053
CPP,Parallel,false,1000000,6852
CPP,Single,true,5000000,47384
CPP,Single,false,5000000,47897
CPP,Parallel,false,5000000,23051
CPP,Single,true,4000000,38613
CPP,Single,false,4000000,38772
CPP,Parallel,false,4000000,19083
CPP,Single,true,3000000,29401
CPP,Single,false,3000000,29552
CPP,Parallel,false,3000000,14955
CPP,Single,true,2000000,20298
CPP,Single,false,2000000,20240
CPP,Parallel,false,2000000,10914
CPP,Single,true,1000000,11137
CPP,Single,false,1000000,11080
CPP,Parallel,false,1000000,6847
Rust,Single,true,5000000,69485
Rust,Single,false,5000000,73178
Rust,Parallel,false,5000000,20610
Rust,Single,true,4000000,56558
Rust,Single,false,4000000,57791
Rust,Parallel,false,4000000,16388
Rust,Single,true,3000000,42218
Rust,Single,false,3000000,46216
Rust,Parallel,false,3000000,12595
Rust,Single,true,2000000,28511
Rust,Single,false,2000000,30602
Rust,Parallel,false,2000000,9264
Rust,Single,true,1000000,15036
Rust,Single,false,1000000,15012
Rust,Parallel,false,1000000,5223
Rust,Single,true,5000000,70206
Rust,Single,false,5000000,74325
Rust,Parallel,false,5000000,20388
Rust,Single,true,4000000,56408
Rust,Single,false,4000000,58318
Rust,Parallel,false,4000000,16627
Rust,Single,true,3000000,42274
Rust,Single,false,3000000,43023
Rust,Parallel,false,3000000,12869
Rust,Single,true,2000000,28521
Rust,Single,false,2000000,32352
Rust,Parallel,false,2000000,9189
Rust,Single,true,1000000,15002
Rust,Single,false,1000000,15852
Rust,Parallel,false,1000000,5486
Rust,Single,true,5000000,70094
Rust,Single,false,5000000,73178
Rust,Parallel,false,5000000,20153
Rust,Single,true,4000000,56578
Rust,Single,false,4000000,59121
Rust,Parallel,false,4000000,17102
Rust,Single,true,3000000,42213
Rust,Single,false,3000000,42231
Rust,Parallel,false,3000000,12718
Rust,Single,true,2000000,28490
Rust,Single,false,2000000,28398
Rust,Parallel,false,2000000,9327
Rust,Single,true,1000000,15032
Rust,Single,false,1000000,15052
Rust,Parallel,false,1000000,5259
Rust,Single,true,5000000,69785
Rust,Single,false,5000000,73808
Rust,Parallel,false,5000000,20548
Rust,Single,true,4000000,56427
Rust,Single,false,4000000,58171
Rust,Parallel,false,4000000,16747
Rust,Single,true,3000000,42246
Rust,Single,false,3000000,44182
Rust,Parallel,false,3000000,12715
Rust,Single,true,2000000,28582
Rust,Single,false,2000000,30575
Rust,Parallel,false,2000000,9268
Rust,Single,true,1000000,15067
Rust,Single,false,1000000,15000
Rust,Parallel,false,1000000,5223
Rust,Single,true,5000000,69843
Rust,Single,false,5000000,70832
Rust,Parallel,false,5000000,20213
Rust,Single,true,4000000,56356
Rust,Single,false,4000000,59113
Rust,Parallel,false,4000000,16939
Rust,Single,true,3000000,42194
Rust,Single,false,3000000,43279
Rust,Parallel,false,3000000,12993
Rust,Single,true,2000000,28380
Rust,Single,false,2000000,28537
Rust,Parallel,false,2000000,9364
Rust,Single,true,1000000,15053
Rust,Single,false,1000000,16563
Rust,Parallel,false,1000000,5543
