baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,IO,Single,Sequential,5000000,59174
DefaultJava,Java,true,IO,Single,Sequential,5000000,60130
DefaultJava,Java,false,IO,Parallel,Sequential,5000000,66288
DefaultJava,Java,false,Total,Single,Sequential,5000000,466203
DefaultJava,Java,true,Total,Single,Sequential,5000000,578165
DefaultJava,Java,false,Total,Parallel,Sequential,5000000,77833
DefaultJava,Java,false,IO,Single,Sequential,4000000,45330
DefaultJava,Java,true,IO,Single,Sequential,4000000,50191
DefaultJava,Java,false,IO,Parallel,Sequential,4000000,56929
DefaultJava,Java,false,Total,Single,Sequential,4000000,383823
DefaultJava,Java,true,Total,Single,Sequential,4000000,454391
DefaultJava,Java,false,Total,Parallel,Sequential,4000000,64632
DefaultJava,Java,false,IO,Single,Sequential,3000000,35391
DefaultJava,Java,true,IO,Single,Sequential,3000000,35531
DefaultJava,Java,false,IO,Parallel,Sequential,3000000,46442
DefaultJava,Java,false,Total,Single,Sequential,3000000,285183
DefaultJava,Java,true,Total,Single,Sequential,3000000,340050
DefaultJava,Java,false,Total,Parallel,Sequential,3000000,50846
DefaultJava,Java,false,IO,Single,Sequential,2000000,21395
DefaultJava,Java,true,IO,Single,Sequential,2000000,25426
DefaultJava,Java,false,IO,Parallel,Sequential,2000000,37185
DefaultJava,Java,false,Total,Single,Sequential,2000000,192223
DefaultJava,Java,true,Total,Single,Sequential,2000000,232829
DefaultJava,Java,false,Total,Parallel,Sequential,2000000,38060
DefaultJava,Java,false,IO,Single,Sequential,1000000,11346
DefaultJava,Java,true,IO,Single,Sequential,1000000,11741
DefaultJava,Java,false,IO,Parallel,Sequential,1000000,25179
DefaultJava,Java,false,Total,Single,Sequential,1000000,98820
DefaultJava,Java,true,Total,Single,Sequential,1000000,119815
DefaultJava,Java,false,Total,Parallel,Sequential,1000000,27090
Json+GzipJava,Java,false,IO,Single,Sequential,5000000,15670
Json+GzipJava,Java,true,IO,Single,Sequential,5000000,16084
Json+GzipJava,Java,false,IO,Parallel,Sequential,5000000,32532
Json+GzipJava,Java,false,Total,Single,Sequential,5000000,420268
Json+GzipJava,Java,true,Total,Single,Sequential,5000000,518281
Json+GzipJava,Java,false,Total,Parallel,Sequential,5000000,51188
Json+GzipJava,Java,false,IO,Single,Sequential,4000000,12813
Json+GzipJava,Java,true,IO,Single,Sequential,4000000,13187
Json+GzipJava,Java,false,IO,Parallel,Sequential,4000000,26738
Json+GzipJava,Java,false,Total,Single,Sequential,4000000,339189
Json+GzipJava,Java,true,Total,Single,Sequential,4000000,417543
Json+GzipJava,Java,false,Total,Parallel,Sequential,4000000,44198
Json+GzipJava,Java,false,IO,Single,Sequential,3000000,10029
Json+GzipJava,Java,true,IO,Single,Sequential,3000000,10375
Json+GzipJava,Java,false,IO,Parallel,Sequential,3000000,24234
Json+GzipJava,Java,false,Total,Single,Sequential,3000000,248270
Json+GzipJava,Java,true,Total,Single,Sequential,3000000,315571
Json+GzipJava,Java,false,Total,Parallel,Sequential,3000000,36287
Json+GzipJava,Java,false,IO,Single,Sequential,2000000,7190
Json+GzipJava,Java,true,IO,Single,Sequential,2000000,7592
Json+GzipJava,Java,false,IO,Parallel,Sequential,2000000,21457
Json+GzipJava,Java,false,Total,Single,Sequential,2000000,171925
Json+GzipJava,Java,true,Total,Single,Sequential,2000000,213526
Json+GzipJava,Java,false,Total,Parallel,Sequential,2000000,28331
