language,platform,taskset,nrow,time
CPP,Single,true,10000000,86174
CPP,Single,false,10000000,86977
CPP,Parallel,false,10000000,85512
CPP,Single,true,9000000,106464
CPP,Single,false,9000000,77791
CPP,Parallel,false,9000000,80516
CPP,Single,true,8000000,95760
CPP,Single,false,8000000,68947
CPP,Parallel,false,8000000,78868
CPP,Single,true,7000000,61089
CPP,Single,false,7000000,59905
CPP,Parallel,false,7000000,78686
CPP,Single,true,6000000,52577
CPP,Single,false,6000000,52621
CPP,Parallel,false,6000000,81428
CPP,Single,true,5000000,44538
CPP,Single,false,5000000,44810
CPP,Parallel,false,5000000,79118
CPP,Single,true,4000000,36591
CPP,Single,false,4000000,36568
CPP,Parallel,false,4000000,75693
CPP,Single,true,3000000,28291
CPP,Single,false,3000000,28260
CPP,Parallel,false,3000000,74368
CPP,Single,true,2000000,20049
CPP,Single,false,2000000,19786
CPP,Parallel,false,2000000,73436
CPP,Single,true,1000000,11823
CPP,Single,false,1000000,11906
CPP,Parallel,false,1000000,70849
CPP,Single,true,10000000,85376
CPP,Single,false,10000000,86601
CPP,Parallel,false,10000000,86028
CPP,Single,true,9000000,77348
CPP,Single,false,9000000,77512
CPP,Parallel,false,9000000,82264
CPP,Single,true,8000000,69391
CPP,Single,false,8000000,68962
CPP,Parallel,false,8000000,81628
CPP,Single,true,7000000,61649
CPP,Single,false,7000000,60161
CPP,Parallel,false,7000000,78249
CPP,Single,true,6000000,53287
CPP,Single,false,6000000,52178
CPP,Parallel,false,6000000,77247
CPP,Single,true,5000000,44328
CPP,Single,false,5000000,45331
CPP,Parallel,false,5000000,78092
CPP,Single,true,4000000,36802
CPP,Single,false,4000000,36555
CPP,Parallel,false,4000000,75209
CPP,Single,true,3000000,28219
CPP,Single,false,3000000,28386
CPP,Parallel,false,3000000,75790
CPP,Single,true,2000000,20403
CPP,Single,false,2000000,20038
CPP,Parallel,false,2000000,73643
CPP,Single,true,1000000,11854
CPP,Single,false,1000000,11803
CPP,Parallel,false,1000000,71980
CPP,Single,true,10000000,84854
CPP,Single,false,10000000,85790
CPP,Parallel,false,10000000,88040
CPP,Single,true,9000000,108745
CPP,Single,false,9000000,77989
CPP,Parallel,false,9000000,81213
CPP,Single,true,8000000,69321
CPP,Single,false,8000000,68478
CPP,Parallel,false,8000000,78334
CPP,Single,true,7000000,60674
CPP,Single,false,7000000,60606
CPP,Parallel,false,7000000,78341
CPP,Single,true,6000000,53325
CPP,Single,false,6000000,52732
CPP,Parallel,false,6000000,77145
CPP,Single,true,5000000,44533
CPP,Single,false,5000000,45372
CPP,Parallel,false,5000000,80915
CPP,Single,true,4000000,36466
CPP,Single,false,4000000,36337
CPP,Parallel,false,4000000,75643
CPP,Single,true,3000000,28706
CPP,Single,false,3000000,28078
CPP,Parallel,false,3000000,73972
CPP,Single,true,2000000,19970
CPP,Single,false,2000000,19867
CPP,Parallel,false,2000000,75867
CPP,Single,true,1000000,11860
CPP,Single,false,1000000,12018
CPP,Parallel,false,1000000,71946
CPP,Single,true,10000000,86048
CPP,Single,false,10000000,85069
CPP,Parallel,false,10000000,87444
CPP,Single,true,9000000,77282
CPP,Single,false,9000000,77927
CPP,Parallel,false,9000000,83566
CPP,Single,true,8000000,68916
CPP,Single,false,8000000,69370
CPP,Parallel,false,8000000,80197
CPP,Single,true,7000000,60296
CPP,Single,false,7000000,61173
CPP,Parallel,false,7000000,80039
CPP,Single,true,6000000,52331
CPP,Single,false,6000000,52982
CPP,Parallel,false,6000000,79402
CPP,Single,true,5000000,44555
CPP,Single,false,5000000,44776
CPP,Parallel,false,5000000,78464
CPP,Single,true,4000000,36455
CPP,Single,false,4000000,36748
CPP,Parallel,false,4000000,76224
CPP,Single,true,3000000,28353
CPP,Single,false,3000000,28476
CPP,Parallel,false,3000000,73694
CPP,Single,true,2000000,20299
CPP,Single,false,2000000,20358
CPP,Parallel,false,2000000,75622
CPP,Single,true,1000000,12148
CPP,Single,false,1000000,12048
CPP,Parallel,false,1000000,70872
CPP,Single,true,10000000,85760
CPP,Single,false,10000000,85440
CPP,Parallel,false,10000000,86411
CPP,Single,true,9000000,110632
CPP,Single,false,9000000,79097
CPP,Parallel,false,9000000,87408
CPP,Single,true,8000000,97729
CPP,Single,false,8000000,70899
CPP,Parallel,false,8000000,82478
CPP,Single,true,7000000,85409
CPP,Single,false,7000000,60946
CPP,Parallel,false,7000000,80935
CPP,Single,true,6000000,73609
CPP,Single,false,6000000,52887
CPP,Parallel,false,6000000,77256
CPP,Single,true,5000000,61252
CPP,Single,false,5000000,44527
CPP,Parallel,false,5000000,78614
CPP,Single,true,4000000,49974
CPP,Single,false,4000000,36527
CPP,Parallel,false,4000000,75688
CPP,Single,true,3000000,28096
CPP,Single,false,3000000,28512
CPP,Parallel,false,3000000,74045
CPP,Single,true,2000000,19890
CPP,Single,false,2000000,19973
CPP,Parallel,false,2000000,74708
CPP,Single,true,1000000,11715
CPP,Single,false,1000000,11836
CPP,Parallel,false,1000000,70530
CPP,Single,true,10000000,86629
CPP,Single,false,10000000,86141
CPP,Parallel,false,10000000,84964
CPP,Single,true,9000000,77443
CPP,Single,false,9000000,77345
CPP,Parallel,false,9000000,80339
CPP,Single,true,8000000,68933
CPP,Single,false,8000000,69083
CPP,Parallel,false,8000000,81240
CPP,Single,true,7000000,60250
CPP,Single,false,7000000,61227
CPP,Parallel,false,7000000,80109
CPP,Single,true,6000000,52622
CPP,Single,false,6000000,52868
CPP,Parallel,false,6000000,80157
CPP,Single,true,5000000,44649
CPP,Single,false,5000000,44384
CPP,Parallel,false,5000000,79866
CPP,Single,true,4000000,36753
CPP,Single,false,4000000,36500
CPP,Parallel,false,4000000,75925
CPP,Single,true,3000000,28722
CPP,Single,false,3000000,28850
CPP,Parallel,false,3000000,73196
CPP,Single,true,2000000,20331
CPP,Single,false,2000000,20237
CPP,Parallel,false,2000000,73334
CPP,Single,true,1000000,11860
CPP,Single,false,1000000,12004
CPP,Parallel,false,1000000,71009
CPP,Single,true,10000000,84896
CPP,Single,false,10000000,85046
CPP,Parallel,false,10000000,83603
CPP,Single,true,9000000,107972
CPP,Single,false,9000000,77593
CPP,Parallel,false,9000000,82955
CPP,Single,true,8000000,70014
CPP,Single,false,8000000,69472
CPP,Parallel,false,8000000,80468
CPP,Single,true,7000000,61435
CPP,Single,false,7000000,61054
CPP,Parallel,false,7000000,78432
CPP,Single,true,6000000,52684
CPP,Single,false,6000000,53310
CPP,Parallel,false,6000000,81376
CPP,Single,true,5000000,44626
CPP,Single,false,5000000,44421
CPP,Parallel,false,5000000,81591
CPP,Single,true,4000000,36782
CPP,Single,false,4000000,36766
CPP,Parallel,false,4000000,79113
CPP,Single,true,3000000,28609
CPP,Single,false,3000000,28642
CPP,Parallel,false,3000000,73390
CPP,Single,true,2000000,19918
CPP,Single,false,2000000,20131
CPP,Parallel,false,2000000,73675
CPP,Single,true,1000000,11870
CPP,Single,false,1000000,11966
CPP,Parallel,false,1000000,70765
CPP,Single,true,10000000,85467
CPP,Single,false,10000000,86339
CPP,Parallel,false,10000000,86758
CPP,Single,true,9000000,79338
CPP,Single,false,9000000,77072
CPP,Parallel,false,9000000,85456
CPP,Single,true,8000000,68901
CPP,Single,false,8000000,69033
CPP,Parallel,false,8000000,83421
CPP,Single,true,7000000,60051
CPP,Single,false,7000000,61169
CPP,Parallel,false,7000000,80215
CPP,Single,true,6000000,52687
CPP,Single,false,6000000,52800
CPP,Parallel,false,6000000,78197
CPP,Single,true,5000000,44653
CPP,Single,false,5000000,44829
CPP,Parallel,false,5000000,78517
CPP,Single,true,4000000,36527
CPP,Single,false,4000000,36783
CPP,Parallel,false,4000000,74362
CPP,Single,true,3000000,28530
CPP,Single,false,3000000,28121
CPP,Parallel,false,3000000,75224
CPP,Single,true,2000000,20093
CPP,Single,false,2000000,20078
CPP,Parallel,false,2000000,73026
CPP,Single,true,1000000,11822
CPP,Single,false,1000000,11956
CPP,Parallel,false,1000000,71047
CPP,Single,true,10000000,86231
CPP,Single,false,10000000,86772
CPP,Parallel,false,10000000,88075
CPP,Single,true,9000000,107295
CPP,Single,false,9000000,77680
CPP,Parallel,false,9000000,81704
CPP,Single,true,8000000,69196
CPP,Single,false,8000000,69652
CPP,Parallel,false,8000000,81033
CPP,Single,true,7000000,61027
CPP,Single,false,7000000,61172
CPP,Parallel,false,7000000,79181
CPP,Single,true,6000000,52222
CPP,Single,false,6000000,52903
CPP,Parallel,false,6000000,81871
CPP,Single,true,5000000,45372
CPP,Single,false,5000000,44210
CPP,Parallel,false,5000000,80341
CPP,Single,true,4000000,36260
CPP,Single,false,4000000,36551
CPP,Parallel,false,4000000,77071
CPP,Single,true,3000000,28686
CPP,Single,false,3000000,28092
CPP,Parallel,false,3000000,73106
CPP,Single,true,2000000,20151
CPP,Single,false,2000000,20217
CPP,Parallel,false,2000000,74364
CPP,Single,true,1000000,11963
CPP,Single,false,1000000,12024
CPP,Parallel,false,1000000,70847
CPP,Single,true,10000000,85999
CPP,Single,false,10000000,87508
CPP,Parallel,false,10000000,86785
CPP,Single,true,9000000,77871
CPP,Single,false,9000000,77813
CPP,Parallel,false,9000000,79416
CPP,Single,true,8000000,70123
CPP,Single,false,8000000,69474
CPP,Parallel,false,8000000,84156
CPP,Single,true,7000000,60945
CPP,Single,false,7000000,62131
CPP,Parallel,false,7000000,80887
CPP,Single,true,6000000,52527
CPP,Single,false,6000000,53099
CPP,Parallel,false,6000000,78861
CPP,Single,true,5000000,44890
CPP,Single,false,5000000,44897
CPP,Parallel,false,5000000,81875
CPP,Single,true,4000000,36735
CPP,Single,false,4000000,36708
CPP,Parallel,false,4000000,76221
CPP,Single,true,3000000,28368
CPP,Single,false,3000000,28641
CPP,Parallel,false,3000000,74590
CPP,Single,true,2000000,20329
CPP,Single,false,2000000,20168
CPP,Parallel,false,2000000,73626
CPP,Single,true,1000000,12079
CPP,Single,false,1000000,12265
CPP,Parallel,false,1000000,72683
CPP,Single,true,10000000,85727
CPP,Single,false,10000000,86605
CPP,Parallel,false,10000000,85350
CPP,Single,true,9000000,110419
CPP,Single,false,9000000,79686
CPP,Parallel,false,9000000,83263
CPP,Single,true,8000000,98073
CPP,Single,false,8000000,71366
CPP,Parallel,false,8000000,78505
CPP,Single,true,7000000,84789
CPP,Single,false,7000000,61689
CPP,Parallel,false,7000000,80376
CPP,Single,true,6000000,72787
CPP,Single,false,6000000,53017
CPP,Parallel,false,6000000,84250
CPP,Single,true,5000000,61868
CPP,Single,false,5000000,45484
CPP,Parallel,false,5000000,82870
CPP,Single,true,4000000,49778
CPP,Single,false,4000000,36818
CPP,Parallel,false,4000000,77239
CPP,Single,true,3000000,27263
CPP,Single,false,3000000,28066
CPP,Parallel,false,3000000,74641
CPP,Single,true,2000000,19983
CPP,Single,false,2000000,20142
CPP,Parallel,false,2000000,73919
CPP,Single,true,1000000,11807
CPP,Single,false,1000000,11856
CPP,Parallel,false,1000000,70362
CPP,Single,true,10000000,86748
CPP,Single,false,10000000,87927
CPP,Parallel,false,10000000,84378
CPP,Single,true,9000000,77490
CPP,Single,false,9000000,77029
CPP,Parallel,false,9000000,81539
CPP,Single,true,8000000,69193
CPP,Single,false,8000000,69313
CPP,Parallel,false,8000000,81056
CPP,Single,true,7000000,61246
CPP,Single,false,7000000,61463
CPP,Parallel,false,7000000,81208
CPP,Single,true,6000000,52902
CPP,Single,false,6000000,52815
CPP,Parallel,false,6000000,81182
CPP,Single,true,5000000,45166
CPP,Single,false,5000000,44922
CPP,Parallel,false,5000000,79322
CPP,Single,true,4000000,36412
CPP,Single,false,4000000,36755
CPP,Parallel,false,4000000,76752
CPP,Single,true,3000000,28667
CPP,Single,false,3000000,28368
CPP,Parallel,false,3000000,74915
CPP,Single,true,2000000,20126
CPP,Single,false,2000000,20257
CPP,Parallel,false,2000000,73528
CPP,Single,true,1000000,11980
CPP,Single,false,1000000,12013
CPP,Parallel,false,1000000,71024
CPP,Single,true,10000000,85837
CPP,Single,false,10000000,86621
CPP,Parallel,false,10000000,84489
CPP,Single,true,9000000,106754
CPP,Single,false,9000000,77682
CPP,Parallel,false,9000000,86527
CPP,Single,true,8000000,72083
CPP,Single,false,8000000,68486
CPP,Parallel,false,8000000,80212
CPP,Single,true,7000000,60173
CPP,Single,false,7000000,61078
CPP,Parallel,false,7000000,81936
CPP,Single,true,6000000,53171
CPP,Single,false,6000000,52471
CPP,Parallel,false,6000000,81012
CPP,Single,true,5000000,45145
CPP,Single,false,5000000,44698
CPP,Parallel,false,5000000,79181
CPP,Single,true,4000000,36926
CPP,Single,false,4000000,36387
CPP,Parallel,false,4000000,76225
CPP,Single,true,3000000,28319
CPP,Single,false,3000000,28496
CPP,Parallel,false,3000000,73947
