baseline,language,taskset,execution,platform,seq_rand,nrow,time
HandcodedCPP,CPP,false,CPU,Single,Sequential,10000000,137984
HandcodedCPP,CPP,true,CPU,Single,Sequential,10000000,100645
HandcodedCPP,CPP,false,CPU,Parallel,Sequential,10000000,86642
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,118607
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,121746
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,90009
inPlaceCPP,CPP,false,CPU,Single,Sequential,10000000,110038
inPlaceCPP,CPP,true,CPU,Single,Sequential,10000000,100825
inPlaceCPP,CPP,false,CPU,Parallel,Sequential,10000000,86826
inPlaceCPP,CPP,false,Total,Single,Sequential,10000000,125565
inPlaceCPP,CPP,true,Total,Single,Sequential,10000000,133600
inPlaceCPP,CPP,false,Total,Parallel,Sequential,10000000,89302
BoostCPP,CPP,false,CPU,Single,Sequential,10000000,312455
BoostCPP,CPP,true,CPU,Single,Sequential,10000000,312542
BoostCPP,CPP,false,CPU,Parallel,Sequential,10000000,101917
BoostCPP,CPP,false,Total,Single,Sequential,10000000,327831
BoostCPP,CPP,true,Total,Single,Sequential,10000000,333647
BoostCPP,CPP,false,Total,Parallel,Sequential,10000000,103061
ProtoBufCPP,CPP,false,CPU,Single,Sequential,10000000,155525
ProtoBufCPP,CPP,true,CPU,Single,Sequential,10000000,147004
ProtoBufCPP,CPP,false,CPU,Parallel,Sequential,10000000,94921
ProtoBufCPP,CPP,false,Total,Single,Sequential,10000000,166901
ProtoBufCPP,CPP,true,Total,Single,Sequential,10000000,166677
ProtoBufCPP,CPP,false,Total,Parallel,Sequential,10000000,92382
BsonCPP,CPP,false,CPU,Single,Sequential,10000000,1804979
BsonCPP,CPP,true,CPU,Single,Sequential,10000000,1748675
BsonCPP,CPP,false,CPU,Parallel,Sequential,10000000,161590
BsonCPP,CPP,false,Total,Single,Sequential,10000000,1798379
BsonCPP,CPP,true,Total,Single,Sequential,10000000,1791564
BsonCPP,CPP,false,Total,Parallel,Sequential,10000000,161168
FlatBufCPP,CPP,false,CPU,Single,Sequential,10000000,154560
FlatBufCPP,CPP,true,CPU,Single,Sequential,10000000,129421
FlatBufCPP,CPP,false,CPU,Parallel,Sequential,10000000,89610
FlatBufCPP,CPP,false,Total,Single,Sequential,10000000,153662
FlatBufCPP,CPP,true,Total,Single,Sequential,10000000,154945
FlatBufCPP,CPP,false,Total,Parallel,Sequential,10000000,93761
HandcodedCPP,CPP,false,CPU,Single,Sequential,10000000,102417
HandcodedCPP,CPP,true,CPU,Single,Sequential,10000000,101496
HandcodedCPP,CPP,false,CPU,Parallel,Sequential,10000000,84720
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,113192
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,118426
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,90819
