baseline,language,taskset,execution,platform,seq_rand,nrow,time
HandcodedCPP,CPP,false,IO,Single,Sequential,10000000,6546
HandcodedCPP,CPP,true,IO,Single,Sequential,10000000,7025
HandcodedCPP,CPP,false,IO,Parallel,Sequential,10000000,78063
HandcodedCPP,CPP,false,IO,Single,Random,10000000,1147967
HandcodedCPP,CPP,true,IO,Single,Random,10000000,1144092
HandcodedCPP,CPP,false,IO,Parallel,Random,10000000,134188
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,126290
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,105068
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,82336
HandcodedCPP,CPP,false,Total,Single,Random,10000000,1225424
HandcodedCPP,CPP,true,Total,Single,Random,10000000,1217908
HandcodedCPP,CPP,false,Total,Parallel,Random,10000000,139589
HandcodedCPP,CPP,false,IO,Single,Sequential,9000000,6302
HandcodedCPP,CPP,true,IO,Single,Sequential,9000000,6238
HandcodedCPP,CPP,false,IO,Parallel,Sequential,9000000,92452
HandcodedCPP,CPP,false,IO,Single,Random,9000000,1028681
HandcodedCPP,CPP,true,IO,Single,Random,9000000,1029502
HandcodedCPP,CPP,false,IO,Parallel,Random,9000000,123667
HandcodedCPP,CPP,false,Total,Single,Sequential,9000000,150253
HandcodedCPP,CPP,true,Total,Single,Sequential,9000000,126728
HandcodedCPP,CPP,false,Total,Parallel,Sequential,9000000,78627
HandcodedCPP,CPP,false,Total,Single,Random,9000000,1103200
HandcodedCPP,CPP,true,Total,Single,Random,9000000,1100094
HandcodedCPP,CPP,false,Total,Parallel,Random,9000000,130649
HandcodedCPP,CPP,false,IO,Single,Sequential,8000000,6116
HandcodedCPP,CPP,true,IO,Single,Sequential,8000000,6020
HandcodedCPP,CPP,false,IO,Parallel,Sequential,8000000,92014
HandcodedCPP,CPP,false,IO,Single,Random,8000000,918246
HandcodedCPP,CPP,true,IO,Single,Random,8000000,913209
HandcodedCPP,CPP,false,IO,Parallel,Random,8000000,116575
HandcodedCPP,CPP,false,Total,Single,Sequential,8000000,99976
HandcodedCPP,CPP,true,Total,Single,Sequential,8000000,85299
HandcodedCPP,CPP,false,Total,Parallel,Sequential,8000000,76258
HandcodedCPP,CPP,false,Total,Single,Random,8000000,976880
HandcodedCPP,CPP,true,Total,Single,Random,8000000,977208
HandcodedCPP,CPP,false,Total,Parallel,Random,8000000,123340
HandcodedCPP,CPP,false,IO,Single,Sequential,7000000,5823
HandcodedCPP,CPP,true,IO,Single,Sequential,7000000,5811
HandcodedCPP,CPP,false,IO,Parallel,Sequential,7000000,91754
HandcodedCPP,CPP,false,IO,Single,Random,7000000,805441
HandcodedCPP,CPP,true,IO,Single,Random,7000000,802933
HandcodedCPP,CPP,false,IO,Parallel,Random,7000000,108838
HandcodedCPP,CPP,false,Total,Single,Sequential,7000000,117441
HandcodedCPP,CPP,true,Total,Single,Sequential,7000000,101921
HandcodedCPP,CPP,false,Total,Parallel,Sequential,7000000,76334
