language,platform,taskset,nrow,time
Java,Single,true,10000000,100231
Java,Single,false,10000000,99113
Java,Parallel,false,10000000,27027
Java,Single,true,9000000,119518
Java,Single,false,9000000,93802
Java,Parallel,false,9000000,24828
Java,Single,true,8000000,105081
Java,Single,false,8000000,87303
Java,Parallel,false,8000000,24978
Java,Single,true,7000000,93107
Java,Single,false,7000000,75283
Java,Parallel,false,7000000,24060
Java,Single,true,6000000,81679
Java,Single,false,6000000,62467
Java,Parallel,false,6000000,23229
Java,Single,true,5000000,53218
Java,Single,false,5000000,55361
Java,Parallel,false,5000000,20949
Java,Single,true,4000000,43290
Java,Single,false,4000000,45786
Java,Parallel,false,4000000,20310
Java,Single,true,3000000,33473
Java,Single,false,3000000,35760
Java,Parallel,false,3000000,20537
Java,Single,true,2000000,24718
Java,Single,false,2000000,25685
Java,Parallel,false,2000000,19138
Java,Single,true,1000000,15061
Java,Single,false,1000000,15291
Java,Parallel,false,1000000,17619
Java,Single,true,10000000,99222
Java,Single,false,10000000,107310
Java,Parallel,false,10000000,26092
Java,Single,true,9000000,118325
Java,Single,false,9000000,96262
Java,Parallel,false,9000000,24462
Java,Single,true,8000000,82765
Java,Single,false,8000000,86610
Java,Parallel,false,8000000,25321
Java,Single,true,7000000,72100
Java,Single,false,7000000,69480
Java,Parallel,false,7000000,23372
Java,Single,true,6000000,61481
Java,Single,false,6000000,62553
Java,Parallel,false,6000000,23228
Java,Single,true,5000000,52167
Java,Single,false,5000000,54273
Java,Parallel,false,5000000,21184
Java,Single,true,4000000,43127
Java,Single,false,4000000,45582
Java,Parallel,false,4000000,21545
Java,Single,true,3000000,34285
Java,Single,false,3000000,35203
Java,Parallel,false,3000000,20961
Java,Single,true,2000000,23721
Java,Single,false,2000000,25151
Java,Parallel,false,2000000,18770
Java,Single,true,1000000,14861
Java,Single,false,1000000,15247
Java,Parallel,false,1000000,17497
Java,Single,true,10000000,99760
Java,Single,false,10000000,106031
Java,Parallel,false,10000000,27769
Java,Single,true,9000000,118834
Java,Single,false,9000000,97989
Java,Parallel,false,9000000,25873
Java,Single,true,8000000,106316
Java,Single,false,8000000,87403
Java,Parallel,false,8000000,25922
Java,Single,true,7000000,95950
Java,Single,false,7000000,70533
Java,Parallel,false,7000000,23131
Java,Single,true,6000000,80614
Java,Single,false,6000000,66778
Java,Parallel,false,6000000,23289
Java,Single,true,5000000,52851
Java,Single,false,5000000,55507
Java,Parallel,false,5000000,21640
Java,Single,true,4000000,45132
Java,Single,false,4000000,45554
Java,Parallel,false,4000000,21382
Java,Single,true,3000000,33050
Java,Single,false,3000000,36018
Java,Parallel,false,3000000,20927
Java,Single,true,2000000,24330
Java,Single,false,2000000,25394
Java,Parallel,false,2000000,19836
Java,Single,true,1000000,14975
Java,Single,false,1000000,15378
Java,Parallel,false,1000000,18174
Java,Single,true,10000000,101174
Java,Single,false,10000000,99158
Java,Parallel,false,10000000,27056
Java,Single,true,9000000,90010
Java,Single,false,9000000,91584
Java,Parallel,false,9000000,25303
Java,Single,true,8000000,81565
Java,Single,false,8000000,80227
Java,Parallel,false,8000000,25794
Java,Single,true,7000000,74862
Java,Single,false,7000000,71003
Java,Parallel,false,7000000,25072
Java,Single,true,6000000,63946
Java,Single,false,6000000,65937
Java,Parallel,false,6000000,23180
Java,Single,true,5000000,54748
Java,Single,false,5000000,56257
Java,Parallel,false,5000000,22956
Java,Single,true,4000000,42664
Java,Single,false,4000000,45703
Java,Parallel,false,4000000,21839
Java,Single,true,3000000,34180
Java,Single,false,3000000,35358
Java,Parallel,false,3000000,19647
Java,Single,true,2000000,24433
Java,Single,false,2000000,24611
Java,Parallel,false,2000000,19748
Java,Single,true,1000000,14776
Java,Single,false,1000000,15433
Java,Parallel,false,1000000,17903
Java,Single,true,10000000,97163
Java,Single,false,10000000,105255
Java,Parallel,false,10000000,26534
Java,Single,true,9000000,120135
Java,Single,false,9000000,95615
Java,Parallel,false,9000000,26524
Java,Single,true,8000000,81775
Java,Single,false,8000000,84297
Java,Parallel,false,8000000,26261
Java,Single,true,7000000,71673
Java,Single,false,7000000,70467
Java,Parallel,false,7000000,23058
Java,Single,true,6000000,61377
Java,Single,false,6000000,65444
Java,Parallel,false,6000000,22359
Java,Single,true,5000000,53681
Java,Single,false,5000000,55213
Java,Parallel,false,5000000,21802
Java,Single,true,4000000,43717
Java,Single,false,4000000,45701
Java,Parallel,false,4000000,20761
Java,Single,true,3000000,33208
Java,Single,false,3000000,35596
Java,Parallel,false,3000000,20289
Java,Single,true,2000000,24447
Java,Single,false,2000000,24347
Java,Parallel,false,2000000,19370
Java,Single,true,1000000,14966
Java,Single,false,1000000,15023
Java,Parallel,false,1000000,18389
Java,Single,true,10000000,102388
Java,Single,false,10000000,106010
Java,Parallel,false,10000000,26627
Java,Single,true,9000000,121349
Java,Single,false,9000000,97903
Java,Parallel,false,9000000,25629
Java,Single,true,8000000,105348
Java,Single,false,8000000,87034
Java,Parallel,false,8000000,25660
Java,Single,true,7000000,71962
Java,Single,false,7000000,75207
Java,Parallel,false,7000000,22575
Java,Single,true,6000000,63690
Java,Single,false,6000000,61407
Java,Parallel,false,6000000,22842
Java,Single,true,5000000,52516
Java,Single,false,5000000,57002
Java,Parallel,false,5000000,21487
Java,Single,true,4000000,42676
Java,Single,false,4000000,46335
Java,Parallel,false,4000000,20346
Java,Single,true,3000000,33509
Java,Single,false,3000000,35803
Java,Parallel,false,3000000,18740
Java,Single,true,2000000,24464
Java,Single,false,2000000,25216
Java,Parallel,false,2000000,19017
Java,Single,true,1000000,13841
Java,Single,false,1000000,14922
Java,Parallel,false,1000000,18286
Java,Single,true,10000000,98264
Java,Single,false,10000000,104754
Java,Parallel,false,10000000,27239
Java,Single,true,9000000,121362
Java,Single,false,9000000,95759
Java,Parallel,false,9000000,25503
Java,Single,true,8000000,109869
Java,Single,false,8000000,85929
Java,Parallel,false,8000000,24545
Java,Single,true,7000000,93450
Java,Single,false,7000000,76300
Java,Parallel,false,7000000,25114
Java,Single,true,6000000,62657
Java,Single,false,6000000,65156
Java,Parallel,false,6000000,23007
Java,Single,true,5000000,54973
Java,Single,false,5000000,53366
Java,Parallel,false,5000000,21907
Java,Single,true,4000000,43003
Java,Single,false,4000000,46438
Java,Parallel,false,4000000,20366
Java,Single,true,3000000,33698
Java,Single,false,3000000,35676
Java,Parallel,false,3000000,20630
Java,Single,true,2000000,23953
Java,Single,false,2000000,25659
Java,Parallel,false,2000000,18866
Java,Single,true,1000000,14761
Java,Single,false,1000000,15367
Java,Parallel,false,1000000,17416
Java,Single,true,10000000,98158
Java,Single,false,10000000,104587
Java,Parallel,false,10000000,27504
Java,Single,true,9000000,96277
Java,Single,false,9000000,89934
Java,Parallel,false,9000000,26703
Java,Single,true,8000000,80929
Java,Single,false,8000000,87609
Java,Parallel,false,8000000,25856
Java,Single,true,7000000,70425
Java,Single,false,7000000,76886
Java,Parallel,false,7000000,22992
Java,Single,true,6000000,62490
Java,Single,false,6000000,72650
Java,Parallel,false,6000000,22130
Java,Single,true,5000000,52954
Java,Single,false,5000000,55782
Java,Parallel,false,5000000,22235
Java,Single,true,4000000,43639
Java,Single,false,4000000,45748
Java,Parallel,false,4000000,21029
Java,Single,true,3000000,34778
Java,Single,false,3000000,35715
Java,Parallel,false,3000000,19441
Java,Single,true,2000000,24527
Java,Single,false,2000000,25268
Java,Parallel,false,2000000,19074
Java,Single,true,1000000,14345
Java,Single,false,1000000,15302
Java,Parallel,false,1000000,17365
