baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,IO,Single,Sequential,10000000,27435
DefaultJava,Java,true,IO,Single,Sequential,10000000,34845
DefaultJava,Java,false,IO,Parallel,Sequential,10000000,18121
DefaultJava,Java,false,IO,Single,Random,10000000,1169559
DefaultJava,Java,true,IO,Single,Random,10000000,1155831
DefaultJava,Java,false,IO,Parallel,Random,10000000,148320
DefaultJava,Java,false,Total,Single,Sequential,10000000,887629
DefaultJava,Java,true,Total,Single,Sequential,10000000,1049228
DefaultJava,Java,false,Total,Parallel,Sequential,10000000,99767
DefaultJava,Java,false,Total,Single,Random,10000000,2783018
DefaultJava,Java,true,Total,Single,Random,10000000,2644357
DefaultJava,Java,false,Total,Parallel,Random,10000000,719460
DefaultJava,Java,false,IO,Single,Sequential,9000000,51680
DefaultJava,Java,true,IO,Single,Sequential,9000000,14570
DefaultJava,Java,false,IO,Parallel,Sequential,9000000,18792
DefaultJava,Java,false,IO,Single,Random,9000000,1227173
DefaultJava,Java,true,IO,Single,Random,9000000,1210826
DefaultJava,Java,false,IO,Parallel,Random,9000000,149119
DefaultJava,Java,false,Total,Single,Sequential,9000000,773343
DefaultJava,Java,true,Total,Single,Sequential,9000000,1002095
DefaultJava,Java,false,Total,Parallel,Sequential,9000000,94638
DefaultJava,Java,false,Total,Single,Random,9000000,2181541
DefaultJava,Java,true,Total,Single,Random,9000000,2396604
DefaultJava,Java,false,Total,Parallel,Random,9000000,319527
DefaultJava,Java,false,IO,Single,Sequential,8000000,33402
DefaultJava,Java,true,IO,Single,Sequential,8000000,13330
DefaultJava,Java,false,IO,Parallel,Sequential,8000000,18108
DefaultJava,Java,false,IO,Single,Random,8000000,1063087
DefaultJava,Java,true,IO,Single,Random,8000000,1050668
DefaultJava,Java,false,IO,Parallel,Random,8000000,130201
DefaultJava,Java,false,Total,Single,Sequential,8000000,698363
DefaultJava,Java,true,Total,Single,Sequential,8000000,859060
DefaultJava,Java,false,Total,Parallel,Sequential,8000000,88921
DefaultJava,Java,false,Total,Single,Random,8000000,1941360
DefaultJava,Java,true,Total,Single,Random,8000000,2084722
DefaultJava,Java,false,Total,Parallel,Random,8000000,213258
DefaultJava,Java,false,IO,Single,Sequential,7000000,12602
DefaultJava,Java,true,IO,Single,Sequential,7000000,12119
DefaultJava,Java,false,IO,Parallel,Sequential,7000000,17763
DefaultJava,Java,false,IO,Single,Random,7000000,927469
DefaultJava,Java,true,IO,Single,Random,7000000,918642
DefaultJava,Java,false,IO,Parallel,Random,7000000,117655
DefaultJava,Java,false,Total,Single,Sequential,7000000,594536
DefaultJava,Java,true,Total,Single,Sequential,7000000,745706
DefaultJava,Java,false,Total,Parallel,Sequential,7000000,84525
DefaultJava,Java,false,Total,Single,Random,7000000,1722733
DefaultJava,Java,true,Total,Single,Random,7000000,1847196
DefaultJava,Java,false,Total,Parallel,Random,7000000,184039
DefaultJava,Java,false,IO,Single,Sequential,6000000,12362
DefaultJava,Java,true,IO,Single,Sequential,6000000,10981
DefaultJava,Java,false,IO,Parallel,Sequential,6000000,17627
DefaultJava,Java,false,IO,Single,Random,6000000,796834
DefaultJava,Java,true,IO,Single,Random,6000000,787598
DefaultJava,Java,false,IO,Parallel,Random,6000000,102593
DefaultJava,Java,false,Total,Single,Sequential,6000000,502819
DefaultJava,Java,true,Total,Single,Sequential,6000000,625627
DefaultJava,Java,false,Total,Parallel,Sequential,6000000,64372
DefaultJava,Java,false,Total,Single,Random,6000000,1467605
DefaultJava,Java,true,Total,Single,Random,6000000,1610407
DefaultJava,Java,false,Total,Parallel,Random,6000000,149340
DefaultJava,Java,false,IO,Single,Sequential,5000000,10421
DefaultJava,Java,true,IO,Single,Sequential,5000000,9862
DefaultJava,Java,false,IO,Parallel,Sequential,5000000,17459
DefaultJava,Java,false,IO,Single,Random,5000000,663138
DefaultJava,Java,true,IO,Single,Random,5000000,657369
DefaultJava,Java,false,IO,Parallel,Random,5000000,88091
DefaultJava,Java,false,Total,Single,Sequential,5000000,447397
DefaultJava,Java,true,Total,Single,Sequential,5000000,526473
DefaultJava,Java,false,Total,Parallel,Sequential,5000000,55528
DefaultJava,Java,false,Total,Single,Random,5000000,1233664
DefaultJava,Java,true,Total,Single,Random,5000000,1335694
DefaultJava,Java,false,Total,Parallel,Random,5000000,126525
DefaultJava,Java,false,IO,Single,Sequential,4000000,9091
DefaultJava,Java,true,IO,Single,Sequential,4000000,8528
DefaultJava,Java,false,IO,Parallel,Sequential,4000000,17200
DefaultJava,Java,false,IO,Single,Random,4000000,531568
DefaultJava,Java,true,IO,Single,Random,4000000,527373
DefaultJava,Java,false,IO,Parallel,Random,4000000,74778
DefaultJava,Java,false,Total,Single,Sequential,4000000,343160
DefaultJava,Java,true,Total,Single,Sequential,4000000,420800
DefaultJava,Java,false,Total,Parallel,Sequential,4000000,46441
DefaultJava,Java,false,Total,Single,Random,4000000,970391
DefaultJava,Java,true,Total,Single,Random,4000000,1050221
DefaultJava,Java,false,Total,Parallel,Random,4000000,103991
DefaultJava,Java,false,IO,Single,Sequential,3000000,7915
DefaultJava,Java,true,IO,Single,Sequential,3000000,7611
DefaultJava,Java,false,IO,Parallel,Sequential,3000000,17037
DefaultJava,Java,false,IO,Single,Random,3000000,401360
DefaultJava,Java,true,IO,Single,Random,3000000,396149
