baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,Total,Single,Sequential,7000000,356484
DefaultJava,Java,true,Total,Single,Sequential,7000000,344119
Json+GzipJava,Java,false,Total,Single,Sequential,7000000,1191873
Json+GzipJava,Java,true,Total,Single,Sequential,7000000,1212235
BsonJava,Java,false,Total,Single,Sequential,7000000,433156
BsonJava,Java,true,Total,Single,Sequential,7000000,415335
ProtoBufJava,Java,false,Total,Single,Sequential,7000000,146866
ProtoBufJava,Java,true,Total,Single,Sequential,7000000,135066
KryoJava,Java,false,Total,Single,Sequential,7000000,151427
KryoJava,Java,true,Total,Single,Sequential,7000000,140228
ByteBufferJava,Java,false,Total,Single,Sequential,7000000,120044
ByteBufferJava,Java,true,Total,Single,Sequential,7000000,116627
JsonJava,Java,false,Total,Single,Sequential,7000000,691122
JsonJava,Java,true,Total,Single,Sequential,7000000,643216
FlatBuffersJava,Java,false,Total,Single,Sequential,7000000,183818
FlatBuffersJava,Java,true,Total,Single,Sequential,7000000,163724
HandcodedCPP,CPP,false,Total,Single,Sequential,7000000,49523
HandcodedCPP,CPP,true,Total,Single,Sequential,7000000,64283
inPlaceCPP,CPP,false,Total,Single,Sequential,7000000,70016
inPlaceCPP,CPP,true,Total,Single,Sequential,7000000,89675
BoostCPP,CPP,false,Total,Single,Sequential,7000000,166429
BoostCPP,CPP,true,Total,Single,Sequential,7000000,166219
ProtoBufCPP,CPP,false,Total,Single,Sequential,7000000,82101
ProtoBufCPP,CPP,true,Total,Single,Sequential,7000000,80052
BsonCPP,CPP,false,Total,Single,Sequential,7000000,873053
BsonCPP,CPP,true,Total,Single,Sequential,7000000,885936
FlatBufCPP,CPP,false,Total,Single,Sequential,7000000,88892
FlatBufCPP,CPP,true,Total,Single,Sequential,7000000,95660
JsonRust,Rust,false,Total,Single,Sequential,7000000,115105
JsonRust,Rust,true,Total,Single,Sequential,7000000,119229
BincodeRust,Rust,false,Total,Single,Sequential,7000000,72881
BincodeRust,Rust,true,Total,Single,Sequential,7000000,74252
MessagePackRust,Rust,false,Total,Single,Sequential,7000000,84518
MessagePackRust,Rust,true,Total,Single,Sequential,7000000,74566
