language,platform,taskset,nrow,time
CPP,Single,true,10000000,111469
CPP,Single,false,10000000,112521
CPP,Parallel,false,10000000,77422
CPP,Single,true,10000000,112560
CPP,Single,false,10000000,116712
CPP,Parallel,false,10000000,77184
CPP,Single,true,10000000,111505
CPP,Single,false,10000000,116117
CPP,Parallel,false,10000000,77419
CPP,Single,true,10000000,111515
CPP,Single,false,10000000,115084
CPP,Parallel,false,10000000,77532
CPP,Single,true,10000000,111289
CPP,Single,false,10000000,117977
CPP,Parallel,false,10000000,77198
CPP,Single,true,10000000,113348
CPP,Single,false,10000000,117169
CPP,Parallel,false,10000000,77555
CPP,Single,true,10000000,111343
CPP,Single,false,10000000,117662
CPP,Parallel,false,10000000,77389
CPP,Single,true,10000000,111510
CPP,Single,false,10000000,121281
CPP,Parallel,false,10000000,77297
CPP,Single,true,10000000,112904
CPP,Single,false,10000000,117572
CPP,Parallel,false,10000000,77307
CPP,Single,true,10000000,111435
CPP,Single,false,10000000,118153
CPP,Parallel,false,10000000,78718
CPP,Single,true,10000000,111351
CPP,Single,false,10000000,119051
CPP,Parallel,false,10000000,77858
CPP,Single,true,10000000,111300
CPP,Single,false,10000000,116075
CPP,Parallel,false,10000000,77389
CPP,Single,true,10000000,113879
CPP,Single,false,10000000,116583
CPP,Parallel,false,10000000,77408
CPP,Single,true,10000000,111300
CPP,Single,false,10000000,117256
CPP,Parallel,false,10000000,77883
CPP,Single,true,10000000,111539
CPP,Single,false,10000000,116293
CPP,Parallel,false,10000000,77447
CPP,Single,true,10000000,112609
CPP,Single,false,10000000,118672
CPP,Parallel,false,10000000,78277
CPP,Single,true,10000000,111479
CPP,Single,false,10000000,119007
CPP,Parallel,false,10000000,78731
CPP,Single,true,10000000,111421
CPP,Single,false,10000000,119014
CPP,Parallel,false,10000000,77430
CPP,Single,true,10000000,111559
CPP,Single,false,10000000,116965
CPP,Parallel,false,10000000,77329
CPP,Single,true,10000000,116145
CPP,Single,false,10000000,117416
CPP,Parallel,false,10000000,77595
CPP,Single,true,10000000,111434
CPP,Single,false,10000000,118726
CPP,Parallel,false,10000000,77960
CPP,Single,true,10000000,111840
CPP,Single,false,10000000,120567
CPP,Parallel,false,10000000,77547
CPP,Single,true,10000000,113082
CPP,Single,false,10000000,117761
CPP,Parallel,false,10000000,77678
CPP,Single,true,10000000,111382
CPP,Single,false,10000000,118117
CPP,Parallel,false,10000000,77426
CPP,Single,true,10000000,112808
CPP,Single,false,10000000,114411
CPP,Parallel,false,10000000,77546
CPP,Single,true,10000000,111495
CPP,Single,false,10000000,119439
CPP,Parallel,false,10000000,77585
CPP,Single,true,10000000,117383
CPP,Single,false,10000000,116733
CPP,Parallel,false,10000000,78795
CPP,Single,true,10000000,111429
CPP,Single,false,10000000,119555
CPP,Parallel,false,10000000,77522
CPP,Single,true,10000000,111437
CPP,Single,false,10000000,118783
CPP,Parallel,false,10000000,77462
CPP,Single,true,10000000,112730
CPP,Single,false,10000000,119052
CPP,Parallel,false,10000000,77721
CPP,Single,true,10000000,111653
CPP,Single,false,10000000,114838
CPP,Parallel,false,10000000,77879
CPP,Single,true,10000000,112399
CPP,Single,false,10000000,114043
CPP,Parallel,false,10000000,78137
CPP,Single,true,10000000,111455
CPP,Single,false,10000000,116131
CPP,Parallel,false,10000000,77778
CPP,Single,true,10000000,118451
CPP,Single,false,10000000,113803
CPP,Parallel,false,10000000,77457
CPP,Single,true,10000000,111477
CPP,Single,false,10000000,118080
CPP,Parallel,false,10000000,77407
