baseline,language,taskset,execution,platform,seq_rand,nrow,time
HandcodedCPP,CPP,false,CPU,Single,Sequential,10000000,145281
HandcodedCPP,CPP,true,CPU,Single,Sequential,10000000,131529
HandcodedCPP,CPP,false,CPU,Parallel,Sequential,10000000,77499
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,203941
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,200272
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,89684
inPlaceCPP,CPP,false,CPU,Single,Sequential,10000000,139191
inPlaceCPP,CPP,true,CPU,Single,Sequential,10000000,129909
inPlaceCPP,CPP,false,CPU,Parallel,Sequential,10000000,90760
inPlaceCPP,CPP,false,Total,Single,Sequential,10000000,245755
inPlaceCPP,CPP,true,Total,Single,Sequential,10000000,245072
inPlaceCPP,CPP,false,Total,Parallel,Sequential,10000000,132787
BoostCPP,CPP,false,CPU,Single,Sequential,10000000,431710
BoostCPP,CPP,true,CPU,Single,Sequential,10000000,400146
BoostCPP,CPP,false,CPU,Parallel,Sequential,10000000,92195
BoostCPP,CPP,false,Total,Single,Sequential,10000000,486402
BoostCPP,CPP,true,Total,Single,Sequential,10000000,466484
BoostCPP,CPP,false,Total,Parallel,Sequential,10000000,98197
BoostBinaryCPP,CPP,false,CPU,Single,Sequential,10000000,280919
BoostBinaryCPP,CPP,true,CPU,Single,Sequential,10000000,257228
BoostBinaryCPP,CPP,false,CPU,Parallel,Sequential,10000000,81862
BoostBinaryCPP,CPP,false,Total,Single,Sequential,10000000,356904
BoostBinaryCPP,CPP,true,Total,Single,Sequential,10000000,342515
BoostBinaryCPP,CPP,false,Total,Parallel,Sequential,10000000,107488
ProtoBufCPP,CPP,false,CPU,Single,Sequential,10000000,188037
ProtoBufCPP,CPP,true,CPU,Single,Sequential,10000000,183660
ProtoBufCPP,CPP,false,CPU,Parallel,Sequential,10000000,77980
ProtoBufCPP,CPP,false,Total,Single,Sequential,10000000,251623
ProtoBufCPP,CPP,true,Total,Single,Sequential,10000000,246437
ProtoBufCPP,CPP,false,Total,Parallel,Sequential,10000000,86257
BsonCPP,CPP,false,CPU,Single,Sequential,10000000,2235599
BsonCPP,CPP,true,CPU,Single,Sequential,10000000,2213056
BsonCPP,CPP,false,CPU,Parallel,Sequential,10000000,175683
BsonCPP,CPP,false,Total,Single,Sequential,10000000,2314812
BsonCPP,CPP,true,Total,Single,Sequential,10000000,2284514
BsonCPP,CPP,false,Total,Parallel,Sequential,10000000,175935
FlatBufCPP,CPP,false,CPU,Single,Sequential,10000000,189740
FlatBufCPP,CPP,true,CPU,Single,Sequential,10000000,180484
FlatBufCPP,CPP,false,CPU,Parallel,Sequential,10000000,77928
FlatBufCPP,CPP,false,Total,Single,Sequential,10000000,295264
FlatBufCPP,CPP,true,Total,Single,Sequential,10000000,297702
FlatBufCPP,CPP,false,Total,Parallel,Sequential,10000000,115798
HandcodedCPP,CPP,false,CPU,Single,Sequential,10000000,142050
HandcodedCPP,CPP,true,CPU,Single,Sequential,10000000,131273
HandcodedCPP,CPP,false,CPU,Parallel,Sequential,10000000,77371
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,214537
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,204857
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,93570
inPlaceCPP,CPP,false,CPU,Single,Sequential,10000000,143209
inPlaceCPP,CPP,true,CPU,Single,Sequential,10000000,130230
inPlaceCPP,CPP,false,CPU,Parallel,Sequential,10000000,92127
inPlaceCPP,CPP,false,Total,Single,Sequential,10000000,254932
inPlaceCPP,CPP,true,Total,Single,Sequential,10000000,246329
inPlaceCPP,CPP,false,Total,Parallel,Sequential,10000000,130982
BoostCPP,CPP,false,CPU,Single,Sequential,10000000,436601
BoostCPP,CPP,true,CPU,Single,Sequential,10000000,398778
BoostCPP,CPP,false,CPU,Parallel,Sequential,10000000,93599
BoostCPP,CPP,false,Total,Single,Sequential,10000000,491718
BoostCPP,CPP,true,Total,Single,Sequential,10000000,467547
BoostCPP,CPP,false,Total,Parallel,Sequential,10000000,98637
BoostBinaryCPP,CPP,false,CPU,Single,Sequential,10000000,275424
BoostBinaryCPP,CPP,true,CPU,Single,Sequential,10000000,257945
BoostBinaryCPP,CPP,false,CPU,Parallel,Sequential,10000000,81872
BoostBinaryCPP,CPP,false,Total,Single,Sequential,10000000,361335
BoostBinaryCPP,CPP,true,Total,Single,Sequential,10000000,340082
