baseline,language,taskset,execution,platform,seq_rand,nrow,time
HandcodedCPP,CPP,false,IO,Single,Sequential,10000000,63518
HandcodedCPP,CPP,true,IO,Single,Sequential,10000000,63741
HandcodedCPP,CPP,false,IO,Parallel,Sequential,10000000,64091
HandcodedCPP,CPP,false,IO,Single,Random,10000000,423434
HandcodedCPP,CPP,true,IO,Single,Random,10000000,418485
HandcodedCPP,CPP,false,IO,Parallel,Random,10000000,89410
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,133816
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,131621
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,105785
HandcodedCPP,CPP,false,Total,Single,Random,10000000,518686
HandcodedCPP,CPP,true,Total,Single,Random,10000000,517694
HandcodedCPP,CPP,false,Total,Parallel,Random,10000000,139627
HandcodedCPP,CPP,false,Total,Single,Sequential,8000000,111754
HandcodedCPP,CPP,true,Total,Single,Sequential,8000000,106112
HandcodedCPP,CPP,false,Total,Parallel,Sequential,8000000,104088
HandcodedCPP,CPP,false,Total,Single,Random,8000000,441050
HandcodedCPP,CPP,true,Total,Single,Random,8000000,438262
HandcodedCPP,CPP,false,Total,Parallel,Random,8000000,132170
HandcodedCPP,CPP,false,Total,Single,Sequential,6000000,83636
HandcodedCPP,CPP,true,Total,Single,Sequential,6000000,81023
HandcodedCPP,CPP,false,Total,Parallel,Sequential,6000000,94129
HandcodedCPP,CPP,false,Total,Single,Random,6000000,364179
HandcodedCPP,CPP,true,Total,Single,Random,6000000,361429
HandcodedCPP,CPP,false,Total,Parallel,Random,6000000,126067
HandcodedCPP,CPP,false,Total,Single,Sequential,4000000,59244
HandcodedCPP,CPP,true,Total,Single,Sequential,4000000,55505
HandcodedCPP,CPP,false,Total,Parallel,Sequential,4000000,92634
HandcodedCPP,CPP,false,Total,Single,Random,4000000,287160
HandcodedCPP,CPP,true,Total,Single,Random,4000000,283643
HandcodedCPP,CPP,false,Total,Parallel,Random,4000000,122247
HandcodedCPP,CPP,false,Total,Single,Sequential,2000000,30718
HandcodedCPP,CPP,true,Total,Single,Sequential,2000000,30079
HandcodedCPP,CPP,false,Total,Parallel,Sequential,2000000,90190
