baseline,language,taskset,execution,chunk_size,nrow,time
BoostBinaryCPP,CPP,false,IO,1000000,15000000,201442
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1374743
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1368056
BoostBinaryCPP,CPP,true,IO,1000000,15000000,201398
BoostBinaryCPP,CPP,false,IO,1000000,15000000,202395
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1305263
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1309692
BoostBinaryCPP,CPP,true,IO,1000000,15000000,202467
BoostBinaryCPP,CPP,false,IO,1000000,15000000,202164
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1299411
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1301470
BoostBinaryCPP,CPP,true,IO,1000000,15000000,202282
BoostBinaryCPP,CPP,false,IO,1000000,15000000,202360
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1313319
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1313462
BoostBinaryCPP,CPP,true,IO,1000000,15000000,202579
BoostBinaryCPP,CPP,false,IO,1000000,15000000,202094
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1304635
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1311763
BoostBinaryCPP,CPP,true,IO,1000000,15000000,202164
HandcodedCPP,CPP,false,IO,1000000,15000000,171476
HandcodedCPP,CPP,false,Total,1000000,15000000,522934
HandcodedCPP,CPP,true,Total,1000000,15000000,520176
HandcodedCPP,CPP,true,IO,1000000,15000000,171365
inPlaceCPP,CPP,false,IO,1000000,15000000,257429
inPlaceCPP,CPP,false,Total,1000000,15000000,607715
inPlaceCPP,CPP,true,Total,1000000,15000000,614738
inPlaceCPP,CPP,true,IO,1000000,15000000,257317
BoostCPP,CPP,false,IO,1000000,15000000,175499
BoostCPP,CPP,false,Total,1000000,15000000,2044690
BoostCPP,CPP,true,Total,1000000,15000000,2064691
BoostCPP,CPP,true,IO,1000000,15000000,176495
ProtoBufCPP,CPP,false,IO,1000000,15000000,150439
ProtoBufCPP,CPP,false,Total,1000000,15000000,749343
ProtoBufCPP,CPP,true,Total,1000000,15000000,724041
ProtoBufCPP,CPP,true,IO,1000000,15000000,150763
BsonCPP,CPP,false,IO,1000000,15000000,351488
BsonCPP,CPP,false,Total,1000000,15000000,15555452
BsonCPP,CPP,true,Total,1000000,15000000,15427612
BsonCPP,CPP,true,IO,1000000,15000000,353878
FlatBufCPP,CPP,false,IO,1000000,15000000,228284
FlatBufCPP,CPP,false,Total,1000000,15000000,743249
FlatBufCPP,CPP,true,Total,1000000,15000000,742844
FlatBufCPP,CPP,true,IO,1000000,15000000,228849
HandcodedCPP,CPP,false,IO,1000000,15000000,171784
HandcodedCPP,CPP,false,Total,1000000,15000000,525337
HandcodedCPP,CPP,true,Total,1000000,15000000,526572
HandcodedCPP,CPP,true,IO,1000000,15000000,172153
inPlaceCPP,CPP,false,IO,1000000,15000000,257302
inPlaceCPP,CPP,false,Total,1000000,15000000,624442
inPlaceCPP,CPP,true,Total,1000000,15000000,619750
inPlaceCPP,CPP,true,IO,1000000,15000000,257484
BoostCPP,CPP,false,IO,1000000,15000000,175731
BoostCPP,CPP,false,Total,1000000,15000000,2019025
BoostCPP,CPP,true,Total,1000000,15000000,2044875
BoostCPP,CPP,true,IO,1000000,15000000,176000
