baseline,language,execution,plan,machineip,time
HandcodedCPP,CPP,Total,d2d,10.142.0.2 ,330800
HandcodedCPP,CPP,IO,d2d,10.142.0.2 ,250463
inPlaceCPP,CPP,Total,d2d,10.142.0.2 ,404881
inPlaceCPP,CPP,IO,d2d,10.142.0.2 ,380290
BoostCPP,CPP,Total,d2d,10.142.0.2 ,1002179
BoostCPP,CPP,IO,d2d,10.142.0.2 ,260157
BoostBinaryCPP,CPP,Total,d2d,10.142.0.2 ,648008
BoostBinaryCPP,CPP,IO,d2d,10.142.0.2 ,304032
ProtoBufCPP,CPP,Total,d2d,10.142.0.2 ,368780
ProtoBufCPP,CPP,IO,d2d,10.142.0.2 ,234505
BsonCPP,CPP,Total,d2d,10.142.0.2 ,8169409
BsonCPP,CPP,IO,d2d,10.142.0.2 ,532534
FlatBufCPP,CPP,Total,d2d,10.142.0.2 ,389000
FlatBufCPP,CPP,IO,d2d,10.142.0.2 ,337993
HandcodedCPP,CPP,Total,d2d,10.142.0.2 ,328680
HandcodedCPP,CPP,IO,d2d,10.142.0.2 ,248955
inPlaceCPP,CPP,Total,d2d,10.142.0.2 ,400972
inPlaceCPP,CPP,IO,d2d,10.142.0.2 ,379646
BoostCPP,CPP,Total,d2d,10.142.0.2 ,1010527
BoostCPP,CPP,IO,d2d,10.142.0.2 ,255356
BoostBinaryCPP,CPP,Total,d2d,10.142.0.2 ,645748
BoostBinaryCPP,CPP,IO,d2d,10.142.0.2 ,294084
ProtoBufCPP,CPP,Total,d2d,10.142.0.2 ,367247
ProtoBufCPP,CPP,IO,d2d,10.142.0.2 ,230015
BsonCPP,CPP,Total,d2d,10.142.0.2 ,8056055
BsonCPP,CPP,IO,d2d,10.142.0.2 ,530346
FlatBufCPP,CPP,Total,d2d,10.142.0.2 ,383847
FlatBufCPP,CPP,IO,d2d,10.142.0.2 ,336556
HandcodedCPP,CPP,Total,d2d,10.142.0.2 ,344785
HandcodedCPP,CPP,IO,d2d,10.142.0.2 ,264679
inPlaceCPP,CPP,Total,d2d,10.142.0.2 ,405296
inPlaceCPP,CPP,IO,d2d,10.142.0.2 ,401159
BoostCPP,CPP,Total,d2d,10.142.0.2 ,1002595
BoostCPP,CPP,IO,d2d,10.142.0.2 ,261607
BoostBinaryCPP,CPP,Total,d2d,10.142.0.2 ,637941
BoostBinaryCPP,CPP,IO,d2d,10.142.0.2 ,302904
ProtoBufCPP,CPP,Total,d2d,10.142.0.2 ,397838
ProtoBufCPP,CPP,IO,d2d,10.142.0.2 ,221368
BsonCPP,CPP,Total,d2d,10.142.0.2 ,8067582
BsonCPP,CPP,IO,d2d,10.142.0.2 ,521685
FlatBufCPP,CPP,Total,d2d,10.142.0.2 ,384981
FlatBufCPP,CPP,IO,d2d,10.142.0.2 ,341048
HandcodedCPP,CPP,Total,d2d,10.142.0.2 ,325387
HandcodedCPP,CPP,IO,d2d,10.142.0.2 ,250750
inPlaceCPP,CPP,Total,d2d,10.142.0.2 ,394894
inPlaceCPP,CPP,IO,d2d,10.142.0.2 ,398575
BoostCPP,CPP,Total,d2d,10.142.0.2 ,1025278
BoostCPP,CPP,IO,d2d,10.142.0.2 ,254295
BoostBinaryCPP,CPP,Total,d2d,10.142.0.2 ,644670
BoostBinaryCPP,CPP,IO,d2d,10.142.0.2 ,304843
ProtoBufCPP,CPP,Total,d2d,10.142.0.2 ,382154
ProtoBufCPP,CPP,IO,d2d,10.142.0.2 ,225760
