language,platform,taskset,nrow,time
Java,Single,true,5000000,67516
Java,Single,false,5000000,69396
Java,Parallel,false,5000000,30637
Java,Single,true,4000000,55786
Java,Single,false,4000000,59187
Java,Parallel,false,4000000,26242
Java,Single,true,3000000,42383
Java,Single,false,3000000,45071
Java,Parallel,false,3000000,22151
Java,Single,true,2000000,30213
Java,Single,false,2000000,31788
Java,Parallel,false,2000000,18447
Java,Single,true,1000000,17836
Java,Single,false,1000000,18660
Java,Parallel,false,1000000,14727
Java,Single,true,5000000,68310
Java,Single,false,5000000,71000
Java,Parallel,false,5000000,30005
Java,Single,true,4000000,54942
Java,Single,false,4000000,57855
Java,Parallel,false,4000000,26017
Java,Single,true,3000000,44600
Java,Single,false,3000000,45825
Java,Parallel,false,3000000,22500
Java,Single,true,2000000,30382
Java,Single,false,2000000,31777
Java,Parallel,false,2000000,18489
Java,Single,true,1000000,17773
Java,Single,false,1000000,18096
Java,Parallel,false,1000000,14723
Java,Single,true,5000000,69773
Java,Single,false,5000000,74440
Java,Parallel,false,5000000,29986
Java,Single,true,4000000,56295
Java,Single,false,4000000,59152
Java,Parallel,false,4000000,26614
Java,Single,true,3000000,42434
Java,Single,false,3000000,46167
Java,Parallel,false,3000000,22428
Java,Single,true,2000000,30505
Java,Single,false,2000000,31382
Java,Parallel,false,2000000,19417
Java,Single,true,1000000,17569
Java,Single,false,1000000,18458
Java,Parallel,false,1000000,14936
Java,Single,true,5000000,67032
Java,Single,false,5000000,74003
Java,Parallel,false,5000000,30041
Java,Single,true,4000000,54792
Java,Single,false,4000000,57037
Java,Parallel,false,4000000,26533
Java,Single,true,3000000,42635
Java,Single,false,3000000,44912
Java,Parallel,false,3000000,22280
Java,Single,true,2000000,30905
Java,Single,false,2000000,31430
Java,Parallel,false,2000000,18294
Java,Single,true,1000000,17659
Java,Single,false,1000000,19038
Java,Parallel,false,1000000,14685
Java,Single,true,5000000,70239
Java,Single,false,5000000,67814
Java,Parallel,false,5000000,30346
Java,Single,true,4000000,55139
Java,Single,false,4000000,60311
Java,Parallel,false,4000000,26243
Java,Single,true,3000000,43210
Java,Single,false,3000000,44175
Java,Parallel,false,3000000,22669
Java,Single,true,2000000,30067
Java,Single,false,2000000,31358
Java,Parallel,false,2000000,19044
Java,Single,true,1000000,18053
Java,Single,false,1000000,18886
Java,Parallel,false,1000000,14552
Java,Single,true,5000000,67232
Java,Single,false,5000000,71970
Java,Parallel,false,5000000,30295
Java,Single,true,4000000,54575
Java,Single,false,4000000,56003
Java,Parallel,false,4000000,26761
Java,Single,true,3000000,43108
Java,Single,false,3000000,46539
Java,Parallel,false,3000000,22029
Java,Single,true,2000000,30255
Java,Single,false,2000000,32336
Java,Parallel,false,2000000,19233
Java,Single,true,1000000,17882
Java,Single,false,1000000,18391
Java,Parallel,false,1000000,14755
Java,Single,true,5000000,68331
Java,Single,false,5000000,66249
Java,Parallel,false,5000000,30563
Java,Single,true,4000000,55406
Java,Single,false,4000000,58823
Java,Parallel,false,4000000,26104
Java,Single,true,3000000,42574
Java,Single,false,3000000,47316
Java,Parallel,false,3000000,22324
Java,Single,true,2000000,30239
Java,Single,false,2000000,31435
Java,Parallel,false,2000000,19163
Java,Single,true,1000000,17588
Java,Single,false,1000000,18977
Java,Parallel,false,1000000,14567
Java,Single,true,5000000,68989
Java,Single,false,5000000,73937
Java,Parallel,false,5000000,31159
Java,Single,true,4000000,54966
Java,Single,false,4000000,57096
Java,Parallel,false,4000000,26364
Java,Single,true,3000000,42503
Java,Single,false,3000000,45643
Java,Parallel,false,3000000,22696
Java,Single,true,2000000,30307
Java,Single,false,2000000,32202
Java,Parallel,false,2000000,19332
Java,Single,true,1000000,18083
Java,Single,false,1000000,19203
Java,Parallel,false,1000000,14488
CPP,Single,true,5000000,47340
CPP,Single,false,5000000,47608
CPP,Parallel,false,5000000,23018
CPP,Single,true,4000000,38234
CPP,Single,false,4000000,38642
CPP,Parallel,false,4000000,18959
CPP,Single,true,3000000,28969
CPP,Single,false,3000000,29311
CPP,Parallel,false,3000000,14864
CPP,Single,true,2000000,20213
CPP,Single,false,2000000,20311
CPP,Parallel,false,2000000,10836
CPP,Single,true,1000000,11131
CPP,Single,false,1000000,11061
CPP,Parallel,false,1000000,6633
CPP,Single,true,5000000,47141
CPP,Single,false,5000000,47558
CPP,Parallel,false,5000000,23085
CPP,Single,true,4000000,38392
CPP,Single,false,4000000,38369
CPP,Parallel,false,4000000,18876
CPP,Single,true,3000000,29289
CPP,Single,false,3000000,29371
CPP,Parallel,false,3000000,14812
CPP,Single,true,2000000,20186
CPP,Single,false,2000000,20202
CPP,Parallel,false,2000000,10673
CPP,Single,true,1000000,11126
CPP,Single,false,1000000,11134
CPP,Parallel,false,1000000,6697
CPP,Single,true,5000000,47547
CPP,Single,false,5000000,47867
CPP,Parallel,false,5000000,23026
CPP,Single,true,4000000,38458
CPP,Single,false,4000000,38473
CPP,Parallel,false,4000000,18757
CPP,Single,true,3000000,29463
CPP,Single,false,3000000,29229
CPP,Parallel,false,3000000,14856
CPP,Single,true,2000000,20205
CPP,Single,false,2000000,20366
CPP,Parallel,false,2000000,10760
CPP,Single,true,1000000,10991
CPP,Single,false,1000000,11066
CPP,Parallel,false,1000000,6624
CPP,Single,true,5000000,47226
CPP,Single,false,5000000,47502
CPP,Parallel,false,5000000,22854
CPP,Single,true,4000000,38571
CPP,Single,false,4000000,38571
CPP,Parallel,false,4000000,18818
CPP,Single,true,3000000,29523
CPP,Single,false,3000000,29350
CPP,Parallel,false,3000000,14795
CPP,Single,true,2000000,20221
CPP,Single,false,2000000,20328
CPP,Parallel,false,2000000,10702
CPP,Single,true,1000000,11088
CPP,Single,false,1000000,11075
CPP,Parallel,false,1000000,6675
CPP,Single,true,5000000,47394
CPP,Single,false,5000000,47628
CPP,Parallel,false,5000000,22876
CPP,Single,true,4000000,38475
CPP,Single,false,4000000,38539
CPP,Parallel,false,4000000,18903
CPP,Single,true,3000000,29320
CPP,Single,false,3000000,29280
CPP,Parallel,false,3000000,14806
CPP,Single,true,2000000,20181
CPP,Single,false,2000000,20300
CPP,Parallel,false,2000000,10688
CPP,Single,true,1000000,11118
CPP,Single,false,1000000,11070
CPP,Parallel,false,1000000,6650
CPP,Single,true,5000000,47108
CPP,Single,false,5000000,47970
CPP,Parallel,false,5000000,22864
CPP,Single,true,4000000,38656
CPP,Single,false,4000000,38672
CPP,Parallel,false,4000000,18873
CPP,Single,true,3000000,29519
CPP,Single,false,3000000,29364
CPP,Parallel,false,3000000,14811
CPP,Single,true,2000000,20275
CPP,Single,false,2000000,20341
CPP,Parallel,false,2000000,10733
CPP,Single,true,1000000,11042
CPP,Single,false,1000000,11202
CPP,Parallel,false,1000000,6735
Rust,Single,true,5000000,70511
Rust,Single,false,5000000,73115
Rust,Parallel,false,5000000,20066
Rust,Single,true,4000000,56574
Rust,Single,false,4000000,57362
Rust,Parallel,false,4000000,16378
Rust,Single,true,3000000,42315
Rust,Single,false,3000000,43360
Rust,Parallel,false,3000000,13251
Rust,Single,true,2000000,28601
Rust,Single,false,2000000,30508
Rust,Parallel,false,2000000,8931
Rust,Single,true,1000000,15033
Rust,Single,false,1000000,15042
Rust,Parallel,false,1000000,5323
Rust,Single,true,5000000,70610
Rust,Single,false,5000000,71622
Rust,Parallel,false,5000000,20137
Rust,Single,true,4000000,56515
Rust,Single,false,4000000,58957
Rust,Parallel,false,4000000,16485
Rust,Single,true,3000000,42279
Rust,Single,false,3000000,42944
Rust,Parallel,false,3000000,12703
Rust,Single,true,2000000,28498
Rust,Single,false,2000000,29534
Rust,Parallel,false,2000000,8873
Rust,Single,true,1000000,14999
Rust,Single,false,1000000,15008
Rust,Parallel,false,1000000,5386
Rust,Single,true,5000000,70371
Rust,Single,false,5000000,71358
Rust,Parallel,false,5000000,20343
Rust,Single,true,4000000,56459
Rust,Single,false,4000000,61021
Rust,Parallel,false,4000000,16772
Rust,Single,true,3000000,42223
Rust,Single,false,3000000,44334
Rust,Parallel,false,3000000,12685
Rust,Single,true,2000000,28593
Rust,Single,false,2000000,31455
Rust,Parallel,false,2000000,9296
Rust,Single,true,1000000,15042
Rust,Single,false,1000000,15883
Rust,Parallel,false,1000000,5455
Rust,Single,true,5000000,70673
Rust,Single,false,5000000,71206
Rust,Parallel,false,5000000,20369
Rust,Single,true,4000000,56500
Rust,Single,false,4000000,57554
Rust,Parallel,false,4000000,16418
Rust,Single,true,3000000,42340
Rust,Single,false,3000000,44895
Rust,Parallel,false,3000000,12711
Rust,Single,true,2000000,28512
Rust,Single,false,2000000,28563
Rust,Parallel,false,2000000,9016
Rust,Single,true,1000000,15018
Rust,Single,false,1000000,15008
Rust,Parallel,false,1000000,5129
Rust,Single,true,5000000,70496
Rust,Single,false,5000000,73375
Rust,Parallel,false,5000000,20428
Rust,Single,true,4000000,56551
Rust,Single,false,4000000,57600
Rust,Parallel,false,4000000,16810
Rust,Single,true,3000000,42237
Rust,Single,false,3000000,44218
Rust,Parallel,false,3000000,12459
Rust,Single,true,2000000,28526
Rust,Single,false,2000000,30539
Rust,Parallel,false,2000000,8916
Rust,Single,true,1000000,15031
Rust,Single,false,1000000,16081
Rust,Parallel,false,1000000,5614
Java,Single,true,5000000,69436
Java,Single,false,5000000,72206
Java,Parallel,false,5000000,30365
Java,Single,true,4000000,56850
Java,Single,false,4000000,60188
Java,Parallel,false,4000000,27115
Java,Single,true,3000000,42400
Java,Single,false,3000000,45932
Java,Parallel,false,3000000,22343
Java,Single,true,2000000,30360
Java,Single,false,2000000,31147
Java,Parallel,false,2000000,18474
Java,Single,true,1000000,17884
Java,Single,false,1000000,18263
Java,Parallel,false,1000000,14453
Java,Single,true,5000000,67251
Java,Single,false,5000000,73250
Java,Parallel,false,5000000,31178
Java,Single,true,4000000,55658
Java,Single,false,4000000,58953
Java,Parallel,false,4000000,26204
Java,Single,true,3000000,43415
Java,Single,false,3000000,43929
Java,Parallel,false,3000000,21985
Java,Single,true,2000000,31303
Java,Single,false,2000000,34229
Java,Parallel,false,2000000,18283
Java,Single,true,1000000,18097
Java,Single,false,1000000,17454
Java,Parallel,false,1000000,14547
Java,Single,true,5000000,68675
Java,Single,false,5000000,71753
Java,Parallel,false,5000000,31143
Java,Single,true,4000000,55048
Java,Single,false,4000000,54000
Java,Parallel,false,4000000,26410
Java,Single,true,3000000,42944
Java,Single,false,3000000,44024
Java,Parallel,false,3000000,22531
Java,Single,true,2000000,30873
Java,Single,false,2000000,31350
Java,Parallel,false,2000000,18879
Java,Single,true,1000000,17570
Java,Single,false,1000000,18462
Java,Parallel,false,1000000,14450
Java,Single,true,5000000,68164
Java,Single,false,5000000,72616
Java,Parallel,false,5000000,30191
Java,Single,true,4000000,55756
Java,Single,false,4000000,58479
Java,Parallel,false,4000000,26556
Java,Single,true,3000000,43407
Java,Single,false,3000000,43313
Java,Parallel,false,3000000,22531
Java,Single,true,2000000,30793
Java,Single,false,2000000,31873
Java,Parallel,false,2000000,18502
Java,Single,true,1000000,17669
Java,Single,false,1000000,18051
Java,Parallel,false,1000000,14472
Java,Single,true,5000000,67907
Java,Single,false,5000000,75870
Java,Parallel,false,5000000,30252
Java,Single,true,4000000,56958
Java,Single,false,4000000,59661
Java,Parallel,false,4000000,26716
Java,Single,true,3000000,43338
Java,Single,false,3000000,43928
Java,Parallel,false,3000000,22466
Java,Single,true,2000000,30214
Java,Single,false,2000000,31651
Java,Parallel,false,2000000,18227
Java,Single,true,1000000,17954
Java,Single,false,1000000,18831
Java,Parallel,false,1000000,15592
Java,Single,true,5000000,68701
Java,Single,false,5000000,74090
Java,Parallel,false,5000000,30027
Java,Single,true,4000000,58003
Java,Single,false,4000000,55259
Java,Parallel,false,4000000,26251
Java,Single,true,3000000,43127
Java,Single,false,3000000,45093
Java,Parallel,false,3000000,23140
Java,Single,true,2000000,30921
Java,Single,false,2000000,31043
Java,Parallel,false,2000000,18924
Java,Single,true,1000000,18075
Java,Single,false,1000000,18443
Java,Parallel,false,1000000,14657
Java,Single,true,5000000,68151
Java,Single,false,5000000,69612
Java,Parallel,false,5000000,29889
Java,Single,true,4000000,56612
Java,Single,false,4000000,58533
Java,Parallel,false,4000000,26012
Java,Single,true,3000000,42028
Java,Single,false,3000000,43976
Java,Parallel,false,3000000,22193
Java,Single,true,2000000,30123
Java,Single,false,2000000,31536
Java,Parallel,false,2000000,18736
Java,Single,true,1000000,17678
Java,Single,false,1000000,19345
Java,Parallel,false,1000000,14617
Java,Single,true,5000000,68935
Java,Single,false,5000000,72134
Java,Parallel,false,5000000,30189
Java,Single,true,4000000,57061
Java,Single,false,4000000,58595
Java,Parallel,false,4000000,26014
Java,Single,true,3000000,43726
Java,Single,false,3000000,42202
Java,Parallel,false,3000000,22172
Java,Single,true,2000000,30032
Java,Single,false,2000000,32043
Java,Parallel,false,2000000,18376
Java,Single,true,1000000,17643
Java,Single,false,1000000,18379
Java,Parallel,false,1000000,14297
CPP,Single,true,5000000,47071
CPP,Single,false,5000000,47365
CPP,Parallel,false,5000000,22892
CPP,Single,true,4000000,38372
CPP,Single,false,4000000,38633
CPP,Parallel,false,4000000,18986
CPP,Single,true,3000000,29323
CPP,Single,false,3000000,29491
CPP,Parallel,false,3000000,14818
CPP,Single,true,2000000,20030
CPP,Single,false,2000000,20179
CPP,Parallel,false,2000000,10726
CPP,Single,true,1000000,11097
CPP,Single,false,1000000,11094
CPP,Parallel,false,1000000,6628
CPP,Single,true,5000000,47305
CPP,Single,false,5000000,47780
