baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,CPU,Single,Sequential,5000000,268584
DefaultJava,Java,true,CPU,Single,Sequential,5000000,260448
DefaultJava,Java,false,CPU,Parallel,Sequential,5000000,39243
DefaultJava,Java,false,Total,Single,Sequential,5000000,296558
DefaultJava,Java,true,Total,Single,Sequential,5000000,290873
DefaultJava,Java,false,Total,Parallel,Sequential,5000000,50402
Json+GzipJava,Java,false,CPU,Single,Sequential,5000000,933704
Json+GzipJava,Java,true,CPU,Single,Sequential,5000000,922508
Json+GzipJava,Java,false,CPU,Parallel,Sequential,5000000,282439
Json+GzipJava,Java,false,Total,Single,Sequential,5000000,955195
Json+GzipJava,Java,true,Total,Single,Sequential,5000000,944750
Json+GzipJava,Java,false,Total,Parallel,Sequential,5000000,257485
BsonJava,Java,false,CPU,Single,Sequential,5000000,279821
BsonJava,Java,true,CPU,Single,Sequential,5000000,372317
BsonJava,Java,false,CPU,Parallel,Sequential,5000000,38955
BsonJava,Java,false,Total,Single,Sequential,5000000,326640
BsonJava,Java,true,Total,Single,Sequential,5000000,373010
BsonJava,Java,false,Total,Parallel,Sequential,5000000,54925
ProtoBufJava,Java,false,CPU,Single,Sequential,5000000,115759
ProtoBufJava,Java,true,CPU,Single,Sequential,5000000,119890
ProtoBufJava,Java,false,CPU,Parallel,Sequential,5000000,33794
ProtoBufJava,Java,false,Total,Single,Sequential,5000000,139553
ProtoBufJava,Java,true,Total,Single,Sequential,5000000,136331
ProtoBufJava,Java,false,Total,Parallel,Sequential,5000000,34492
KryoJava,Java,false,CPU,Single,Sequential,5000000,132530
KryoJava,Java,true,CPU,Single,Sequential,5000000,122805
KryoJava,Java,false,CPU,Parallel,Sequential,5000000,32848
KryoJava,Java,false,Total,Single,Sequential,5000000,144604
KryoJava,Java,true,Total,Single,Sequential,5000000,141244
KryoJava,Java,false,Total,Parallel,Sequential,5000000,35089
ByteBufferJava,Java,false,CPU,Single,Sequential,5000000,111685
ByteBufferJava,Java,true,CPU,Single,Sequential,5000000,109170
ByteBufferJava,Java,false,CPU,Parallel,Sequential,5000000,33419
ByteBufferJava,Java,false,Total,Single,Sequential,5000000,129346
ByteBufferJava,Java,true,Total,Single,Sequential,5000000,126800
ByteBufferJava,Java,false,Total,Parallel,Sequential,5000000,34909
JsonJava,Java,false,CPU,Single,Sequential,5000000,559353
JsonJava,Java,true,CPU,Single,Sequential,5000000,527051
JsonJava,Java,false,CPU,Parallel,Sequential,5000000,240449
JsonJava,Java,false,Total,Single,Sequential,5000000,578568
JsonJava,Java,true,Total,Single,Sequential,5000000,565160
JsonJava,Java,false,Total,Parallel,Sequential,5000000,242731
FlatBuffersJava,Java,false,CPU,Single,Sequential,5000000,131436
