baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,IO,Single,Sequential,5000000,58326
DefaultJava,Java,true,IO,Single,Sequential,5000000,59518
DefaultJava,Java,false,IO,Parallel,Sequential,5000000,66240
DefaultJava,Java,false,Total,Single,Sequential,5000000,459458
DefaultJava,Java,true,Total,Single,Sequential,5000000,576898
DefaultJava,Java,false,Total,Parallel,Sequential,5000000,78902
DefaultJava,Java,false,IO,Single,Sequential,4000000,45130
DefaultJava,Java,true,IO,Single,Sequential,4000000,49728
DefaultJava,Java,false,IO,Parallel,Sequential,4000000,56878
DefaultJava,Java,false,Total,Single,Sequential,4000000,368995
DefaultJava,Java,true,Total,Single,Sequential,4000000,461504
DefaultJava,Java,false,Total,Parallel,Sequential,4000000,64887
DefaultJava,Java,false,IO,Single,Sequential,3000000,35251
DefaultJava,Java,true,IO,Single,Sequential,3000000,35363
DefaultJava,Java,false,IO,Parallel,Sequential,3000000,46601
DefaultJava,Java,false,Total,Single,Sequential,3000000,277326
DefaultJava,Java,true,Total,Single,Sequential,3000000,341115
DefaultJava,Java,false,Total,Parallel,Sequential,3000000,51674
DefaultJava,Java,false,IO,Single,Sequential,2000000,21565
DefaultJava,Java,true,IO,Single,Sequential,2000000,25506
DefaultJava,Java,false,IO,Parallel,Sequential,2000000,37954
DefaultJava,Java,false,Total,Single,Sequential,2000000,192175
DefaultJava,Java,true,Total,Single,Sequential,2000000,230396
DefaultJava,Java,false,Total,Parallel,Sequential,2000000,39464
DefaultJava,Java,false,IO,Single,Sequential,1000000,11594
DefaultJava,Java,true,IO,Single,Sequential,1000000,11920
DefaultJava,Java,false,IO,Parallel,Sequential,1000000,25194
DefaultJava,Java,false,Total,Single,Sequential,1000000,96869
DefaultJava,Java,true,Total,Single,Sequential,1000000,118069
DefaultJava,Java,false,Total,Parallel,Sequential,1000000,24988
Json+GzipJava,Java,false,IO,Single,Sequential,5000000,15578
Json+GzipJava,Java,true,IO,Single,Sequential,5000000,15980
Json+GzipJava,Java,false,IO,Parallel,Sequential,5000000,32436
Json+GzipJava,Java,false,Total,Single,Sequential,5000000,411422
Json+GzipJava,Java,true,Total,Single,Sequential,5000000,520225
Json+GzipJava,Java,false,Total,Parallel,Sequential,5000000,51118
Json+GzipJava,Java,false,IO,Single,Sequential,4000000,12671
Json+GzipJava,Java,true,IO,Single,Sequential,4000000,13047
Json+GzipJava,Java,false,IO,Parallel,Sequential,4000000,26181
Json+GzipJava,Java,false,Total,Single,Sequential,4000000,313170
Json+GzipJava,Java,true,Total,Single,Sequential,4000000,407266
Json+GzipJava,Java,false,Total,Parallel,Sequential,4000000,43285
Json+GzipJava,Java,false,IO,Single,Sequential,3000000,9830
Json+GzipJava,Java,true,IO,Single,Sequential,3000000,10197
Json+GzipJava,Java,false,IO,Parallel,Sequential,3000000,24134
Json+GzipJava,Java,false,Total,Single,Sequential,3000000,250662
Json+GzipJava,Java,true,Total,Single,Sequential,3000000,318674
Json+GzipJava,Java,false,Total,Parallel,Sequential,3000000,37785
Json+GzipJava,Java,false,IO,Single,Sequential,2000000,6958
Json+GzipJava,Java,true,IO,Single,Sequential,2000000,7295
Json+GzipJava,Java,false,IO,Parallel,Sequential,2000000,22252
Json+GzipJava,Java,false,Total,Single,Sequential,2000000,170891
Json+GzipJava,Java,true,Total,Single,Sequential,2000000,211110
Json+GzipJava,Java,false,Total,Parallel,Sequential,2000000,28045
Json+GzipJava,Java,false,IO,Single,Sequential,1000000,4240
Json+GzipJava,Java,true,IO,Single,Sequential,1000000,4588
Json+GzipJava,Java,false,IO,Parallel,Sequential,1000000,18206
Json+GzipJava,Java,false,Total,Single,Sequential,1000000,88526
Json+GzipJava,Java,true,Total,Single,Sequential,1000000,107489
Json+GzipJava,Java,false,Total,Parallel,Sequential,1000000,19991
BsonJava,Java,false,IO,Single,Sequential,5000000,60178
BsonJava,Java,true,IO,Single,Sequential,5000000,61306
BsonJava,Java,false,IO,Parallel,Sequential,5000000,68030
BsonJava,Java,false,Total,Single,Sequential,5000000,203677
BsonJava,Java,true,Total,Single,Sequential,5000000,301607
BsonJava,Java,false,Total,Parallel,Sequential,5000000,72324
BsonJava,Java,false,IO,Single,Sequential,4000000,46758
BsonJava,Java,true,IO,Single,Sequential,4000000,51515
BsonJava,Java,false,IO,Parallel,Sequential,4000000,59211
BsonJava,Java,false,Total,Single,Sequential,4000000,161152
BsonJava,Java,true,Total,Single,Sequential,4000000,241348
BsonJava,Java,false,Total,Parallel,Sequential,4000000,58986
BsonJava,Java,false,IO,Single,Sequential,3000000,36465
BsonJava,Java,true,IO,Single,Sequential,3000000,36541
BsonJava,Java,false,IO,Parallel,Sequential,3000000,47673
BsonJava,Java,false,Total,Single,Sequential,3000000,124758
BsonJava,Java,true,Total,Single,Sequential,3000000,180891
BsonJava,Java,false,Total,Parallel,Sequential,3000000,46932
BsonJava,Java,false,IO,Single,Sequential,2000000,22185
BsonJava,Java,true,IO,Single,Sequential,2000000,26204
BsonJava,Java,false,IO,Parallel,Sequential,2000000,38058
BsonJava,Java,false,Total,Single,Sequential,2000000,83510
BsonJava,Java,true,Total,Single,Sequential,2000000,121065
BsonJava,Java,false,Total,Parallel,Sequential,2000000,35467
BsonJava,Java,false,IO,Single,Sequential,1000000,11718
BsonJava,Java,true,IO,Single,Sequential,1000000,12070
BsonJava,Java,false,IO,Parallel,Sequential,1000000,25723
BsonJava,Java,false,Total,Single,Sequential,1000000,43598
BsonJava,Java,true,Total,Single,Sequential,1000000,63133
BsonJava,Java,false,Total,Parallel,Sequential,1000000,22956
ProtoBufJava,Java,false,IO,Single,Sequential,5000000,22091
ProtoBufJava,Java,true,IO,Single,Sequential,5000000,27341
ProtoBufJava,Java,false,IO,Parallel,Sequential,5000000,37835
ProtoBufJava,Java,false,Total,Single,Sequential,5000000,58416
ProtoBufJava,Java,true,Total,Single,Sequential,5000000,116399
ProtoBufJava,Java,false,Total,Parallel,Sequential,5000000,38109
ProtoBufJava,Java,false,IO,Single,Sequential,4000000,18105
ProtoBufJava,Java,true,IO,Single,Sequential,4000000,18477
ProtoBufJava,Java,false,IO,Parallel,Sequential,4000000,34847
ProtoBufJava,Java,false,Total,Single,Sequential,4000000,54115
ProtoBufJava,Java,true,Total,Single,Sequential,4000000,99306
ProtoBufJava,Java,false,Total,Parallel,Sequential,4000000,32686
ProtoBufJava,Java,false,IO,Single,Sequential,3000000,13974
ProtoBufJava,Java,true,IO,Single,Sequential,3000000,14365
ProtoBufJava,Java,false,IO,Parallel,Sequential,3000000,26978
ProtoBufJava,Java,false,Total,Single,Sequential,3000000,40294
ProtoBufJava,Java,true,Total,Single,Sequential,3000000,74005
ProtoBufJava,Java,false,Total,Parallel,Sequential,3000000,28491
ProtoBufJava,Java,false,IO,Single,Sequential,2000000,9806
ProtoBufJava,Java,true,IO,Single,Sequential,2000000,10123
ProtoBufJava,Java,false,IO,Parallel,Sequential,2000000,23143
ProtoBufJava,Java,false,Total,Single,Sequential,2000000,30386
ProtoBufJava,Java,true,Total,Single,Sequential,2000000,48572
ProtoBufJava,Java,false,Total,Parallel,Sequential,2000000,23169
ProtoBufJava,Java,false,IO,Single,Sequential,1000000,5669
ProtoBufJava,Java,true,IO,Single,Sequential,1000000,6051
ProtoBufJava,Java,false,IO,Parallel,Sequential,1000000,19396
ProtoBufJava,Java,false,Total,Single,Sequential,1000000,18119
ProtoBufJava,Java,true,Total,Single,Sequential,1000000,22112
ProtoBufJava,Java,false,Total,Parallel,Sequential,1000000,17457
KryoJava,Java,false,IO,Single,Sequential,5000000,21616
