baseline,language,taskset,execution,chunk_size,nrow,time
HandcodedCPP,CPP,false,IO,1000000,15000000,169138
HandcodedCPP,CPP,false,Total,1000000,15000000,497284
HandcodedCPP,CPP,true,Total,1000000,15000000,545976
HandcodedCPP,CPP,true,IO,1000000,15000000,171789
inPlaceCPP,CPP,false,IO,1000000,15000000,257806
inPlaceCPP,CPP,false,Total,1000000,15000000,677122
inPlaceCPP,CPP,true,Total,1000000,15000000,685939
inPlaceCPP,CPP,true,IO,1000000,15000000,258850
BoostCPP,CPP,false,IO,1000000,15000000,176695
BoostCPP,CPP,false,Total,1000000,15000000,2081046
BoostCPP,CPP,true,Total,1000000,15000000,1979405
BoostCPP,CPP,true,IO,1000000,15000000,174061
ProtoBufCPP,CPP,false,IO,1000000,15000000,147500
ProtoBufCPP,CPP,false,Total,1000000,15000000,680801
ProtoBufCPP,CPP,true,Total,1000000,15000000,681585
ProtoBufCPP,CPP,true,IO,1000000,15000000,147581
BsonCPP,CPP,false,IO,1000000,15000000,352980
BsonCPP,CPP,false,Total,1000000,15000000,14572860
BsonCPP,CPP,true,Total,1000000,15000000,14537269
BsonCPP,CPP,true,IO,1000000,15000000,353523
FlatBufCPP,CPP,false,IO,1000000,15000000,226488
FlatBufCPP,CPP,false,Total,1000000,15000000,662124
FlatBufCPP,CPP,true,Total,1000000,15000000,664591
FlatBufCPP,CPP,true,IO,1000000,15000000,226433
JsonRust,Rust,false,IO,1000000,15000000,360431
JsonRust,Rust,false,Total,1000000,15000000,699542
JsonRust,Rust,true,Total,1000000,15000000,705763
JsonRust,Rust,true,IO,1000000,15000000,358803
BincodeRust,Rust,false,IO,1000000,15000000,194824
BincodeRust,Rust,false,Total,1000000,15000000,292321
BincodeRust,Rust,true,Total,1000000,15000000,293046
BincodeRust,Rust,true,IO,1000000,15000000,195217
MessagePackRust,Rust,false,IO,1000000,15000000,147613
MessagePackRust,Rust,false,Total,1000000,15000000,328002
MessagePackRust,Rust,true,Total,1000000,15000000,328542
MessagePackRust,Rust,true,IO,1000000,15000000,148199
BsonRust,Rust,false,IO,1000000,15000000,344941
BsonRust,Rust,false,Total,1000000,15000000,2297069
BsonRust,Rust,true,Total,1000000,15000000,2290836
BsonRust,Rust,true,IO,1000000,15000000,343354
FlexBufRust,Rust,false,IO,1000000,15000000,326375
FlexBufRust,Rust,false,Total,1000000,15000000,989027
FlexBufRust,Rust,true,Total,1000000,15000000,990145
FlexBufRust,Rust,true,IO,1000000,15000000,325463
DefaultJava,Java,false,Total,1000000,15000000,4310670
DefaultJava,Java,false,IO,1000000,15000000,389034
DefaultJava,Java,true,Total,1000000,15000000,4508622
DefaultJava,Java,true,IO,1000000,15000000,420146
Json+GzipJava,Java,false,Total,1000000,15000000,8900909
Json+GzipJava,Java,false,IO,1000000,15000000,99672
Json+GzipJava,Java,true,Total,1000000,15000000,8610251
Json+GzipJava,Java,true,IO,1000000,15000000,112224
BsonJava,Java,false,Total,1000000,15000000,2933617
BsonJava,Java,false,IO,1000000,15000000,403969
BsonJava,Java,true,Total,1000000,15000000,2872237
BsonJava,Java,true,IO,1000000,15000000,445680
ProtoBufJava,Java,false,Total,1000000,15000000,667988
ProtoBufJava,Java,false,IO,1000000,15000000,158075
ProtoBufJava,Java,true,Total,1000000,15000000,743042
ProtoBufJava,Java,true,IO,1000000,15000000,176817
KryoJava,Java,false,Total,1000000,15000000,889505
KryoJava,Java,false,IO,1000000,15000000,158335
KryoJava,Java,true,Total,1000000,15000000,1035295
KryoJava,Java,true,IO,1000000,15000000,175673
ByteBufferJava,Java,false,Total,1000000,15000000,989727
ByteBufferJava,Java,false,IO,1000000,15000000,193923
ByteBufferJava,Java,true,Total,1000000,15000000,969930
ByteBufferJava,Java,true,IO,1000000,15000000,214006
JsonJava,Java,false,Total,1000000,15000000,5617386
JsonJava,Java,false,IO,1000000,15000000,339174
JsonJava,Java,true,Total,1000000,15000000,5369701
JsonJava,Java,true,IO,1000000,15000000,372983
FlatBuffersJava,Java,false,Total,1000000,15000000,423527
FlatBuffersJava,Java,false,IO,1000000,15000000,244464
FlatBuffersJava,Java,true,Total,1000000,15000000,451966
FlatBuffersJava,Java,true,IO,1000000,15000000,271548
HandcodedCPP,CPP,false,IO,1000000,15000000,168215
HandcodedCPP,CPP,false,Total,1000000,15000000,500512
HandcodedCPP,CPP,true,Total,1000000,15000000,500217
HandcodedCPP,CPP,true,IO,1000000,15000000,168306
inPlaceCPP,CPP,false,IO,1000000,15000000,255442
inPlaceCPP,CPP,false,Total,1000000,15000000,580709
inPlaceCPP,CPP,true,Total,1000000,15000000,583894
inPlaceCPP,CPP,true,IO,1000000,15000000,255752
BoostCPP,CPP,false,IO,1000000,15000000,174351
BoostCPP,CPP,false,Total,1000000,15000000,1963391
BoostCPP,CPP,true,Total,1000000,15000000,1961949
BoostCPP,CPP,true,IO,1000000,15000000,174623
ProtoBufCPP,CPP,false,IO,1000000,15000000,147315
ProtoBufCPP,CPP,false,Total,1000000,15000000,679433
ProtoBufCPP,CPP,true,Total,1000000,15000000,679439
ProtoBufCPP,CPP,true,IO,1000000,15000000,148381
BsonCPP,CPP,false,IO,1000000,15000000,352988
BsonCPP,CPP,false,Total,1000000,15000000,15179517
BsonCPP,CPP,true,Total,1000000,15000000,14577796
BsonCPP,CPP,true,IO,1000000,15000000,353149
FlatBufCPP,CPP,false,IO,1000000,15000000,226296
FlatBufCPP,CPP,false,Total,1000000,15000000,657890
FlatBufCPP,CPP,true,Total,1000000,15000000,661680
FlatBufCPP,CPP,true,IO,1000000,15000000,226465
JsonRust,Rust,false,IO,1000000,15000000,360911
JsonRust,Rust,false,Total,1000000,15000000,694822
JsonRust,Rust,true,Total,1000000,15000000,694846
JsonRust,Rust,true,IO,1000000,15000000,358575
BincodeRust,Rust,false,IO,1000000,15000000,195092
BincodeRust,Rust,false,Total,1000000,15000000,294012
BincodeRust,Rust,true,Total,1000000,15000000,293268
BincodeRust,Rust,true,IO,1000000,15000000,194977
MessagePackRust,Rust,false,IO,1000000,15000000,148110
MessagePackRust,Rust,false,Total,1000000,15000000,329472
MessagePackRust,Rust,true,Total,1000000,15000000,329607
MessagePackRust,Rust,true,IO,1000000,15000000,147185
BsonRust,Rust,false,IO,1000000,15000000,345356
BsonRust,Rust,false,Total,1000000,15000000,2290512
BsonRust,Rust,true,Total,1000000,15000000,2297775
BsonRust,Rust,true,IO,1000000,15000000,344023
FlexBufRust,Rust,false,IO,1000000,15000000,324669
FlexBufRust,Rust,false,Total,1000000,15000000,988213
FlexBufRust,Rust,true,Total,1000000,15000000,990323
FlexBufRust,Rust,true,IO,1000000,15000000,327371
DefaultJava,Java,false,Total,1000000,15000000,4326244
DefaultJava,Java,false,IO,1000000,15000000,385921
DefaultJava,Java,true,Total,1000000,15000000,4360589
DefaultJava,Java,true,IO,1000000,15000000,418552
Json+GzipJava,Java,false,Total,1000000,15000000,8784973
Json+GzipJava,Java,false,IO,1000000,15000000,99700
Json+GzipJava,Java,true,Total,1000000,15000000,8309735
Json+GzipJava,Java,true,IO,1000000,15000000,112669
BsonJava,Java,false,Total,1000000,15000000,2959549
BsonJava,Java,false,IO,1000000,15000000,404820
BsonJava,Java,true,Total,1000000,15000000,2827626
BsonJava,Java,true,IO,1000000,15000000,445983
ProtoBufJava,Java,false,Total,1000000,15000000,657280
ProtoBufJava,Java,false,IO,1000000,15000000,158273
ProtoBufJava,Java,true,Total,1000000,15000000,923903
ProtoBufJava,Java,true,IO,1000000,15000000,176492
KryoJava,Java,false,Total,1000000,15000000,883891
KryoJava,Java,false,IO,1000000,15000000,158302
KryoJava,Java,true,Total,1000000,15000000,964430
KryoJava,Java,true,IO,1000000,15000000,175705
