baseline,language,taskset,execution,chunk_size,nrow,time
BoostBinaryCPP,CPP,false,IO,1000000,15000000,201442
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1374743
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1368056
BoostBinaryCPP,CPP,true,IO,1000000,15000000,201398
DefaultJava,Java,false,Total,1000000,15000000,4404551
DefaultJava,Java,false,IO,1000000,15000000,391339
DefaultJava,Java,true,Total,1000000,15000000,4242485
DefaultJava,Java,true,IO,1000000,15000000,420881
Json+GzipJava,Java,false,Total,1000000,15000000,9150940
Json+GzipJava,Java,false,IO,1000000,15000000,100532
Json+GzipJava,Java,true,Total,1000000,15000000,8706662
Json+GzipJava,Java,true,IO,1000000,15000000,113763
BsonJava,Java,false,Total,1000000,15000000,2946017
BsonJava,Java,false,IO,1000000,15000000,422289
BsonJava,Java,true,Total,1000000,15000000,3072410
BsonJava,Java,true,IO,1000000,15000000,454503
ProtoBufJava,Java,false,Total,1000000,15000000,699598
ProtoBufJava,Java,false,IO,1000000,15000000,160713
ProtoBufJava,Java,true,Total,1000000,15000000,996517
ProtoBufJava,Java,true,IO,1000000,15000000,191220
KryoJava,Java,false,Total,1000000,15000000,946110
KryoJava,Java,false,IO,1000000,15000000,166505
KryoJava,Java,true,Total,1000000,15000000,1067452
KryoJava,Java,true,IO,1000000,15000000,185631
ByteBufferJava,Java,false,Total,1000000,15000000,1002169
ByteBufferJava,Java,false,IO,1000000,15000000,191945
ByteBufferJava,Java,true,Total,1000000,15000000,975601
ByteBufferJava,Java,true,IO,1000000,15000000,212249
JsonJava,Java,false,Total,1000000,15000000,5802564
JsonJava,Java,false,IO,1000000,15000000,340081
JsonJava,Java,true,Total,1000000,15000000,5184623
JsonJava,Java,true,IO,1000000,15000000,373436
FlatBuffersJava,Java,false,Total,1000000,15000000,422889
FlatBuffersJava,Java,false,IO,1000000,15000000,245330
FlatBuffersJava,Java,true,Total,1000000,15000000,452058
FlatBuffersJava,Java,true,IO,1000000,15000000,270996
BoostBinaryCPP,CPP,false,IO,1000000,15000000,202395
BoostBinaryCPP,CPP,false,Total,1000000,15000000,1305263
BoostBinaryCPP,CPP,true,Total,1000000,15000000,1309692
BoostBinaryCPP,CPP,true,IO,1000000,15000000,202467
DefaultJava,Java,false,Total,1000000,15000000,4337323
DefaultJava,Java,false,IO,1000000,15000000,386495
DefaultJava,Java,true,Total,1000000,15000000,4340463
DefaultJava,Java,true,IO,1000000,15000000,419503
Json+GzipJava,Java,false,Total,1000000,15000000,8947821
Json+GzipJava,Java,false,IO,1000000,15000000,99776
Json+GzipJava,Java,true,Total,1000000,15000000,8633609
Json+GzipJava,Java,true,IO,1000000,15000000,112949
BsonJava,Java,false,Total,1000000,15000000,3027073
BsonJava,Java,false,IO,1000000,15000000,405177
BsonJava,Java,true,Total,1000000,15000000,2719140
BsonJava,Java,true,IO,1000000,15000000,447559
ProtoBufJava,Java,false,Total,1000000,15000000,657419
ProtoBufJava,Java,false,IO,1000000,15000000,158858
ProtoBufJava,Java,true,Total,1000000,15000000,978854
ProtoBufJava,Java,true,IO,1000000,15000000,179843
KryoJava,Java,false,Total,1000000,15000000,915194
KryoJava,Java,false,IO,1000000,15000000,159889
KryoJava,Java,true,Total,1000000,15000000,990803
KryoJava,Java,true,IO,1000000,15000000,178438
ByteBufferJava,Java,false,Total,1000000,15000000,988003
