baseline,language,execution,plan,machineip,time
DefaultJava,Java,Total,d2d,10.142.0.2 ,2153641
DefaultJava,Java,IO,d2d,10.142.0.2 ,546097
Json+GzipJava,Java,Total,d2d,10.142.0.2 ,3808941
Json+GzipJava,Java,IO,d2d,10.142.0.2 ,145162
BsonJava,Java,Total,d2d,10.142.0.2 ,1773173
BsonJava,Java,IO,d2d,10.142.0.2 ,594339
ProtoBufJava,Java,Total,d2d,10.142.0.2 ,446262
ProtoBufJava,Java,IO,d2d,10.142.0.2 ,235718
KryoJava,Java,Total,d2d,10.142.0.2 ,497029
KryoJava,Java,IO,d2d,10.142.0.2 ,246797
ByteBufferJava,Java,Total,d2d,10.142.0.2 ,761933
ByteBufferJava,Java,IO,d2d,10.142.0.2 ,281594
JsonJava,Java,Total,d2d,10.142.0.2 ,2783639
JsonJava,Java,IO,d2d,10.142.0.2 ,497528
FlatBuffersJava,Java,Total,d2d,10.142.0.2 ,439109
FlatBuffersJava,Java,IO,d2d,10.142.0.2 ,352801
DefaultJava,Java,Total,d2d,10.142.0.2 ,2143590
DefaultJava,Java,IO,d2d,10.142.0.2 ,557461
Json+GzipJava,Java,Total,d2d,10.142.0.2 ,3939438
Json+GzipJava,Java,IO,d2d,10.142.0.2 ,143637
BsonJava,Java,Total,d2d,10.142.0.2 ,1708283
BsonJava,Java,IO,d2d,10.142.0.2 ,574708
ProtoBufJava,Java,Total,d2d,10.142.0.2 ,427729
ProtoBufJava,Java,IO,d2d,10.142.0.2 ,234830
KryoJava,Java,Total,d2d,10.142.0.2 ,490523
KryoJava,Java,IO,d2d,10.142.0.2 ,232073
ByteBufferJava,Java,Total,d2d,10.142.0.2 ,781008
ByteBufferJava,Java,IO,d2d,10.142.0.2 ,289013
JsonJava,Java,Total,d2d,10.142.0.2 ,2619861
JsonJava,Java,IO,d2d,10.142.0.2 ,497163
FlatBuffersJava,Java,Total,d2d,10.142.0.2 ,450546
FlatBuffersJava,Java,IO,d2d,10.142.0.2 ,357222
DefaultJava,Java,Total,d2d,10.142.0.2 ,2169188
DefaultJava,Java,IO,d2d,10.142.0.2 ,562184
Json+GzipJava,Java,Total,d2d,10.142.0.2 ,3868853
Json+GzipJava,Java,IO,d2d,10.142.0.2 ,144784
BsonJava,Java,Total,d2d,10.142.0.2 ,1721419
BsonJava,Java,IO,d2d,10.142.0.2 ,595765
ProtoBufJava,Java,Total,d2d,10.142.0.2 ,423635
ProtoBufJava,Java,IO,d2d,10.142.0.2 ,232385
KryoJava,Java,Total,d2d,10.142.0.2 ,490169
KryoJava,Java,IO,d2d,10.142.0.2 ,231361
ByteBufferJava,Java,Total,d2d,10.142.0.2 ,771184
ByteBufferJava,Java,IO,d2d,10.142.0.2 ,282137
JsonJava,Java,Total,d2d,10.142.0.2 ,2580282
JsonJava,Java,IO,d2d,10.142.0.2 ,493741
FlatBuffersJava,Java,Total,d2d,10.142.0.2 ,442301
FlatBuffersJava,Java,IO,d2d,10.142.0.2 ,345936
DefaultJava,Java,Total,d2d,10.142.0.2 ,2143550
DefaultJava,Java,IO,d2d,10.142.0.2 ,569493
Json+GzipJava,Java,Total,d2d,10.142.0.2 ,3787043
Json+GzipJava,Java,IO,d2d,10.142.0.2 ,139615
BsonJava,Java,Total,d2d,10.142.0.2 ,1682370
BsonJava,Java,IO,d2d,10.142.0.2 ,593023
ProtoBufJava,Java,Total,d2d,10.142.0.2 ,426492
ProtoBufJava,Java,IO,d2d,10.142.0.2 ,236530
KryoJava,Java,Total,d2d,10.142.0.2 ,499179
KryoJava,Java,IO,d2d,10.142.0.2 ,232815
ByteBufferJava,Java,Total,d2d,10.142.0.2 ,719995
ByteBufferJava,Java,IO,d2d,10.142.0.2 ,286410
JsonJava,Java,Total,d2d,10.142.0.2 ,2784867
JsonJava,Java,IO,d2d,10.142.0.2 ,497842
FlatBuffersJava,Java,Total,d2d,10.142.0.2 ,443930
FlatBuffersJava,Java,IO,d2d,10.142.0.2 ,354226
DefaultJava,Java,Total,d2d,10.142.0.2 ,2123700
DefaultJava,Java,IO,d2d,10.142.0.2 ,568454
Json+GzipJava,Java,Total,d2d,10.142.0.2 ,3977255
Json+GzipJava,Java,IO,d2d,10.142.0.2 ,145234
BsonJava,Java,Total,d2d,10.142.0.2 ,1711132
BsonJava,Java,IO,d2d,10.142.0.2 ,603288
ProtoBufJava,Java,Total,d2d,10.142.0.2 ,442333
ProtoBufJava,Java,IO,d2d,10.142.0.2 ,239266
KryoJava,Java,Total,d2d,10.142.0.2 ,507717
KryoJava,Java,IO,d2d,10.142.0.2 ,250616
ByteBufferJava,Java,Total,d2d,10.142.0.2 ,760868
ByteBufferJava,Java,IO,d2d,10.142.0.2 ,291016
JsonJava,Java,Total,d2d,10.142.0.2 ,2610044
JsonJava,Java,IO,d2d,10.142.0.2 ,503274
FlatBuffersJava,Java,Total,d2d,10.142.0.2 ,452398
FlatBuffersJava,Java,IO,d2d,10.142.0.2 ,357009
