baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,Total,Single,Sequential,3500000,249603
DefaultJava,Java,true,Total,Single,Sequential,3500000,229543
Json+GzipJava,Java,false,Total,Single,Sequential,3500000,830414
Json+GzipJava,Java,true,Total,Single,Sequential,3500000,772006
BsonJava,Java,false,Total,Single,Sequential,3500000,277850
BsonJava,Java,true,Total,Single,Sequential,3500000,263557
ProtoBufJava,Java,false,Total,Single,Sequential,3500000,101379
ProtoBufJava,Java,true,Total,Single,Sequential,3500000,97430
KryoJava,Java,false,Total,Single,Sequential,3500000,112397
KryoJava,Java,true,Total,Single,Sequential,3500000,103679
ByteBufferJava,Java,false,Total,Single,Sequential,3500000,95332
ByteBufferJava,Java,true,Total,Single,Sequential,3500000,92061
JsonJava,Java,false,Total,Single,Sequential,3500000,503638
JsonJava,Java,true,Total,Single,Sequential,3500000,424234
FlatBuffersJava,Java,false,Total,Single,Sequential,3500000,141622
FlatBuffersJava,Java,true,Total,Single,Sequential,3500000,123479
HandcodedCPP,CPP,false,Total,Single,Sequential,3500000,29803
HandcodedCPP,CPP,true,Total,Single,Sequential,3500000,34911
inPlaceCPP,CPP,false,Total,Single,Sequential,3500000,35009
inPlaceCPP,CPP,true,Total,Single,Sequential,3500000,44104
BoostCPP,CPP,false,Total,Single,Sequential,3500000,110260
BoostCPP,CPP,true,Total,Single,Sequential,3500000,112410
ProtoBufCPP,CPP,false,Total,Single,Sequential,3500000,48466
ProtoBufCPP,CPP,true,Total,Single,Sequential,3500000,51276
BsonCPP,CPP,false,Total,Single,Sequential,3500000,588959
BsonCPP,CPP,true,Total,Single,Sequential,3500000,586981
FlatBufCPP,CPP,false,Total,Single,Sequential,3500000,79739
FlatBufCPP,CPP,true,Total,Single,Sequential,3500000,82655
DefaultJava,Java,false,Total,Single,Sequential,3500000,241977
DefaultJava,Java,true,Total,Single,Sequential,3500000,237098
Json+GzipJava,Java,false,Total,Single,Sequential,3500000,800620
