language,platform,taskset,nrow,time
Rust,Single,true,10000000,83676
Rust,Single,false,10000000,84472
Rust,Parallel,false,10000000,7769
Rust,Single,true,9000000,116133
Rust,Single,false,9000000,77325
Rust,Parallel,false,9000000,6651
Rust,Single,true,8000000,80290
Rust,Single,false,8000000,67451
Rust,Parallel,false,8000000,6290
Rust,Single,true,7000000,59158
Rust,Single,false,7000000,59404
Rust,Parallel,false,7000000,5852
Rust,Single,true,6000000,50693
Rust,Single,false,6000000,50696
Rust,Parallel,false,6000000,5396
Rust,Single,true,5000000,42625
Rust,Single,false,5000000,42449
Rust,Parallel,false,5000000,5005
Rust,Single,true,4000000,34484
Rust,Single,false,4000000,34775
Rust,Parallel,false,4000000,4592
Rust,Single,true,3000000,26375
Rust,Single,false,3000000,26261
Rust,Parallel,false,3000000,4150
Rust,Single,true,2000000,17983
Rust,Single,false,2000000,18076
Rust,Parallel,false,2000000,3730
Rust,Single,true,1000000,9834
Rust,Single,false,1000000,9820
Rust,Parallel,false,1000000,3271
Rust,Single,true,10000000,84324
Rust,Single,false,10000000,84448
Rust,Parallel,false,10000000,7052
Rust,Single,true,9000000,75406
Rust,Single,false,9000000,75298
Rust,Parallel,false,9000000,6732
Rust,Single,true,8000000,67356
Rust,Single,false,8000000,67211
Rust,Parallel,false,8000000,6226
Rust,Single,true,7000000,58934
Rust,Single,false,7000000,59526
Rust,Parallel,false,7000000,5778
Rust,Single,true,6000000,50667
Rust,Single,false,6000000,50039
Rust,Parallel,false,6000000,5416
Rust,Single,true,5000000,42774
Rust,Single,false,5000000,43586
Rust,Parallel,false,5000000,4956
Rust,Single,true,4000000,34331
Rust,Single,false,4000000,34452
Rust,Parallel,false,4000000,4559
Rust,Single,true,3000000,26137
Rust,Single,false,3000000,27325
Rust,Parallel,false,3000000,4063
Rust,Single,true,2000000,18029
Rust,Single,false,2000000,18016
Rust,Parallel,false,2000000,3738
Rust,Single,true,1000000,9815
Rust,Single,false,1000000,9797
Rust,Parallel,false,1000000,3283
Rust,Single,true,10000000,82705
Rust,Single,false,10000000,83957
Rust,Parallel,false,10000000,7094
Rust,Single,true,9000000,75164
Rust,Single,false,9000000,75298
Rust,Parallel,false,9000000,6732
Rust,Single,true,8000000,67079
Rust,Single,false,8000000,66395
Rust,Parallel,false,8000000,6247
Rust,Single,true,7000000,59015
Rust,Single,false,7000000,59382
Rust,Parallel,false,7000000,5865
Rust,Single,true,6000000,51041
Rust,Single,false,6000000,50726
Rust,Parallel,false,6000000,5408
Rust,Single,true,5000000,42661
Rust,Single,false,5000000,43806
Rust,Parallel,false,5000000,4962
Rust,Single,true,4000000,34453
Rust,Single,false,4000000,34441
Rust,Parallel,false,4000000,4481
Rust,Single,true,3000000,26229
Rust,Single,false,3000000,27230
Rust,Parallel,false,3000000,4101
Rust,Single,true,2000000,18068
Rust,Single,false,2000000,18010
Rust,Parallel,false,2000000,3673
Rust,Single,true,1000000,9807
Rust,Single,false,1000000,9793
Rust,Parallel,false,1000000,3253
Rust,Single,true,10000000,83729
Rust,Single,false,10000000,85015
Rust,Parallel,false,10000000,7136
Rust,Single,true,9000000,79627
Rust,Single,false,9000000,75085
Rust,Parallel,false,9000000,6668
Rust,Single,true,8000000,67375
Rust,Single,false,8000000,66654
Rust,Parallel,false,8000000,6298
Rust,Single,true,7000000,59145
Rust,Single,false,7000000,59857
Rust,Parallel,false,7000000,5859
Rust,Single,true,6000000,50733
Rust,Single,false,6000000,50889
Rust,Parallel,false,6000000,5390
Rust,Single,true,5000000,42921
Rust,Single,false,5000000,44430
Rust,Parallel,false,5000000,4937
Rust,Single,true,4000000,34497
Rust,Single,false,4000000,34343
Rust,Parallel,false,4000000,4563
Rust,Single,true,3000000,26294
Rust,Single,false,3000000,26206
Rust,Parallel,false,3000000,4128
Rust,Single,true,2000000,18224
Rust,Single,false,2000000,18057
Rust,Parallel,false,2000000,3757
Rust,Single,true,1000000,9770
Rust,Single,false,1000000,9794
Rust,Parallel,false,1000000,3256
Rust,Single,true,10000000,83621
Rust,Single,false,10000000,83486
Rust,Parallel,false,10000000,7107
Rust,Single,true,9000000,75432
Rust,Single,false,9000000,75722
Rust,Parallel,false,9000000,6771
Rust,Single,true,8000000,67156
Rust,Single,false,8000000,66932
Rust,Parallel,false,8000000,6348
Rust,Single,true,7000000,59449
Rust,Single,false,7000000,60071
Rust,Parallel,false,7000000,5861
Rust,Single,true,6000000,51101
Rust,Single,false,6000000,51689
Rust,Parallel,false,6000000,5446
Rust,Single,true,5000000,42604
Rust,Single,false,5000000,42570
Rust,Parallel,false,5000000,4936
Rust,Single,true,4000000,34564
Rust,Single,false,4000000,35284
Rust,Parallel,false,4000000,4547
Rust,Single,true,3000000,26159
Rust,Single,false,3000000,26327
Rust,Parallel,false,3000000,4167
Rust,Single,true,2000000,17988
Rust,Single,false,2000000,17251
Rust,Parallel,false,2000000,3826
Rust,Single,true,1000000,9831
Rust,Single,false,1000000,9853
Rust,Parallel,false,1000000,3314
Rust,Single,true,10000000,83657
Rust,Single,false,10000000,83393
Rust,Parallel,false,10000000,8080
Rust,Single,true,9000000,109834
Rust,Single,false,9000000,75846
Rust,Parallel,false,9000000,6691
Rust,Single,true,8000000,82086
Rust,Single,false,8000000,68969
Rust,Parallel,false,8000000,6236
Rust,Single,true,7000000,59777
Rust,Single,false,7000000,59316
Rust,Parallel,false,7000000,5902
Rust,Single,true,6000000,51306
Rust,Single,false,6000000,51363
Rust,Parallel,false,6000000,5460
Rust,Single,true,5000000,43328
Rust,Single,false,5000000,43114
Rust,Parallel,false,5000000,4941
Rust,Single,true,4000000,34873
Rust,Single,false,4000000,35776
Rust,Parallel,false,4000000,4691
Rust,Single,true,3000000,26489
Rust,Single,false,3000000,26503
Rust,Parallel,false,3000000,4123
Rust,Single,true,2000000,18243
Rust,Single,false,2000000,18203
Rust,Parallel,false,2000000,3678
Rust,Single,true,1000000,10053
Rust,Single,false,1000000,9944
Rust,Parallel,false,1000000,3309
Rust,Single,true,10000000,85108
Rust,Single,false,10000000,84181
Rust,Parallel,false,10000000,7122
Rust,Single,true,9000000,76723
Rust,Single,false,9000000,76692
Rust,Parallel,false,9000000,6617
Rust,Single,true,8000000,68058
Rust,Single,false,8000000,67954
Rust,Parallel,false,8000000,6320
Rust,Single,true,7000000,59847
Rust,Single,false,7000000,59923
Rust,Parallel,false,7000000,5876
Rust,Single,true,6000000,51279
Rust,Single,false,6000000,51603
Rust,Parallel,false,6000000,5453
Rust,Single,true,5000000,43209
Rust,Single,false,5000000,43424
Rust,Parallel,false,5000000,4961
Rust,Single,true,4000000,34722
Rust,Single,false,4000000,34853
Rust,Parallel,false,4000000,4593
Rust,Single,true,3000000,26472
Rust,Single,false,3000000,26592
Rust,Parallel,false,3000000,4151
Rust,Single,true,2000000,18291
Rust,Single,false,2000000,18307
Rust,Parallel,false,2000000,3690
Rust,Single,true,1000000,9891
Rust,Single,false,1000000,9879
Rust,Parallel,false,1000000,3258
Rust,Single,true,10000000,84289
Rust,Single,false,10000000,84711
Rust,Parallel,false,10000000,7161
Rust,Single,true,9000000,76486
Rust,Single,false,9000000,76867
Rust,Parallel,false,9000000,6661
Rust,Single,true,8000000,68203
Rust,Single,false,8000000,68187
Rust,Parallel,false,8000000,6277
Rust,Single,true,7000000,59788
Rust,Single,false,7000000,60062
Rust,Parallel,false,7000000,5826
Rust,Single,true,6000000,51986
Rust,Single,false,6000000,51439
Rust,Parallel,false,6000000,5456
Rust,Single,true,5000000,43340
Rust,Single,false,5000000,43219
Rust,Parallel,false,5000000,4993
Rust,Single,true,4000000,34842
Rust,Single,false,4000000,34923
Rust,Parallel,false,4000000,4573
Rust,Single,true,3000000,26629
Rust,Single,false,3000000,26434
Rust,Parallel,false,3000000,4092
Rust,Single,true,2000000,18253
Rust,Single,false,2000000,19259
Rust,Parallel,false,2000000,3676
Rust,Single,true,1000000,9903
Rust,Single,false,1000000,9007
Rust,Parallel,false,1000000,3313
Rust,Single,true,10000000,84383
Rust,Single,false,10000000,84052
Rust,Parallel,false,10000000,7297
Rust,Single,true,9000000,80687
Rust,Single,false,9000000,76563
Rust,Parallel,false,9000000,6683
Rust,Single,true,8000000,67088
Rust,Single,false,8000000,68059
Rust,Parallel,false,8000000,6203
Rust,Single,true,7000000,59886
Rust,Single,false,7000000,61158
Rust,Parallel,false,7000000,5829
Rust,Single,true,6000000,51337
Rust,Single,false,6000000,51318
Rust,Parallel,false,6000000,5397
Rust,Single,true,5000000,43588
Rust,Single,false,5000000,42993
Rust,Parallel,false,5000000,4976
Rust,Single,true,4000000,34803
Rust,Single,false,4000000,34918
Rust,Parallel,false,4000000,4568
Rust,Single,true,3000000,26421
Rust,Single,false,3000000,26796
Rust,Parallel,false,3000000,4140
Rust,Single,true,2000000,18272
Rust,Single,false,2000000,19218
Rust,Parallel,false,2000000,3646
Rust,Single,true,1000000,9891
Rust,Single,false,1000000,9019
Rust,Parallel,false,1000000,3303
Rust,Single,true,10000000,84401
Rust,Single,false,10000000,85177
Rust,Parallel,false,10000000,7200
Rust,Single,true,9000000,125604
Rust,Single,false,9000000,76565
Rust,Parallel,false,9000000,6693
Rust,Single,true,8000000,67528
Rust,Single,false,8000000,67574
Rust,Parallel,false,8000000,6247
Rust,Single,true,7000000,59801
Rust,Single,false,7000000,59126
Rust,Parallel,false,7000000,5828
Rust,Single,true,6000000,51374
Rust,Single,false,6000000,51108
Rust,Parallel,false,6000000,5369
