baseline,language,taskset,execution,platform,seq_rand,nrow,time
JsonRust,Rust,false,IO,Single,Sequential,10000000,14071
JsonRust,Rust,true,IO,Single,Sequential,10000000,9662
JsonRust,Rust,false,IO,Parallel,Sequential,10000000,3037
JsonRust,Rust,false,IO,Single,Random,10000000,1464051
JsonRust,Rust,true,IO,Single,Random,10000000,1354989
JsonRust,Rust,false,IO,Parallel,Random,10000000,133692
JsonRust,Rust,false,Total,Single,Sequential,10000000,266065
JsonRust,Rust,true,Total,Single,Sequential,10000000,260722
JsonRust,Rust,false,Total,Parallel,Sequential,10000000,39678
JsonRust,Rust,false,Total,Single,Random,10000000,1808345
JsonRust,Rust,true,Total,Single,Random,10000000,1802292
JsonRust,Rust,false,Total,Parallel,Random,10000000,262775
JsonRust,Rust,false,IO,Single,Sequential,9000000,6346
JsonRust,Rust,true,IO,Single,Sequential,9000000,7078
JsonRust,Rust,false,IO,Parallel,Sequential,9000000,2866
JsonRust,Rust,false,IO,Single,Random,9000000,1326231
JsonRust,Rust,true,IO,Single,Random,9000000,1280702
JsonRust,Rust,false,IO,Parallel,Random,9000000,114745
JsonRust,Rust,false,Total,Single,Sequential,9000000,235847
JsonRust,Rust,true,Total,Single,Sequential,9000000,248461
JsonRust,Rust,false,Total,Parallel,Sequential,9000000,38736
JsonRust,Rust,false,Total,Single,Random,9000000,1682896
JsonRust,Rust,true,Total,Single,Random,9000000,1652957
JsonRust,Rust,false,Total,Parallel,Random,9000000,257104
JsonRust,Rust,false,IO,Single,Sequential,8000000,6457
JsonRust,Rust,true,IO,Single,Sequential,8000000,6655
JsonRust,Rust,false,IO,Parallel,Sequential,8000000,2884
JsonRust,Rust,false,IO,Single,Random,8000000,1240083
JsonRust,Rust,true,IO,Single,Random,8000000,1232027
JsonRust,Rust,false,IO,Parallel,Random,8000000,106173
JsonRust,Rust,false,Total,Single,Sequential,8000000,211225
JsonRust,Rust,true,Total,Single,Sequential,8000000,210113
JsonRust,Rust,false,Total,Parallel,Sequential,8000000,48474
JsonRust,Rust,false,Total,Single,Random,8000000,1469541
JsonRust,Rust,true,Total,Single,Random,8000000,1433998
JsonRust,Rust,false,Total,Parallel,Random,8000000,223888
JsonRust,Rust,false,IO,Single,Sequential,7000000,5382
JsonRust,Rust,true,IO,Single,Sequential,7000000,5981
JsonRust,Rust,false,IO,Parallel,Sequential,7000000,2952
JsonRust,Rust,false,IO,Single,Random,7000000,1078603
JsonRust,Rust,true,IO,Single,Random,7000000,1084382
JsonRust,Rust,false,IO,Parallel,Random,7000000,90465
JsonRust,Rust,false,Total,Single,Sequential,7000000,185297
JsonRust,Rust,true,Total,Single,Sequential,7000000,183377
JsonRust,Rust,false,Total,Parallel,Sequential,7000000,28827
JsonRust,Rust,false,Total,Single,Random,7000000,1286886
JsonRust,Rust,true,Total,Single,Random,7000000,1281584
JsonRust,Rust,false,Total,Parallel,Random,7000000,196482
JsonRust,Rust,false,IO,Single,Sequential,6000000,4617
JsonRust,Rust,true,IO,Single,Sequential,6000000,5358
JsonRust,Rust,false,IO,Parallel,Sequential,6000000,2815
