baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,false,IO,Single,Sequential,10000000,27279
DefaultJava,Java,true,IO,Single,Sequential,10000000,32089
DefaultJava,Java,false,IO,Parallel,Sequential,10000000,18140
DefaultJava,Java,false,IO,Single,Random,10000000,1162926
DefaultJava,Java,true,IO,Single,Random,10000000,1150068
DefaultJava,Java,false,IO,Parallel,Random,10000000,151367
DefaultJava,Java,false,Total,Single,Sequential,10000000,852326
DefaultJava,Java,true,Total,Single,Sequential,10000000,1053088
DefaultJava,Java,false,Total,Parallel,Sequential,10000000,100324
DefaultJava,Java,false,Total,Single,Random,10000000,2754348
DefaultJava,Java,true,Total,Single,Random,10000000,2655776
DefaultJava,Java,false,Total,Parallel,Random,10000000,714836
DefaultJava,Java,false,IO,Single,Sequential,9000000,52011
DefaultJava,Java,true,IO,Single,Sequential,9000000,14668
DefaultJava,Java,false,IO,Parallel,Sequential,9000000,18084
DefaultJava,Java,false,IO,Single,Random,9000000,1258143
DefaultJava,Java,true,IO,Single,Random,9000000,1202923
DefaultJava,Java,false,IO,Parallel,Random,9000000,148052
DefaultJava,Java,false,Total,Single,Sequential,9000000,764815
DefaultJava,Java,true,Total,Single,Sequential,9000000,995131
DefaultJava,Java,false,Total,Parallel,Sequential,9000000,94111
DefaultJava,Java,false,Total,Single,Random,9000000,2214688
DefaultJava,Java,true,Total,Single,Random,9000000,2347608
DefaultJava,Java,false,Total,Parallel,Random,9000000,294984
DefaultJava,Java,false,IO,Single,Sequential,8000000,27280
DefaultJava,Java,true,IO,Single,Sequential,8000000,13245
DefaultJava,Java,false,IO,Parallel,Sequential,8000000,17856
DefaultJava,Java,false,IO,Single,Random,8000000,1061535
DefaultJava,Java,true,IO,Single,Random,8000000,1039391
DefaultJava,Java,false,IO,Parallel,Random,8000000,130095
DefaultJava,Java,false,Total,Single,Sequential,8000000,693387
DefaultJava,Java,true,Total,Single,Sequential,8000000,876934
DefaultJava,Java,false,Total,Parallel,Sequential,8000000,89617
DefaultJava,Java,false,Total,Single,Random,8000000,1975615
DefaultJava,Java,true,Total,Single,Random,8000000,2043761
DefaultJava,Java,false,Total,Parallel,Random,8000000,215146
DefaultJava,Java,false,IO,Single,Sequential,7000000,12370
DefaultJava,Java,true,IO,Single,Sequential,7000000,11956
DefaultJava,Java,false,IO,Parallel,Sequential,7000000,17726
DefaultJava,Java,false,IO,Single,Random,7000000,898744
DefaultJava,Java,true,IO,Single,Random,7000000,893079
DefaultJava,Java,false,IO,Parallel,Random,7000000,113642
DefaultJava,Java,false,Total,Single,Sequential,7000000,590607
DefaultJava,Java,true,Total,Single,Sequential,7000000,723110
DefaultJava,Java,false,Total,Parallel,Sequential,7000000,85658
DefaultJava,Java,false,Total,Single,Random,7000000,1691065
DefaultJava,Java,true,Total,Single,Random,7000000,1828602
DefaultJava,Java,false,Total,Parallel,Random,7000000,192556
DefaultJava,Java,false,IO,Single,Sequential,6000000,20772
DefaultJava,Java,true,IO,Single,Sequential,6000000,10902
DefaultJava,Java,false,IO,Parallel,Sequential,6000000,18411
DefaultJava,Java,false,IO,Single,Random,6000000,786267
