language,platform,taskset,nrow,time
Java,Single,true,10000000,103744
Java,Single,false,10000000,107823
Java,Parallel,false,10000000,26842
Java,Single,true,9000000,119315
Java,Single,false,9000000,92981
Java,Parallel,false,9000000,25067
Java,Single,true,8000000,107890
Java,Single,false,8000000,87440
Java,Parallel,false,8000000,26683
Java,Single,true,7000000,94141
Java,Single,false,7000000,77347
Java,Parallel,false,7000000,23022
Java,Single,true,6000000,80560
Java,Single,false,6000000,62076
Java,Parallel,false,6000000,23679
Java,Single,true,5000000,52986
Java,Single,false,5000000,55187
Java,Parallel,false,5000000,22457
Java,Single,true,4000000,42285
Java,Single,false,4000000,46634
Java,Parallel,false,4000000,20798
Java,Single,true,3000000,34557
Java,Single,false,3000000,36180
Java,Parallel,false,3000000,20372
Java,Single,true,2000000,24260
Java,Single,false,2000000,25399
Java,Parallel,false,2000000,19452
Java,Single,true,1000000,15115
Java,Single,false,1000000,15458
Java,Parallel,false,1000000,18640
Java,Single,true,10000000,97947
Java,Single,false,10000000,107013
Java,Parallel,false,10000000,26771
Java,Single,true,9000000,120935
Java,Single,false,9000000,97317
Java,Parallel,false,9000000,25119
Java,Single,true,8000000,84163
Java,Single,false,8000000,86014
Java,Parallel,false,8000000,23922
Java,Single,true,7000000,70553
Java,Single,false,7000000,75681
Java,Parallel,false,7000000,23158
Java,Single,true,6000000,61786
Java,Single,false,6000000,66025
Java,Parallel,false,6000000,21789
Java,Single,true,5000000,53221
Java,Single,false,5000000,55497
Java,Parallel,false,5000000,21968
Java,Single,true,4000000,42584
Java,Single,false,4000000,45270
Java,Parallel,false,4000000,20594
Java,Single,true,3000000,33609
Java,Single,false,3000000,35709
Java,Parallel,false,3000000,19758
Java,Single,true,2000000,24314
Java,Single,false,2000000,25665
Java,Parallel,false,2000000,19142
Java,Single,true,1000000,14687
Java,Single,false,1000000,15718
Java,Parallel,false,1000000,17666
Java,Single,true,10000000,103665
Java,Single,false,10000000,106410
Java,Parallel,false,10000000,27022
Java,Single,true,9000000,117272
Java,Single,false,9000000,100966
Java,Parallel,false,9000000,26323
Java,Single,true,8000000,109913
Java,Single,false,8000000,87746
Java,Parallel,false,8000000,25246
Java,Single,true,7000000,94582
Java,Single,false,7000000,75326
Java,Parallel,false,7000000,24567
Java,Single,true,6000000,75643
Java,Single,false,6000000,66311
Java,Parallel,false,6000000,23150
Java,Single,true,5000000,53168
Java,Single,false,5000000,56944
Java,Parallel,false,5000000,22805
Java,Single,true,4000000,43147
Java,Single,false,4000000,45164
Java,Parallel,false,4000000,22123
Java,Single,true,3000000,33581
Java,Single,false,3000000,34915
Java,Parallel,false,3000000,21215
Java,Single,true,2000000,24183
Java,Single,false,2000000,25742
Java,Parallel,false,2000000,18826
Java,Single,true,1000000,15064
Java,Single,false,1000000,16263
Java,Parallel,false,1000000,18113
Java,Single,true,10000000,98246
Java,Single,false,10000000,106846
Java,Parallel,false,10000000,26646
Java,Single,true,9000000,94474
Java,Single,false,9000000,97378
Java,Parallel,false,9000000,25935
Java,Single,true,8000000,82392
Java,Single,false,8000000,80891
Java,Parallel,false,8000000,24998
Java,Single,true,7000000,73738
Java,Single,false,7000000,76072
Java,Parallel,false,7000000,24801
Java,Single,true,6000000,62028
Java,Single,false,6000000,65966
Java,Parallel,false,6000000,24520
Java,Single,true,5000000,52432
Java,Single,false,5000000,56453
Java,Parallel,false,5000000,21950
Java,Single,true,4000000,43540
Java,Single,false,4000000,45725
Java,Parallel,false,4000000,20915
Java,Single,true,3000000,34440
Java,Single,false,3000000,35905
Java,Parallel,false,3000000,19959
Java,Single,true,2000000,24849
Java,Single,false,2000000,25654
Java,Parallel,false,2000000,18561
Java,Single,true,1000000,14850
Java,Single,false,1000000,15779
Java,Parallel,false,1000000,18638
Java,Single,true,10000000,99594
Java,Single,false,10000000,106367
Java,Parallel,false,10000000,26663
Java,Single,true,9000000,117511
Java,Single,false,9000000,94830
Java,Parallel,false,9000000,26470
Java,Single,true,8000000,81243
Java,Single,false,8000000,85936
Java,Parallel,false,8000000,24696
Java,Single,true,7000000,72138
Java,Single,false,7000000,77800
Java,Parallel,false,7000000,22800
Java,Single,true,6000000,60862
Java,Single,false,6000000,65873
Java,Parallel,false,6000000,22930
Java,Single,true,5000000,53279
Java,Single,false,5000000,55262
Java,Parallel,false,5000000,21434
Java,Single,true,4000000,43408
Java,Single,false,4000000,45511
Java,Parallel,false,4000000,20682
Java,Single,true,3000000,34279
Java,Single,false,3000000,34819
Java,Parallel,false,3000000,20179
Java,Single,true,2000000,24314
Java,Single,false,2000000,25683
Java,Parallel,false,2000000,19019
Java,Single,true,1000000,14549
Java,Single,false,1000000,15361
Java,Parallel,false,1000000,17724
Java,Single,true,10000000,102844
Java,Single,false,10000000,105390
Java,Parallel,false,10000000,28596
Java,Single,true,9000000,119462
Java,Single,false,9000000,96623
Java,Parallel,false,9000000,26171
Java,Single,true,8000000,110235
Java,Single,false,8000000,87561
Java,Parallel,false,8000000,24340
Java,Single,true,7000000,70286
Java,Single,false,7000000,75008
Java,Parallel,false,7000000,22908
Java,Single,true,6000000,60914
Java,Single,false,6000000,65615
Java,Parallel,false,6000000,22168
Java,Single,true,5000000,52705
Java,Single,false,5000000,54628
Java,Parallel,false,5000000,23491
Java,Single,true,4000000,43380
Java,Single,false,4000000,44934
Java,Parallel,false,4000000,20179
Java,Single,true,3000000,33316
Java,Single,false,3000000,34173
Java,Parallel,false,3000000,18768
Java,Single,true,2000000,24388
Java,Single,false,2000000,25303
Java,Parallel,false,2000000,19609
Java,Single,true,1000000,14978
Java,Single,false,1000000,15174
Java,Parallel,false,1000000,17873
Java,Single,true,10000000,99417
Java,Single,false,10000000,102049
Java,Parallel,false,10000000,27827
Java,Single,true,9000000,117078
Java,Single,false,9000000,95320
Java,Parallel,false,9000000,24990
Java,Single,true,8000000,105033
Java,Single,false,8000000,87357
Java,Parallel,false,8000000,26169
Java,Single,true,7000000,92879
Java,Single,false,7000000,75276
Java,Parallel,false,7000000,23008
Java,Single,true,6000000,62760
Java,Single,false,6000000,64870
Java,Parallel,false,6000000,23372
Java,Single,true,5000000,52121
Java,Single,false,5000000,55218
Java,Parallel,false,5000000,23530
Java,Single,true,4000000,44682
Java,Single,false,4000000,46449
Java,Parallel,false,4000000,21013
Java,Single,true,3000000,34287
Java,Single,false,3000000,35610
Java,Parallel,false,3000000,19837
Java,Single,true,2000000,24433
Java,Single,false,2000000,26132
Java,Parallel,false,2000000,18774
Java,Single,true,1000000,14480
Java,Single,false,1000000,15536
Java,Parallel,false,1000000,17667
Java,Single,true,10000000,103771
Java,Single,false,10000000,107610
Java,Parallel,false,10000000,26470
Java,Single,true,9000000,89899
Java,Single,false,9000000,96523
Java,Parallel,false,9000000,27552
Java,Single,true,8000000,82625
Java,Single,false,8000000,85653
Java,Parallel,false,8000000,25175
Java,Single,true,7000000,72167
Java,Single,false,7000000,75232
Java,Parallel,false,7000000,23132
Java,Single,true,6000000,61233
Java,Single,false,6000000,65770
Java,Parallel,false,6000000,23198
Java,Single,true,5000000,53130
Java,Single,false,5000000,56095
Java,Parallel,false,5000000,22600
Java,Single,true,4000000,43552
Java,Single,false,4000000,43393
Java,Parallel,false,4000000,21720
Java,Single,true,3000000,34545
Java,Single,false,3000000,36407
Java,Parallel,false,3000000,19410
Java,Single,true,2000000,23806
Java,Single,false,2000000,25414
Java,Parallel,false,2000000,18639
Java,Single,true,1000000,14974
Java,Single,false,1000000,15736
Java,Parallel,false,1000000,17847
