baseline,language,plan,machineip,time
JsonRust,Rust,Total,d2d,10.142.0.2 ,852514
JsonRust,Rust,IO,d2d,10.142.0.2 ,531871
BincodeRust,Rust,Total,d2d,10.142.0.2 ,427271
BincodeRust,Rust,IO,d2d,10.142.0.2 ,289253
MessagePackRust,Rust,Total,d2d,10.142.0.2 ,458926
MessagePackRust,Rust,IO,d2d,10.142.0.2 ,222860
BsonRust,Rust,Total,d2d,10.142.0.2 ,2131526
BsonRust,Rust,IO,d2d,10.142.0.2 ,510641
FlexBufRust,Rust,Total,d2d,10.142.0.2 ,1053086
FlexBufRust,Rust,IO,d2d,10.142.0.2 ,483327
JsonRust,Rust,Total,d2d,10.142.0.2 ,826080
JsonRust,Rust,IO,d2d,10.142.0.2 ,531812
BincodeRust,Rust,Total,d2d,10.142.0.2 ,428381
BincodeRust,Rust,IO,d2d,10.142.0.2 ,292565
MessagePackRust,Rust,Total,d2d,10.142.0.2 ,478293
MessagePackRust,Rust,IO,d2d,10.142.0.2 ,224026
BsonRust,Rust,Total,d2d,10.142.0.2 ,2134862
BsonRust,Rust,IO,d2d,10.142.0.2 ,511999
FlexBufRust,Rust,Total,d2d,10.142.0.2 ,1051323
FlexBufRust,Rust,IO,d2d,10.142.0.2 ,482453
JsonRust,Rust,Total,d2d,10.142.0.2 ,849078
JsonRust,Rust,IO,d2d,10.142.0.2 ,527098
BincodeRust,Rust,Total,d2d,10.142.0.2 ,430084
BincodeRust,Rust,IO,d2d,10.142.0.2 ,289074
MessagePackRust,Rust,Total,d2d,10.142.0.2 ,463087
MessagePackRust,Rust,IO,d2d,10.142.0.2 ,222699
BsonRust,Rust,Total,d2d,10.142.0.2 ,2136139
BsonRust,Rust,IO,d2d,10.142.0.2 ,499440
FlexBufRust,Rust,Total,d2d,10.142.0.2 ,1042862
FlexBufRust,Rust,IO,d2d,10.142.0.2 ,474730
JsonRust,Rust,Total,d2d,10.142.0.2 ,850434
JsonRust,Rust,IO,d2d,10.142.0.2 ,535589
BincodeRust,Rust,Total,d2d,10.142.0.2 ,428511
BincodeRust,Rust,IO,d2d,10.142.0.2 ,291133
MessagePackRust,Rust,Total,d2d,10.142.0.2 ,469144
MessagePackRust,Rust,IO,d2d,10.142.0.2 ,221208
BsonRust,Rust,Total,d2d,10.142.0.2 ,2137736
BsonRust,Rust,IO,d2d,10.142.0.2 ,501872
FlexBufRust,Rust,Total,d2d,10.142.0.2 ,1074142
FlexBufRust,Rust,IO,d2d,10.142.0.2 ,470043
JsonRust,Rust,Total,d2d,10.142.0.2 ,835052
JsonRust,Rust,IO,d2d,10.142.0.2 ,537245
BincodeRust,Rust,Total,d2d,10.142.0.2 ,431431
BincodeRust,Rust,IO,d2d,10.142.0.2 ,289467
MessagePackRust,Rust,Total,d2d,10.142.0.2 ,456675
MessagePackRust,Rust,IO,d2d,10.142.0.2 ,222641
BsonRust,Rust,Total,d2d,10.142.0.2 ,2142825
BsonRust,Rust,IO,d2d,10.142.0.2 ,531705
FlexBufRust,Rust,Total,d2d,10.142.0.2 ,1091515
FlexBufRust,Rust,IO,d2d,10.142.0.2 ,479816
