language,platform,taskset,nrow,time
Rust,Single,true,10000000,164767
Rust,Single,false,10000000,170357
Rust,Parallel,false,10000000,72382
Rust,Single,true,10000000,164422
Rust,Single,false,10000000,175680
Rust,Parallel,false,10000000,72679
Rust,Single,true,10000000,171225
Rust,Single,false,10000000,171265
Rust,Parallel,false,10000000,72315
Rust,Single,true,10000000,164100
Rust,Single,false,10000000,170211
Rust,Parallel,false,10000000,72581
Rust,Single,true,10000000,164309
Rust,Single,false,10000000,173557
Rust,Parallel,false,10000000,72352
Rust,Single,true,10000000,165636
Rust,Single,false,10000000,175153
Rust,Parallel,false,10000000,72675
Rust,Single,true,10000000,164460
Rust,Single,false,10000000,171323
Rust,Parallel,false,10000000,72776
Rust,Single,true,10000000,163240
Rust,Single,false,10000000,176352
Rust,Parallel,false,10000000,72429
Rust,Single,true,10000000,164793
Rust,Single,false,10000000,173485
Rust,Parallel,false,10000000,72308
Rust,Single,true,10000000,164207
Rust,Single,false,10000000,176649
Rust,Parallel,false,10000000,72347
Rust,Single,true,10000000,165033
Rust,Single,false,10000000,173595
Rust,Parallel,false,10000000,72623
Rust,Single,true,10000000,164382
Rust,Single,false,10000000,168461
Rust,Parallel,false,10000000,72579
Rust,Single,true,10000000,164402
Rust,Single,false,10000000,166510
Rust,Parallel,false,10000000,72654
Rust,Single,true,10000000,164807
Rust,Single,false,10000000,175770
Rust,Parallel,false,10000000,72175
Rust,Single,true,10000000,164594
Rust,Single,false,10000000,169041
Rust,Parallel,false,10000000,72591
Rust,Single,true,10000000,164099
Rust,Single,false,10000000,178148
Rust,Parallel,false,10000000,72749
Rust,Single,true,10000000,165488
Rust,Single,false,10000000,170800
Rust,Parallel,false,10000000,72309
Rust,Single,true,10000000,164738
Rust,Single,false,10000000,179738
Rust,Parallel,false,10000000,72819
Rust,Single,true,10000000,164731
Rust,Single,false,10000000,177075
Rust,Parallel,false,10000000,72184
Rust,Single,true,10000000,164720
Rust,Single,false,10000000,173135
Rust,Parallel,false,10000000,72334
Rust,Single,true,10000000,164274
Rust,Single,false,10000000,171668
Rust,Parallel,false,10000000,72288
Rust,Single,true,10000000,165409
Rust,Single,false,10000000,174896
Rust,Parallel,false,10000000,72642
Rust,Single,true,10000000,163816
Rust,Single,false,10000000,171131
Rust,Parallel,false,10000000,72412
Rust,Single,true,10000000,165923
Rust,Single,false,10000000,172720
Rust,Parallel,false,10000000,72475
Rust,Single,true,10000000,169529
Rust,Single,false,10000000,171957
Rust,Parallel,false,10000000,72370
