baseline,language,taskset,execution,platform,seq_rand,nrow,time
JsonRust,Rust,false,IO,Single,Sequential,10000000,144376
JsonRust,Rust,true,IO,Single,Sequential,10000000,143404
JsonRust,Rust,false,IO,Parallel,Sequential,10000000,129506
JsonRust,Rust,false,IO,Single,Random,10000000,714685
JsonRust,Rust,true,IO,Single,Random,10000000,719806
JsonRust,Rust,false,IO,Parallel,Random,10000000,152463
JsonRust,Rust,false,Total,Single,Sequential,10000000,477924
JsonRust,Rust,true,Total,Single,Sequential,10000000,447860
JsonRust,Rust,false,Total,Parallel,Sequential,10000000,161783
JsonRust,Rust,false,Total,Single,Random,10000000,2081923
JsonRust,Rust,true,Total,Single,Random,10000000,2096604
JsonRust,Rust,false,Total,Parallel,Random,10000000,840139
JsonRust,Rust,false,Total,Single,Sequential,8000000,369398
JsonRust,Rust,true,Total,Single,Sequential,8000000,359727
JsonRust,Rust,false,Total,Parallel,Sequential,8000000,143819
JsonRust,Rust,false,Total,Single,Random,8000000,1061804
JsonRust,Rust,true,Total,Single,Random,8000000,1072074
JsonRust,Rust,false,Total,Parallel,Random,8000000,308376
JsonRust,Rust,false,Total,Single,Sequential,6000000,297417
JsonRust,Rust,true,Total,Single,Sequential,6000000,268613
JsonRust,Rust,false,Total,Parallel,Sequential,6000000,99333
JsonRust,Rust,false,Total,Single,Random,6000000,734127
JsonRust,Rust,true,Total,Single,Random,6000000,730749
JsonRust,Rust,false,Total,Parallel,Random,6000000,175815
JsonRust,Rust,false,Total,Single,Sequential,4000000,195116
JsonRust,Rust,true,Total,Single,Sequential,4000000,176624
JsonRust,Rust,false,Total,Parallel,Sequential,4000000,68672
JsonRust,Rust,false,Total,Single,Random,4000000,585262
JsonRust,Rust,true,Total,Single,Random,4000000,581113
JsonRust,Rust,false,Total,Parallel,Random,4000000,159144
JsonRust,Rust,false,Total,Single,Sequential,2000000,94325
JsonRust,Rust,true,Total,Single,Sequential,2000000,90029
JsonRust,Rust,false,Total,Parallel,Sequential,2000000,36759
JsonRust,Rust,false,Total,Single,Random,2000000,433545
