baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,True,Total,Single,Sequential,10000000,1049.50
DefaultJava,Java,True,CPU,Single,Sequential,10000000,1020.53
DefaultJava,Java,True,IO,Single,Sequential,10000000,28.96
DefaultJava,Java,True,Total,Single,Sequential,9000000,999.14
DefaultJava,Java,True,CPU,Single,Sequential,9000000,984.57
DefaultJava,Java,True,IO,Single,Sequential,9000000,14.58
DefaultJava,Java,True,Total,Single,Sequential,8000000,868.85
DefaultJava,Java,True,CPU,Single,Sequential,8000000,855.61
DefaultJava,Java,True,IO,Single,Sequential,8000000,13.24
DefaultJava,Java,True,Total,Single,Sequential,7000000,739.44
DefaultJava,Java,True,CPU,Single,Sequential,7000000,727.51
DefaultJava,Java,True,IO,Single,Sequential,7000000,11.93
DefaultJava,Java,True,Total,Single,Sequential,6000000,623.60
DefaultJava,Java,True,CPU,Single,Sequential,6000000,612.69
DefaultJava,Java,True,IO,Single,Sequential,6000000,10.91
DefaultJava,Java,True,Total,Single,Sequential,5000000,521.15
DefaultJava,Java,True,CPU,Single,Sequential,5000000,511.37
DefaultJava,Java,True,IO,Single,Sequential,5000000,9.78
DefaultJava,Java,True,Total,Single,Sequential,4000000,424.47
DefaultJava,Java,True,CPU,Single,Sequential,4000000,416.04
DefaultJava,Java,True,IO,Single,Sequential,4000000,8.43
DefaultJava,Java,True,Total,Single,Sequential,3000000,312.44
DefaultJava,Java,True,CPU,Single,Sequential,3000000,304.99
DefaultJava,Java,True,IO,Single,Sequential,3000000,7.45
DefaultJava,Java,True,Total,Single,Sequential,2000000,213.81
DefaultJava,Java,True,CPU,Single,Sequential,2000000,207.49
DefaultJava,Java,True,IO,Single,Sequential,2000000,6.33
DefaultJava,Java,True,Total,Single,Sequential,1000000,107.27
DefaultJava,Java,True,CPU,Single,Sequential,1000000,102.79
DefaultJava,Java,True,IO,Single,Sequential,1000000,4.48
DefaultJava,Java,False,Total,Single,Sequential,10000000,869.80
DefaultJava,Java,False,CPU,Single,Sequential,10000000,842.49
DefaultJava,Java,False,IO,Single,Sequential,10000000,27.31
DefaultJava,Java,False,Total,Single,Sequential,9000000,769.43
DefaultJava,Java,False,CPU,Single,Sequential,9000000,717.73
DefaultJava,Java,False,IO,Single,Sequential,9000000,51.70
DefaultJava,Java,False,Total,Single,Sequential,8000000,691.48
DefaultJava,Java,False,CPU,Single,Sequential,8000000,662.74
DefaultJava,Java,False,IO,Single,Sequential,8000000,28.74
DefaultJava,Java,False,Total,Single,Sequential,7000000,590.16
DefaultJava,Java,False,CPU,Single,Sequential,7000000,577.69
DefaultJava,Java,False,IO,Single,Sequential,7000000,12.47
DefaultJava,Java,False,Total,Single,Sequential,6000000,503.29
DefaultJava,Java,False,CPU,Single,Sequential,6000000,488.37
DefaultJava,Java,False,IO,Single,Sequential,6000000,14.93
DefaultJava,Java,False,Total,Single,Sequential,5000000,427.99
DefaultJava,Java,False,CPU,Single,Sequential,5000000,417.76
DefaultJava,Java,False,IO,Single,Sequential,5000000,10.23
DefaultJava,Java,False,Total,Single,Sequential,4000000,338.50
DefaultJava,Java,False,CPU,Single,Sequential,4000000,329.41
DefaultJava,Java,False,IO,Single,Sequential,4000000,9.09
DefaultJava,Java,False,Total,Single,Sequential,3000000,255.62
DefaultJava,Java,False,CPU,Single,Sequential,3000000,247.71
DefaultJava,Java,False,IO,Single,Sequential,3000000,7.91
DefaultJava,Java,False,Total,Single,Sequential,2000000,174.43
DefaultJava,Java,False,CPU,Single,Sequential,2000000,167.94
DefaultJava,Java,False,IO,Single,Sequential,2000000,6.49
DefaultJava,Java,False,Total,Single,Sequential,1000000,90.48
DefaultJava,Java,False,CPU,Single,Sequential,1000000,86.22
DefaultJava,Java,False,IO,Single,Sequential,1000000,4.26
Json+GzipJava,Java,True,Total,Single,Sequential,10000000,1004.95
Json+GzipJava,Java,True,CPU,Single,Sequential,10000000,997.38
Json+GzipJava,Java,True,IO,Single,Sequential,10000000,7.57
Json+GzipJava,Java,True,Total,Single,Sequential,9000000,903.14
Json+GzipJava,Java,True,CPU,Single,Sequential,9000000,896.47
Json+GzipJava,Java,True,IO,Single,Sequential,9000000,6.67
Json+GzipJava,Java,True,Total,Single,Sequential,8000000,793.89
Json+GzipJava,Java,True,CPU,Single,Sequential,8000000,787.41
Json+GzipJava,Java,True,IO,Single,Sequential,8000000,6.48
Json+GzipJava,Java,True,Total,Single,Sequential,7000000,710.50
Json+GzipJava,Java,True,CPU,Single,Sequential,7000000,704.39
Json+GzipJava,Java,True,IO,Single,Sequential,7000000,6.11
Json+GzipJava,Java,True,Total,Single,Sequential,6000000,606.24
Json+GzipJava,Java,True,CPU,Single,Sequential,6000000,600.40
Json+GzipJava,Java,True,IO,Single,Sequential,6000000,5.84
Json+GzipJava,Java,True,Total,Single,Sequential,5000000,502.43
Json+GzipJava,Java,True,CPU,Single,Sequential,5000000,497.23
Json+GzipJava,Java,True,IO,Single,Sequential,5000000,5.21
Json+GzipJava,Java,True,Total,Single,Sequential,4000000,408.23
Json+GzipJava,Java,True,CPU,Single,Sequential,4000000,403.67
Json+GzipJava,Java,True,IO,Single,Sequential,4000000,4.56
Json+GzipJava,Java,True,Total,Single,Sequential,3000000,307.90
Json+GzipJava,Java,True,CPU,Single,Sequential,3000000,303.97
Json+GzipJava,Java,True,IO,Single,Sequential,3000000,3.93
Json+GzipJava,Java,True,Total,Single,Sequential,2000000,207.68
Json+GzipJava,Java,True,CPU,Single,Sequential,2000000,204.59
Json+GzipJava,Java,True,IO,Single,Sequential,2000000,3.09
Json+GzipJava,Java,True,Total,Single,Sequential,1000000,107.55
Json+GzipJava,Java,True,CPU,Single,Sequential,1000000,104.89
Json+GzipJava,Java,True,IO,Single,Sequential,1000000,2.66
Json+GzipJava,Java,False,Total,Single,Sequential,10000000,819.65
Json+GzipJava,Java,False,CPU,Single,Sequential,10000000,812.12
Json+GzipJava,Java,False,IO,Single,Sequential,10000000,7.53
Json+GzipJava,Java,False,Total,Single,Sequential,9000000,718.84
Json+GzipJava,Java,False,CPU,Single,Sequential,9000000,711.50
Json+GzipJava,Java,False,IO,Single,Sequential,9000000,7.34
Json+GzipJava,Java,False,Total,Single,Sequential,8000000,633.69
Json+GzipJava,Java,False,CPU,Single,Sequential,8000000,626.60
Json+GzipJava,Java,False,IO,Single,Sequential,8000000,7.09
Json+GzipJava,Java,False,Total,Single,Sequential,7000000,569.00
Json+GzipJava,Java,False,CPU,Single,Sequential,7000000,562.59
Json+GzipJava,Java,False,IO,Single,Sequential,7000000,6.41
Json+GzipJava,Java,False,Total,Single,Sequential,6000000,475.11
Json+GzipJava,Java,False,CPU,Single,Sequential,6000000,469.31
Json+GzipJava,Java,False,IO,Single,Sequential,6000000,5.80
Json+GzipJava,Java,False,Total,Single,Sequential,5000000,402.79
Json+GzipJava,Java,False,CPU,Single,Sequential,5000000,397.56
Json+GzipJava,Java,False,IO,Single,Sequential,5000000,5.23
Json+GzipJava,Java,False,Total,Single,Sequential,4000000,315.10
Json+GzipJava,Java,False,CPU,Single,Sequential,4000000,310.77
Json+GzipJava,Java,False,IO,Single,Sequential,4000000,4.33
Json+GzipJava,Java,False,Total,Single,Sequential,3000000,241.28
Json+GzipJava,Java,False,CPU,Single,Sequential,3000000,237.53
Json+GzipJava,Java,False,IO,Single,Sequential,3000000,3.75
Json+GzipJava,Java,False,Total,Single,Sequential,2000000,162.59
Json+GzipJava,Java,False,CPU,Single,Sequential,2000000,159.49
Json+GzipJava,Java,False,IO,Single,Sequential,2000000,3.10
Json+GzipJava,Java,False,Total,Single,Sequential,1000000,85.33
Json+GzipJava,Java,False,CPU,Single,Sequential,1000000,82.96
Json+GzipJava,Java,False,IO,Single,Sequential,1000000,2.37
BsonJava,Java,True,Total,Single,Sequential,10000000,544.70
BsonJava,Java,True,CPU,Single,Sequential,10000000,529.49
