baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,True,Total,Single,Sequential,10000000,10.60
DefaultJava,Java,True,CPU,Single,Sequential,10000000,8.66
DefaultJava,Java,True,IO,Single,Sequential,10000000,1.94
DefaultJava,Java,False,Total,Single,Sequential,10000000,10.56
DefaultJava,Java,False,CPU,Single,Sequential,10000000,8.12
DefaultJava,Java,False,IO,Single,Sequential,10000000,2.43
Json+GzipJava,Java,True,Total,Single,Sequential,10000000,39.03
Json+GzipJava,Java,True,CPU,Single,Sequential,10000000,38.72
Json+GzipJava,Java,True,IO,Single,Sequential,10000000,0.31
Json+GzipJava,Java,False,Total,Single,Sequential,10000000,40.32
Json+GzipJava,Java,False,CPU,Single,Sequential,10000000,39.59
Json+GzipJava,Java,False,IO,Single,Sequential,10000000,0.73
BsonJava,Java,True,Total,Single,Sequential,10000000,14.52
BsonJava,Java,True,CPU,Single,Sequential,10000000,12.80
BsonJava,Java,True,IO,Single,Sequential,10000000,1.72
BsonJava,Java,False,Total,Single,Sequential,10000000,11.83
BsonJava,Java,False,CPU,Single,Sequential,10000000,10.10
BsonJava,Java,False,IO,Single,Sequential,10000000,1.73
ProtoBufJava,Java,True,Total,Single,Sequential,10000000,4.22
ProtoBufJava,Java,True,CPU,Single,Sequential,10000000,3.03
ProtoBufJava,Java,True,IO,Single,Sequential,10000000,1.20
ProtoBufJava,Java,False,Total,Single,Sequential,10000000,3.62
ProtoBufJava,Java,False,CPU,Single,Sequential,10000000,2.50
ProtoBufJava,Java,False,IO,Single,Sequential,10000000,1.12
KryoJava,Java,True,Total,Single,Sequential,10000000,3.69
KryoJava,Java,True,CPU,Single,Sequential,10000000,2.60
KryoJava,Java,True,IO,Single,Sequential,10000000,1.09
KryoJava,Java,False,Total,Single,Sequential,10000000,3.76
KryoJava,Java,False,CPU,Single,Sequential,10000000,2.27
KryoJava,Java,False,IO,Single,Sequential,10000000,1.49
ByteBufferJava,Java,True,Total,Single,Sequential,10000000,3.06
ByteBufferJava,Java,True,CPU,Single,Sequential,10000000,1.82
ByteBufferJava,Java,True,IO,Single,Sequential,10000000,1.24
ByteBufferJava,Java,False,Total,Single,Sequential,10000000,3.19
ByteBufferJava,Java,False,CPU,Single,Sequential,10000000,1.63
ByteBufferJava,Java,False,IO,Single,Sequential,10000000,1.55
JsonJava,Java,True,Total,Single,Sequential,10000000,24.75
JsonJava,Java,True,CPU,Single,Sequential,10000000,22.73
JsonJava,Java,True,IO,Single,Sequential,10000000,2.02
JsonJava,Java,False,Total,Single,Sequential,10000000,24.66
JsonJava,Java,False,CPU,Single,Sequential,10000000,23.87
JsonJava,Java,False,IO,Single,Sequential,10000000,0.80
FlatBufJava,Java,True,Total,Single,Sequential,10000000,5.21
FlatBufJava,Java,True,CPU,Single,Sequential,10000000,3.54
FlatBufJava,Java,True,IO,Single,Sequential,10000000,1.66
FlatBufJava,Java,False,Total,Single,Sequential,10000000,4.60
FlatBufJava,Java,False,CPU,Single,Sequential,10000000,2.80
FlatBufJava,Java,False,IO,Single,Sequential,10000000,1.80
HandcodedCPP,CPP,True,Total,Single,Sequential,10000000,1.52
HandcodedCPP,CPP,True,CPU,Single,Sequential,10000000,0.31
HandcodedCPP,CPP,True,IO,Single,Sequential,10000000,1.21
HandcodedCPP,CPP,False,Total,Single,Sequential,10000000,1.53
HandcodedCPP,CPP,False,CPU,Single,Sequential,10000000,0.44
HandcodedCPP,CPP,False,IO,Single,Sequential,10000000,1.09
inPlaceCPP,CPP,True,Total,Single,Sequential,10000000,2.23
inPlaceCPP,CPP,True,CPU,Single,Sequential,10000000,0.30
inPlaceCPP,CPP,True,IO,Single,Sequential,10000000,1.93
inPlaceCPP,CPP,False,Total,Single,Sequential,10000000,2.26
inPlaceCPP,CPP,False,CPU,Single,Sequential,10000000,0.39
inPlaceCPP,CPP,False,IO,Single,Sequential,10000000,1.86
BoostCPP,CPP,True,Total,Single,Sequential,10000000,5.89
