baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,True,Total,Single,Sequential,5000000,577.26
DefaultJava,Java,True,CPU,Single,Sequential,5000000,517.86
DefaultJava,Java,True,IO,Single,Sequential,5000000,59.40
DefaultJava,Java,True,Total,Single,Sequential,4000000,451.64
DefaultJava,Java,True,CPU,Single,Sequential,4000000,402.10
DefaultJava,Java,True,IO,Single,Sequential,4000000,49.54
DefaultJava,Java,True,Total,Single,Sequential,3000000,338.25
DefaultJava,Java,True,CPU,Single,Sequential,3000000,303.05
DefaultJava,Java,True,IO,Single,Sequential,3000000,35.20
DefaultJava,Java,True,Total,Single,Sequential,2000000,232.95
DefaultJava,Java,True,CPU,Single,Sequential,2000000,207.43
DefaultJava,Java,True,IO,Single,Sequential,2000000,25.52
DefaultJava,Java,True,Total,Single,Sequential,1000000,115.70
DefaultJava,Java,True,CPU,Single,Sequential,1000000,103.94
DefaultJava,Java,True,IO,Single,Sequential,1000000,11.76
DefaultJava,Java,False,Total,Parallel,Sequential,5000000,78.34
DefaultJava,Java,False,CPU,Parallel,Sequential,5000000,11.73
DefaultJava,Java,False,IO,Parallel,Sequential,5000000,66.61
DefaultJava,Java,False,Total,Parallel,Sequential,4000000,64.39
DefaultJava,Java,False,CPU,Parallel,Sequential,4000000,7.86
DefaultJava,Java,False,IO,Parallel,Sequential,4000000,56.53
DefaultJava,Java,False,Total,Parallel,Sequential,3000000,51.81
DefaultJava,Java,False,CPU,Parallel,Sequential,3000000,5.25
DefaultJava,Java,False,IO,Parallel,Sequential,3000000,46.56
DefaultJava,Java,False,Total,Parallel,Sequential,2000000,39.17
DefaultJava,Java,False,CPU,Parallel,Sequential,2000000,1.54
DefaultJava,Java,False,IO,Parallel,Sequential,2000000,37.63
DefaultJava,Java,False,Total,Parallel,Sequential,1000000,25.71
DefaultJava,Java,False,CPU,Parallel,Sequential,1000000,0.30
DefaultJava,Java,False,IO,Parallel,Sequential,1000000,25.40
DefaultJava,Java,False,Total,Single,Sequential,5000000,470.00
DefaultJava,Java,False,CPU,Single,Sequential,5000000,411.57
DefaultJava,Java,False,IO,Single,Sequential,5000000,58.43
DefaultJava,Java,False,Total,Single,Sequential,4000000,371.04
DefaultJava,Java,False,CPU,Single,Sequential,4000000,326.03
DefaultJava,Java,False,IO,Single,Sequential,4000000,45.01
DefaultJava,Java,False,Total,Single,Sequential,3000000,291.50
DefaultJava,Java,False,CPU,Single,Sequential,3000000,256.38
