baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,False,Total,Parallel,Sequential,10000000,3.62
DefaultJava,Java,False,CPU,Parallel,Sequential,10000000,1.09
DefaultJava,Java,False,IO,Parallel,Sequential,10000000,2.52
DefaultJava,Java,False,Total,Parallel,Sequential,8000000,2.78
DefaultJava,Java,False,CPU,Parallel,Sequential,8000000,0.71
DefaultJava,Java,False,IO,Parallel,Sequential,8000000,2.07
DefaultJava,Java,False,Total,Parallel,Sequential,6000000,2.11
DefaultJava,Java,False,CPU,Parallel,Sequential,6000000,0.49
DefaultJava,Java,False,IO,Parallel,Sequential,6000000,1.62
DefaultJava,Java,False,Total,Parallel,Sequential,4000000,1.47
DefaultJava,Java,False,CPU,Parallel,Sequential,4000000,0.29
DefaultJava,Java,False,IO,Parallel,Sequential,4000000,1.18
DefaultJava,Java,False,Total,Parallel,Sequential,2000000,0.89
DefaultJava,Java,False,CPU,Parallel,Sequential,2000000,0.15
DefaultJava,Java,False,IO,Parallel,Sequential,2000000,0.74
DefaultJava,Java,False,Total,Parallel,Random,10000000,21.99
DefaultJava,Java,False,CPU,Parallel,Random,10000000,19.04
DefaultJava,Java,False,IO,Parallel,Random,10000000,2.95
DefaultJava,Java,False,Total,Parallel,Random,8000000,9.92
DefaultJava,Java,False,CPU,Parallel,Random,8000000,7.08
DefaultJava,Java,False,IO,Parallel,Random,8000000,2.84
DefaultJava,Java,False,Total,Parallel,Random,6000000,4.50
DefaultJava,Java,False,CPU,Parallel,Random,6000000,1.80
DefaultJava,Java,False,IO,Parallel,Random,6000000,2.71
DefaultJava,Java,False,Total,Parallel,Random,4000000,3.53
DefaultJava,Java,False,CPU,Parallel,Random,4000000,0.93
DefaultJava,Java,False,IO,Parallel,Random,4000000,2.60
DefaultJava,Java,False,Total,Parallel,Random,2000000,3.03
DefaultJava,Java,False,CPU,Parallel,Random,2000000,0.54
DefaultJava,Java,False,IO,Parallel,Random,2000000,2.49
Json+GzipJava,Java,False,Total,Parallel,Sequential,10000000,3.15
Json+GzipJava,Java,False,CPU,Parallel,Sequential,10000000,2.34
Json+GzipJava,Java,False,IO,Parallel,Sequential,10000000,0.81
Json+GzipJava,Java,False,Total,Parallel,Sequential,8000000,2.06
Json+GzipJava,Java,False,CPU,Parallel,Sequential,8000000,1.36
Json+GzipJava,Java,False,IO,Parallel,Sequential,8000000,0.70
Json+GzipJava,Java,False,Total,Parallel,Sequential,6000000,1.87
Json+GzipJava,Java,False,CPU,Parallel,Sequential,6000000,1.27
Json+GzipJava,Java,False,IO,Parallel,Sequential,6000000,0.60
Json+GzipJava,Java,False,Total,Parallel,Sequential,4000000,1.14
