baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,False,Total,Parallel,Sequential,10000000,3.62
DefaultJava,Java,False,CPU,Parallel,Sequential,10000000,1.09
DefaultJava,Java,False,IO,Parallel,Sequential,10000000,2.52
DefaultJava,Java,False,Total,Parallel,Random,10000000,21.99
DefaultJava,Java,False,CPU,Parallel,Random,10000000,19.04
DefaultJava,Java,False,IO,Parallel,Random,10000000,2.95
Json+GzipJava,Java,False,Total,Parallel,Sequential,10000000,3.15
Json+GzipJava,Java,False,CPU,Parallel,Sequential,10000000,2.34
Json+GzipJava,Java,False,IO,Parallel,Sequential,10000000,0.81
Json+GzipJava,Java,False,Total,Parallel,Random,10000000,7.13
Json+GzipJava,Java,False,CPU,Parallel,Random,10000000,5.79
Json+GzipJava,Java,False,IO,Parallel,Random,10000000,1.34
BsonJava,Java,False,Total,Parallel,Sequential,10000000,3.68
BsonJava,Java,False,CPU,Parallel,Sequential,10000000,1.02
BsonJava,Java,False,IO,Parallel,Sequential,10000000,2.66
BsonJava,Java,False,Total,Parallel,Random,10000000,26.49
BsonJava,Java,False,CPU,Parallel,Random,10000000,23.45
BsonJava,Java,False,IO,Parallel,Random,10000000,3.05
ProtoBufJava,Java,False,Total,Parallel,Sequential,10000000,1.40
ProtoBufJava,Java,False,CPU,Parallel,Sequential,10000000,0.23
ProtoBufJava,Java,False,IO,Parallel,Sequential,10000000,1.18
ProtoBufJava,Java,False,Total,Parallel,Random,10000000,2.50
ProtoBufJava,Java,False,CPU,Parallel,Random,10000000,0.83
ProtoBufJava,Java,False,IO,Parallel,Random,10000000,1.67
KryoJava,Java,False,Total,Parallel,Sequential,10000000,1.38
KryoJava,Java,False,CPU,Parallel,Sequential,10000000,0.20
KryoJava,Java,False,IO,Parallel,Sequential,10000000,1.18
KryoJava,Java,False,Total,Parallel,Random,10000000,3.26
KryoJava,Java,False,CPU,Parallel,Random,10000000,1.58
KryoJava,Java,False,IO,Parallel,Random,10000000,1.68
ByteBufferJava,Java,False,Total,Parallel,Sequential,10000000,2.35
ByteBufferJava,Java,False,CPU,Parallel,Sequential,10000000,0.99
ByteBufferJava,Java,False,IO,Parallel,Sequential,10000000,1.36
ByteBufferJava,Java,False,Total,Parallel,Random,10000000,14.97
ByteBufferJava,Java,False,CPU,Parallel,Random,10000000,13.12
ByteBufferJava,Java,False,IO,Parallel,Random,10000000,1.86
JsonJava,Java,False,Total,Parallel,Sequential,10000000,3.45
JsonJava,Java,False,CPU,Parallel,Sequential,10000000,1.19
JsonJava,Java,False,IO,Parallel,Sequential,10000000,2.26
JsonJava,Java,False,Total,Parallel,Random,10000000,21.99
JsonJava,Java,False,CPU,Parallel,Random,10000000,19.30
