baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,True,Total,Single,Sequential,10000000,23.05
DefaultJava,Java,True,CPU,Single,Sequential,10000000,20.21
DefaultJava,Java,True,IO,Single,Sequential,10000000,2.84
DefaultJava,Java,True,Total,Single,Sequential,8000000,18.39
DefaultJava,Java,True,CPU,Single,Sequential,8000000,16.16
DefaultJava,Java,True,IO,Single,Sequential,8000000,2.23
DefaultJava,Java,True,Total,Single,Sequential,6000000,14.65
DefaultJava,Java,True,CPU,Single,Sequential,6000000,12.94
DefaultJava,Java,True,IO,Single,Sequential,6000000,1.71
DefaultJava,Java,True,Total,Single,Sequential,4000000,9.26
DefaultJava,Java,True,CPU,Single,Sequential,4000000,8.12
DefaultJava,Java,True,IO,Single,Sequential,4000000,1.14
DefaultJava,Java,True,Total,Single,Sequential,2000000,4.64
DefaultJava,Java,True,CPU,Single,Sequential,2000000,4.05
DefaultJava,Java,True,IO,Single,Sequential,2000000,0.59
DefaultJava,Java,True,Total,Single,Random,10000000,58.96
DefaultJava,Java,True,CPU,Single,Random,10000000,49.27
DefaultJava,Java,True,IO,Single,Random,10000000,9.69
DefaultJava,Java,True,Total,Single,Random,8000000,34.02
DefaultJava,Java,True,CPU,Single,Random,8000000,25.33
DefaultJava,Java,True,IO,Single,Random,8000000,8.68
DefaultJava,Java,True,Total,Single,Random,6000000,23.33
DefaultJava,Java,True,CPU,Single,Random,6000000,15.67
DefaultJava,Java,True,IO,Single,Random,6000000,7.66
DefaultJava,Java,True,Total,Single,Random,4000000,17.48
DefaultJava,Java,True,CPU,Single,Random,4000000,10.85
DefaultJava,Java,True,IO,Single,Random,4000000,6.63
DefaultJava,Java,True,Total,Single,Random,2000000,11.31
DefaultJava,Java,True,CPU,Single,Random,2000000,5.72
DefaultJava,Java,True,IO,Single,Random,2000000,5.59
DefaultJava,Java,False,Total,Single,Sequential,10000000,22.66
DefaultJava,Java,False,CPU,Single,Sequential,10000000,20.32
DefaultJava,Java,False,IO,Single,Sequential,10000000,2.34
DefaultJava,Java,False,Total,Single,Sequential,8000000,18.68
DefaultJava,Java,False,CPU,Single,Sequential,8000000,16.78
DefaultJava,Java,False,IO,Single,Sequential,8000000,1.90
DefaultJava,Java,False,Total,Single,Sequential,6000000,14.11
