baseline,language,taskset,execution,platform,seq_rand,nrow,time
DefaultJava,Java,True,Total,Single,Sequential,10000000,409.11
DefaultJava,Java,True,CPU,Single,Sequential,10000000,373.74
DefaultJava,Java,True,IO,Single,Sequential,10000000,35.37
DefaultJava,Java,False,Total,Single,Sequential,10000000,442.47
DefaultJava,Java,False,CPU,Single,Sequential,10000000,371.24
DefaultJava,Java,False,IO,Single,Sequential,10000000,71.24
Json+GzipJava,Java,True,Total,Single,Sequential,10000000,1734.72
Json+GzipJava,Java,True,CPU,Single,Sequential,10000000,1706.69
Json+GzipJava,Java,True,IO,Single,Sequential,10000000,28.03
Json+GzipJava,Java,False,Total,Single,Sequential,10000000,1758.73
Json+GzipJava,Java,False,CPU,Single,Sequential,10000000,1761.44
Json+GzipJava,Java,False,IO,Single,Sequential,10000000,-2.71
BsonJava,Java,True,Total,Single,Sequential,10000000,647.66
BsonJava,Java,True,CPU,Single,Sequential,10000000,578.92
BsonJava,Java,True,IO,Single,Sequential,10000000,68.75
BsonJava,Java,False,Total,Single,Sequential,10000000,493.19
BsonJava,Java,False,CPU,Single,Sequential,10000000,425.55
BsonJava,Java,False,IO,Single,Sequential,10000000,67.64
ProtoBufJava,Java,True,Total,Single,Sequential,10000000,120.80
ProtoBufJava,Java,True,CPU,Single,Sequential,10000000,99.01
ProtoBufJava,Java,True,IO,Single,Sequential,10000000,21.79
ProtoBufJava,Java,False,Total,Single,Sequential,10000000,123.38
ProtoBufJava,Java,False,CPU,Single,Sequential,10000000,105.90
ProtoBufJava,Java,False,IO,Single,Sequential,10000000,17.48
KryoJava,Java,True,Total,Single,Sequential,10000000,142.40
KryoJava,Java,True,CPU,Single,Sequential,10000000,125.43
KryoJava,Java,True,IO,Single,Sequential,10000000,16.97
KryoJava,Java,False,Total,Single,Sequential,10000000,159.84
KryoJava,Java,False,CPU,Single,Sequential,10000000,127.45
KryoJava,Java,False,IO,Single,Sequential,10000000,32.39
ByteBufferJava,Java,True,Total,Single,Sequential,10000000,100.89
ByteBufferJava,Java,True,CPU,Single,Sequential,10000000,79.24
ByteBufferJava,Java,True,IO,Single,Sequential,10000000,21.64
ByteBufferJava,Java,False,Total,Single,Sequential,10000000,108.24
ByteBufferJava,Java,False,CPU,Single,Sequential,10000000,77.65
ByteBufferJava,Java,False,IO,Single,Sequential,10000000,30.59
JsonJava,Java,True,Total,Single,Sequential,10000000,970.38
JsonJava,Java,True,CPU,Single,Sequential,10000000,944.62
JsonJava,Java,True,IO,Single,Sequential,10000000,25.76
JsonJava,Java,False,Total,Single,Sequential,10000000,1009.52
JsonJava,Java,False,CPU,Single,Sequential,10000000,973.27
JsonJava,Java,False,IO,Single,Sequential,10000000,36.25
FlatBufJava,Java,True,Total,Single,Sequential,10000000,197.64
FlatBufJava,Java,True,CPU,Single,Sequential,10000000,166.06
FlatBufJava,Java,True,IO,Single,Sequential,10000000,31.58
FlatBufJava,Java,False,Total,Single,Sequential,10000000,172.06
FlatBufJava,Java,False,CPU,Single,Sequential,10000000,137.72
FlatBufJava,Java,False,IO,Single,Sequential,10000000,34.34
HandcodedCPP,CPP,True,Total,Single,Sequential,10000000,33.19
HandcodedCPP,CPP,True,CPU,Single,Sequential,10000000,15.50
HandcodedCPP,CPP,True,IO,Single,Sequential,10000000,17.69
HandcodedCPP,CPP,False,Total,Single,Sequential,10000000,28.22
HandcodedCPP,CPP,False,CPU,Single,Sequential,10000000,25.28
HandcodedCPP,CPP,False,IO,Single,Sequential,10000000,2.94
inPlaceCPP,CPP,True,Total,Single,Sequential,10000000,45.78
inPlaceCPP,CPP,True,CPU,Single,Sequential,10000000,14.58
inPlaceCPP,CPP,True,IO,Single,Sequential,10000000,31.19
inPlaceCPP,CPP,False,Total,Single,Sequential,10000000,35.41
inPlaceCPP,CPP,False,CPU,Single,Sequential,10000000,20.54
inPlaceCPP,CPP,False,IO,Single,Sequential,10000000,14.88
BoostCPP,CPP,True,Total,Single,Sequential,10000000,245.83
BoostCPP,CPP,True,CPU,Single,Sequential,10000000,224.88
BoostCPP,CPP,True,IO,Single,Sequential,10000000,20.94
BoostCPP,CPP,False,Total,Single,Sequential,10000000,244.54
BoostCPP,CPP,False,CPU,Single,Sequential,10000000,226.33
BoostCPP,CPP,False,IO,Single,Sequential,10000000,18.21
ProtoBufCPP,CPP,True,Total,Single,Sequential,10000000,79.96
ProtoBufCPP,CPP,True,CPU,Single,Sequential,10000000,62.53
ProtoBufCPP,CPP,True,IO,Single,Sequential,10000000,17.44
ProtoBufCPP,CPP,False,Total,Single,Sequential,10000000,79.93
ProtoBufCPP,CPP,False,CPU,Single,Sequential,10000000,68.70
ProtoBufCPP,CPP,False,IO,Single,Sequential,10000000,11.22
BsonCPP,CPP,True,Total,Single,Sequential,10000000,1711.24
BsonCPP,CPP,True,CPU,Single,Sequential,10000000,1689.61
BsonCPP,CPP,True,IO,Single,Sequential,10000000,21.63
BsonCPP,CPP,False,Total,Single,Sequential,10000000,1705.83
BsonCPP,CPP,False,CPU,Single,Sequential,10000000,1701.95
BsonCPP,CPP,False,IO,Single,Sequential,10000000,3.88
FlatBufCPP,CPP,True,Total,Single,Sequential,10000000,68.97
FlatBufCPP,CPP,True,CPU,Single,Sequential,10000000,42.80
FlatBufCPP,CPP,True,IO,Single,Sequential,10000000,26.17
FlatBufCPP,CPP,False,Total,Single,Sequential,10000000,67.16
FlatBufCPP,CPP,False,CPU,Single,Sequential,10000000,68.57
FlatBufCPP,CPP,False,IO,Single,Sequential,10000000,-1.42
JsonRust,Rust,True,Total,Single,Sequential,10000000,94.01
JsonRust,Rust,True,CPU,Single,Sequential,10000000,77.57
JsonRust,Rust,True,IO,Single,Sequential,10000000,16.44
JsonRust,Rust,False,Total,Single,Sequential,10000000,109.84
JsonRust,Rust,False,CPU,Single,Sequential,10000000,93.66
JsonRust,Rust,False,IO,Single,Sequential,10000000,16.18
BincodeRust,Rust,True,Total,Single,Sequential,10000000,24.23
BincodeRust,Rust,True,CPU,Single,Sequential,10000000,14.22
BincodeRust,Rust,True,IO,Single,Sequential,10000000,10.01
BincodeRust,Rust,False,Total,Single,Sequential,10000000,35.06
BincodeRust,Rust,False,CPU,Single,Sequential,10000000,19.46
BincodeRust,Rust,False,IO,Single,Sequential,10000000,15.60
MessagePackRust,Rust,True,Total,Single,Sequential,10000000,33.85
MessagePackRust,Rust,True,CPU,Single,Sequential,10000000,28.01
MessagePackRust,Rust,True,IO,Single,Sequential,10000000,5.83
MessagePackRust,Rust,False,Total,Single,Sequential,10000000,38.82
MessagePackRust,Rust,False,CPU,Single,Sequential,10000000,27.34
MessagePackRust,Rust,False,IO,Single,Sequential,10000000,11.48
BsonRust,Rust,True,Total,Single,Sequential,10000000,472.65
BsonRust,Rust,True,CPU,Single,Sequential,10000000,443.31
BsonRust,Rust,True,IO,Single,Sequential,10000000,29.34
BsonRust,Rust,False,Total,Single,Sequential,10000000,487.82
BsonRust,Rust,False,CPU,Single,Sequential,10000000,443.64
BsonRust,Rust,False,IO,Single,Sequential,10000000,44.18
FlexBufRust,Rust,True,Total,Single,Sequential,10000000,272.96
FlexBufRust,Rust,True,CPU,Single,Sequential,10000000,251.13
FlexBufRust,Rust,True,IO,Single,Sequential,10000000,21.83
FlexBufRust,Rust,False,Total,Single,Sequential,10000000,286.70
FlexBufRust,Rust,False,CPU,Single,Sequential,10000000,252.12
FlexBufRust,Rust,False,IO,Single,Sequential,10000000,34.57
