language,platform,taskset,nrow,time
Rust,Single,true,5000000,69913
Rust,Single,false,5000000,74031
Rust,Parallel,false,5000000,20371
Rust,Single,true,4000000,56598
Rust,Single,false,4000000,57704
Rust,Parallel,false,4000000,16639
Rust,Single,true,3000000,42442
Rust,Single,false,3000000,44757
Rust,Parallel,false,3000000,13042
Rust,Single,true,2000000,28702
Rust,Single,false,2000000,28621
Rust,Parallel,false,2000000,9336
Rust,Single,true,1000000,15064
Rust,Single,false,1000000,15062
Rust,Parallel,false,1000000,5476
Rust,Single,true,5000000,70137
Rust,Single,false,5000000,72532
Rust,Parallel,false,5000000,20691
Rust,Single,true,4000000,56568
Rust,Single,false,4000000,59393
Rust,Parallel,false,4000000,16985
Rust,Single,true,3000000,42484
Rust,Single,false,3000000,44269
Rust,Parallel,false,3000000,12824
Rust,Single,true,2000000,28566
Rust,Single,false,2000000,30637
Rust,Parallel,false,2000000,9158
Rust,Single,true,1000000,15049
Rust,Single,false,1000000,16037
Rust,Parallel,false,1000000,5209
Rust,Single,true,5000000,70431
Rust,Single,false,5000000,70615
Rust,Parallel,false,5000000,20690
Rust,Single,true,4000000,56524
Rust,Single,false,4000000,57470
Rust,Parallel,false,4000000,16541
Rust,Single,true,3000000,42279
Rust,Single,false,3000000,46058
Rust,Parallel,false,3000000,13160
Rust,Single,true,2000000,28527
Rust,Single,false,2000000,31619
Rust,Parallel,false,2000000,9220
Rust,Single,true,1000000,15042
Rust,Single,false,1000000,15075
Rust,Parallel,false,1000000,5301
Rust,Single,true,5000000,70379
Rust,Single,false,5000000,74724
Rust,Parallel,false,5000000,20415
Rust,Single,true,4000000,56541
Rust,Single,false,4000000,58635
Rust,Parallel,false,4000000,16468
Rust,Single,true,3000000,42289
Rust,Single,false,3000000,46580
Rust,Parallel,false,3000000,12797
Rust,Single,true,2000000,28604
Rust,Single,false,2000000,29566
Rust,Parallel,false,2000000,9228
Rust,Single,true,1000000,15017
Rust,Single,false,1000000,15006
Rust,Parallel,false,1000000,5114
Rust,Single,true,5000000,70212
Rust,Single,false,5000000,74380
Rust,Parallel,false,5000000,20072
Rust,Single,true,4000000,56656
Rust,Single,false,4000000,59289
Rust,Parallel,false,4000000,16544
Rust,Single,true,3000000,42446
Rust,Single,false,3000000,43382
Rust,Parallel,false,3000000,12974
Rust,Single,true,2000000,28504
Rust,Single,false,2000000,30436
Rust,Parallel,false,2000000,9053
Rust,Single,true,1000000,15034
Rust,Single,false,1000000,15038
Rust,Parallel,false,1000000,5328
CPP,Single,true,5000000,47429
CPP,Single,false,5000000,47454
CPP,Parallel,false,5000000,23211
CPP,Single,true,4000000,38287
CPP,Single,false,4000000,38489
CPP,Parallel,false,4000000,19140
CPP,Single,true,3000000,29437
CPP,Single,false,3000000,29423
CPP,Parallel,false,3000000,15012
CPP,Single,true,2000000,20244
CPP,Single,false,2000000,20369
CPP,Parallel,false,2000000,10959
CPP,Single,true,1000000,11091
CPP,Single,false,1000000,11087
CPP,Parallel,false,1000000,6856
CPP,Single,true,5000000,47482
CPP,Single,false,5000000,48067
CPP,Parallel,false,5000000,23161
CPP,Single,true,4000000,38594
CPP,Single,false,4000000,38405
CPP,Parallel,false,4000000,19095
CPP,Single,true,3000000,29419
CPP,Single,false,3000000,29160
CPP,Parallel,false,3000000,14994
CPP,Single,true,2000000,20279
CPP,Single,false,2000000,20317
CPP,Parallel,false,2000000,10982
CPP,Single,true,1000000,11038
CPP,Single,false,1000000,11087
CPP,Parallel,false,1000000,6842
CPP,Single,true,5000000,47783
CPP,Single,false,5000000,47261
CPP,Parallel,false,5000000,23125
CPP,Single,true,4000000,38141
CPP,Single,false,4000000,38478
CPP,Parallel,false,4000000,19084
CPP,Single,true,3000000,29439
CPP,Single,false,3000000,29577
CPP,Parallel,false,3000000,15057
CPP,Single,true,2000000,20170
CPP,Single,false,2000000,20086
CPP,Parallel,false,2000000,10893
CPP,Single,true,1000000,11019
CPP,Single,false,1000000,11062
CPP,Parallel,false,1000000,6831
CPP,Single,true,5000000,47839
CPP,Single,false,5000000,47652
CPP,Parallel,false,5000000,23149
CPP,Single,true,4000000,38532
CPP,Single,false,4000000,38344
CPP,Parallel,false,4000000,19093
CPP,Single,true,3000000,29444
CPP,Single,false,3000000,29385
CPP,Parallel,false,3000000,15055
CPP,Single,true,2000000,20286
CPP,Single,false,2000000,20220
CPP,Parallel,false,2000000,10928
CPP,Single,true,1000000,11041
CPP,Single,false,1000000,11074
CPP,Parallel,false,1000000,6847
CPP,Single,true,5000000,47131
CPP,Single,false,5000000,47498
CPP,Parallel,false,5000000,23060
CPP,Single,true,4000000,38538
CPP,Single,false,4000000,38522
CPP,Parallel,false,4000000,19021
CPP,Single,true,3000000,29357
CPP,Single,false,3000000,29526
CPP,Parallel,false,3000000,14956
CPP,Single,true,2000000,20253
CPP,Single,false,2000000,20378
CPP,Parallel,false,2000000,10888
CPP,Single,true,1000000,11052
CPP,Single,false,1000000,11101
CPP,Parallel,false,1000000,6844
CPP,Single,true,5000000,47507
CPP,Single,false,5000000,47457
CPP,Parallel,false,5000000,23100
CPP,Single,true,4000000,38501
CPP,Single,false,4000000,38504
CPP,Parallel,false,4000000,19136
CPP,Single,true,3000000,29412
CPP,Single,false,3000000,29460
CPP,Parallel,false,3000000,14964
CPP,Single,true,2000000,20200
CPP,Single,false,2000000,20241
