"language","taskset","method","seq","datatype","iotime","totaltime","size"
"[ReadTimeCPP]","false","C++ HandCoded","true","TweetStatus",9.27932,7.18110333333333,1e+06
"[ReadTimeCPP]","true","C++ HandCoded","true","TweetStatus",9.75331,6.64715666666667,1e+06
"[ReadTimeCPP]","false","C++ HandCoded","false","TweetStatus",1256.11,13.2166666666667,1e+06
"[ReadTimeCPP]","true","C++ HandCoded","false","TweetStatus",1240.49,11.3033333333334,1e+06
"[ReadTimeCPP]","false","C++ inPlace","true","TweetStatus",23.0899,0.0959666666666668,1e+06
"[ReadTimeCPP]","true","C++ inPlace","true","TweetStatus",24.1799,0.102166666666667,1e+06
"[ReadTimeCPP]","false","C++ inPlace","false","TweetStatus",1892.43,1.34666666666665,1e+06
"[ReadTimeCPP]","true","C++ inPlace","false","TweetStatus",1875.4,1.32999999999993,1e+06
"[ReadTimeCPP]","false","C++ Boost","true","TweetStatus",4.27052,39.3824366666667,1e+06
"[ReadTimeCPP]","true","C++ Boost","true","TweetStatus",3.3786,39.64947,1e+06
"[ReadTimeCPP]","false","C++ Boost","false","TweetStatus",1319.72,51.5133333333333,1e+06
"[ReadTimeCPP]","true","C++ Boost","false","TweetStatus",1316.61,52.2533333333334,1e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","true","TweetStatus",4.7784,12.9826866666667,1e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","true","TweetStatus",6.52018,13.4838,1e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","false","TweetStatus",1156.84,20.2966666666666,1e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","false","TweetStatus",1128.04,19.6566666666666,1e+06
"[ReadTimeCPP]","false","C++ Bson","true","TweetStatus",9.99248,270.88992,1e+06
"[ReadTimeCPP]","true","C++ Bson","true","TweetStatus",10.4472,266.970503333333,1e+06
"[ReadTimeCPP]","false","C++ Bson","false","TweetStatus",2993,292.863333333333,1e+06
"[ReadTimeCPP]","true","C++ Bson","false","TweetStatus",2974.19,286.656666666667,1e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","true","TweetStatus",17.4263,6.0656,1e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","true","TweetStatus",17.254,5.1372,1e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","false","TweetStatus",1813.8,11.6533333333333,1e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","false","TweetStatus",1816.42,10.33,1e+06
"[ReadTimeCPP]","false","C++ HandCoded","true","TweetStatus",21.4884,12.1989666666667,2e+06
"[ReadTimeCPP]","true","C++ HandCoded","true","TweetStatus",24.6512,12.5174,2e+06
"[ReadTimeCPP]","false","C++ HandCoded","false","TweetStatus",1301.48,29.7366666666667,2e+06
"[ReadTimeCPP]","true","C++ HandCoded","false","TweetStatus",1275.05,25.5966666666667,2e+06
"[ReadTimeCPP]","false","C++ inPlace","true","TweetStatus",46.5881,0.188299999999998,2e+06
"[ReadTimeCPP]","true","C++ inPlace","true","TweetStatus",50.4727,0.190333333333333,2e+06
"[ReadTimeCPP]","false","C++ inPlace","false","TweetStatus",1979.14,2.46999999999995,2e+06
"[ReadTimeCPP]","true","C++ inPlace","false","TweetStatus",1959.99,2.38000000000003,2e+06
"[ReadTimeCPP]","false","C++ Boost","true","TweetStatus",8.15015,80.1832866666667,2e+06
"[ReadTimeCPP]","true","C++ Boost","true","TweetStatus",6.4592,79.73209,2e+06
"[ReadTimeCPP]","false","C++ Boost","false","TweetStatus",1384.45,108.526666666667,2e+06
"[ReadTimeCPP]","true","C++ Boost","false","TweetStatus",1373.68,100.913333333333,2e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","true","TweetStatus",10.5368,25.7869333333333,2e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","true","TweetStatus",9.88768,26.4641466666667,2e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","false","TweetStatus",1185.31,46.9366666666666,2e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","false","TweetStatus",1170.29,40.5200000000001,2e+06
"[ReadTimeCPP]","false","C++ Bson","true","TweetStatus",17.6678,532.1808,2e+06
"[ReadTimeCPP]","true","C++ Bson","true","TweetStatus",20.8933,535.0961,2e+06
"[ReadTimeCPP]","false","C++ Bson","false","TweetStatus",7533.22,579.69,2e+06
"[ReadTimeCPP]","true","C++ Bson","false","TweetStatus",7560.17,576.003333333333,2e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","true","TweetStatus",35.9689,10.2636666666667,2e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","true","TweetStatus",36.6332,10.1885,2e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","false","TweetStatus",1887.81,22.9966666666667,2e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","false","TweetStatus",1880.37,18.6033333333335,2e+06
"[ReadTimeCPP]","false","C++ HandCoded","true","TweetStatus",30.0716,19.3222,3e+06
"[ReadTimeCPP]","true","C++ HandCoded","true","TweetStatus",28.5124,18.3467,3e+06
"[ReadTimeCPP]","false","C++ HandCoded","false","TweetStatus",1287.61,48.1400000000001,3e+06
"[ReadTimeCPP]","true","C++ HandCoded","false","TweetStatus",1254.74,35.9933333333333,3e+06
"[ReadTimeCPP]","false","C++ inPlace","true","TweetStatus",71.8665,0.291499999999994,3e+06
"[ReadTimeCPP]","true","C++ inPlace","true","TweetStatus",70.4293,0.305833333333332,3e+06
"[ReadTimeCPP]","false","C++ inPlace","false","TweetStatus",1990.48,3.47333333333328,3e+06
"[ReadTimeCPP]","true","C++ inPlace","false","TweetStatus",1967.14,3.44666666666656,3e+06
"[ReadTimeCPP]","false","C++ Boost","true","TweetStatus",14.0089,121.780566666667,3e+06
"[ReadTimeCPP]","true","C++ Boost","true","TweetStatus",13.601,124.379966666667,3e+06
"[ReadTimeCPP]","false","C++ Boost","false","TweetStatus",1379.63,157.356666666667,3e+06
"[ReadTimeCPP]","true","C++ Boost","false","TweetStatus",1363.06,146.416666666667,3e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","true","TweetStatus",15.2507,40.5581666666667,3e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","true","TweetStatus",14.8456,38.8496666666667,3e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","false","TweetStatus",1215.48,68.26,3e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","false","TweetStatus",1206.16,59.1233333333333,3e+06
"[ReadTimeCPP]","false","C++ Bson","true","TweetStatus",33.7139,805.515366666667,3e+06
"[ReadTimeCPP]","true","C++ Bson","true","TweetStatus",33.0221,799.9638,3e+06
"[ReadTimeCPP]","false","C++ Bson","false","TweetStatus",22246.1,902.6,3e+06
"[ReadTimeCPP]","true","C++ Bson","false","TweetStatus",22524.6,904.733333333335,3e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","true","TweetStatus",55.7335,16.1895,3e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","true","TweetStatus",55.5845,16.5328666666667,3e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","false","TweetStatus",1968.74,32.78,3e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","false","TweetStatus",1929.41,27.2033333333332,3e+06
"[ReadTimeCPP]","false","C++ HandCoded","true","TweetStatus",37.8294,30.3844,4e+06
"[ReadTimeCPP]","true","C++ HandCoded","true","TweetStatus",42.2955,24.6723333333333,4e+06
"[ReadTimeCPP]","false","C++ HandCoded","false","TweetStatus",1305.76,53.79,4e+06
"[ReadTimeCPP]","true","C++ HandCoded","false","TweetStatus",1277.74,47.46,4e+06
"[ReadTimeCPP]","false","C++ inPlace","true","TweetStatus",102.473,0.383300000000006,4e+06
"[ReadTimeCPP]","true","C++ inPlace","true","TweetStatus",100.445,0.387766666666669,4e+06
"[ReadTimeCPP]","false","C++ inPlace","false","TweetStatus",2060.99,4.54333333333337,4e+06
"[ReadTimeCPP]","true","C++ inPlace","false","TweetStatus",2087.49,4.48666666666675,4e+06
"[ReadTimeCPP]","false","C++ Boost","true","TweetStatus",16.1518,165.6454,4e+06
"[ReadTimeCPP]","true","C++ Boost","true","TweetStatus",13.5767,160.135366666667,4e+06
"[ReadTimeCPP]","false","C++ Boost","false","TweetStatus",1416.23,196.603333333333,4e+06
"[ReadTimeCPP]","true","C++ Boost","false","TweetStatus",1381.51,191.253333333333,4e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","true","TweetStatus",19.6551,61.1007666666667,4e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","true","TweetStatus",20.7322,51.2444666666667,4e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","false","TweetStatus",1841.61,77.8,4e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","false","TweetStatus",1840.91,77.0699999999999,4e+06
"[ReadTimeCPP]","false","C++ Bson","true","TweetStatus",43.864,1078.97526666667,4e+06
"[ReadTimeCPP]","true","C++ Bson","true","TweetStatus",44.2496,1076.05263333333,4e+06
"[ReadTimeCPP]","false","C++ Bson","false","TweetStatus",46173.2,1250.03333333334,4e+06
"[ReadTimeCPP]","true","C++ Bson","false","TweetStatus",46005.9,1238.53333333333,4e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","true","TweetStatus",71.3277,23.4386,4e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","true","TweetStatus",75.5472,21.6773333333333,4e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","false","TweetStatus",3357.65,37.4533333333334,4e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","false","TweetStatus",3265.13,38.25,4e+06
"[ReadTimeCPP]","false","C++ HandCoded","true","TweetStatus",52.3475,31.9100333333333,5e+06
"[ReadTimeCPP]","true","C++ HandCoded","true","TweetStatus",47.379,34.4611666666667,5e+06
"[ReadTimeCPP]","false","C++ HandCoded","false","TweetStatus",6270.44,59.4100000000002,5e+06
"[ReadTimeCPP]","true","C++ HandCoded","false","TweetStatus",6263.02,59.5399999999997,5e+06
"[ReadTimeCPP]","false","C++ inPlace","true","TweetStatus",131.426,0.510333333333335,5e+06
"[ReadTimeCPP]","true","C++ inPlace","true","TweetStatus",129.725,0.50933333333334,5e+06
"[ReadTimeCPP]","false","C++ inPlace","false","TweetStatus",2164.69,5.54000000000019,5e+06
"[ReadTimeCPP]","true","C++ inPlace","false","TweetStatus",2220.83,5.49666666666659,5e+06
"[ReadTimeCPP]","false","C++ Boost","true","TweetStatus",17.6996,202.784133333333,5e+06
"[ReadTimeCPP]","true","C++ Boost","true","TweetStatus",20.0704,201.129633333333,5e+06
"[ReadTimeCPP]","false","C++ Boost","false","TweetStatus",7909.17,258.893333333333,5e+06
"[ReadTimeCPP]","true","C++ Boost","false","TweetStatus",7850.29,255.836666666667,5e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","true","TweetStatus",22.2183,65.7727,5e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","true","TweetStatus",21.7752,65.3162666666667,5e+06
"[ReadTimeCPP]","false","C++ ProtoBuf","false","TweetStatus",15457.1,116.7,5e+06
"[ReadTimeCPP]","true","C++ ProtoBuf","false","TweetStatus",15804.9,118.000000000001,5e+06
"[ReadTimeCPP]","false","C++ Bson","true","TweetStatus",-1,0,5e+06
"[ReadTimeCPP]","true","C++ Bson","true","TweetStatus",-1,0,5e+06
"[ReadTimeCPP]","false","C++ Bson","false","TweetStatus",-1,0,5e+06
"[ReadTimeCPP]","true","C++ Bson","false","TweetStatus",-1,0,5e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","true","TweetStatus",98.07,26.7032333333333,5e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","true","TweetStatus",98.8986,27.2730666666667,5e+06
"[ReadTimeCPP]","false","C++ FlatBuffers","false","TweetStatus",13788.1,53.4000000000002,5e+06
"[ReadTimeCPP]","true","C++ FlatBuffers","false","TweetStatus",13338.5,53,5e+06
"[ReadTimeJAVA]","true","Java Default","true","TweetStatus",29.070237334,351.697176149,1e+06
"[ReadTimeJAVA]","false","Java Default","true","TweetStatus",21.055724587,149.847989747,1e+06
"[ReadTimeJAVA]","true","Java Default","false","TweetStatus",1689.980438961,375.191252874333,1e+06
"[ReadTimeJAVA]","false","Java Default","false","TweetStatus",1650.239692589,167.417605436667,1e+06
"[ReadTimeJAVA]","true","Java Json+Gzip","true","TweetStatus",9.156162989,358.376931643,1e+06
"[ReadTimeJAVA]","false","Java Json+Gzip","true","TweetStatus",4.0580314,153.854036237333,1e+06
"[ReadTimeJAVA]","true","Java Json+Gzip","false","TweetStatus",477.15340133,362.320410211333,1e+06
"[ReadTimeJAVA]","false","Java Json+Gzip","false","TweetStatus",477.164978918,161.536815970667,1e+06
"[ReadTimeJAVA]","true","Java Bson","true","TweetStatus",38.469714138,239.491305916667,1e+06
"[ReadTimeJAVA]","false","Java Bson","true","TweetStatus",23.455912702,75.9019035903333,1e+06
"[ReadTimeJAVA]","true","Java Bson","false","TweetStatus",1815.408889349,262.908368813,1e+06
"[ReadTimeJAVA]","false","Java Bson","false","TweetStatus",1819.233217355,89.8284342496666,1e+06
"[ReadTimeJAVA]","true","Java ProtoBuf","true","TweetStatus",16.391916786,86.8706219623333,1e+06
"[ReadTimeJAVA]","false","Java ProtoBuf","true","TweetStatus",6.437955714,27.8327658453333,1e+06
"[ReadTimeJAVA]","true","Java ProtoBuf","false","TweetStatus",676.271737362,96.9619766026667,1e+06
